measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,4.0,40.96,40.96,,,
2003-02-01,4.0,40.96,40.96,,,
2003-03-01,4.0,40.96,40.96,,,
2003-04-01,4.0,40.96,40.96,,,
2003-05-01,4.0,40.96,40.96,,,
2003-06-01,4.0,40.96,40.96,,,
2003-07-01,3.88,39.74,39.74,,,
2003-08-01,4.0,40.96,40.96,,,
2003-09-01,3.0,30.72,30.72,,,
2003-10-01,1.0,10.24,10.24,,,
2003-11-01,3.0,30.72,30.72,,,
2003-12-01,4.0,40.96,40.96,,,
2004-01-01,4605.675,46158.07,46158.07,,,
2004-02-01,4347.326,43568.9,43568.9,,,
2004-03-01,4601.627,46117.51,46117.51,,,
2004-04-01,4306.3060000000005,43157.8,43157.8,,,
2004-05-01,4258.451,42678.2,42678.2,,,
2004-06-01,4113.444,41224.94,41224.94,,,
2004-07-01,4324.747,43342.61,43342.61,,,
2004-08-01,4314.852,43243.45,43243.45,,,
2004-09-01,4299.38,43088.39,43088.39,,,
2004-10-01,4334.102,43436.37,43436.37,,,
2004-11-01,4052.634,40615.5,40615.5,,,
2004-12-01,4566.455,45765.01,45765.01,,,
2005-01-01,4272.732,42723.05,42723.05,,,
2005-02-01,3607.779,36074.18,36074.18,,,
2005-03-01,4084.328,40839.2,40839.2,,,
2005-04-01,4086.549,40861.4,40861.4,,,
2005-05-01,4339.5070000000005,43390.73,43390.73,,,
2005-06-01,4285.244000000001,42848.15,42848.15,,,
