measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,67632.0,636518.0,1708896.0,65.0,614.0,1644.0,162.0,1673.95,1673.95,5.0,62.0,139.0,899.0,8681.0,22941.0
2001-02-01,59662.0,561791.0,1483322.0,60.0,569.0,1499.0,131.0,1353.62,1353.62,5.0,62.0,138.0,187.0,1805.0,4694.0
2001-03-01,61627.0,580164.0,1709710.0,89.0,843.0,2475.0,141.0,1456.95,1456.95,4.0,50.0,122.0,368.0,3565.0,10316.0
2001-04-01,59952.0,525773.0,1491122.0,71.0,625.0,1766.0,132.0,1363.96,1363.96,3.0,39.0,90.0,224.0,2021.0,5635.0
2001-05-01,63270.0,554947.0,1662521.0,7.0,58.0,174.0,134.0,1384.62,1384.62,5.0,59.0,145.0,151.0,1364.0,4013.0
2001-06-01,67154.0,588872.0,1457325.0,154.0,1361.0,3358.0,152.0,1570.62,1570.62,5.0,58.0,123.0,343.0,3083.0,7524.0
2001-07-01,60449.0,531922.0,1338131.0,75.0,667.0,1673.0,0.0,0.0,0.0,5.0,57.0,122.0,69.0,626.0,1552.0
2001-08-01,82828.0,726795.0,2005686.0,155.0,1365.0,3753.0,149.0,1539.62,1539.62,5.0,56.0,128.0,471.0,4246.0,11524.0
2001-09-01,61717.0,542066.0,1413182.0,0.0,0.0,0.0,58.0,599.31,599.31,5.0,61.0,134.0,1285.0,11565.0,29701.0
2001-10-01,73727.0,646468.0,1429752.0,50.0,439.0,970.0,165.0,1704.95,1704.95,8.0,86.0,169.0,793.0,7100.0,15525.0
2001-11-01,56267.0,493571.0,1303651.0,479.0,4220.0,11115.0,115.0,1188.3,1188.3,5.0,63.0,141.0,125.0,1120.0,2913.0
2001-12-01,60078.0,526928.0,1377967.0,85.0,746.0,1946.0,126.0,1301.96,1301.96,4.0,49.0,109.0,369.0,3316.0,8541.0
2002-01-01,61591.0,344620.0,1757424.0,18.0,104.0,528.0,103.0,1047.82,1047.82,3140.0,17572.0,89607.0,89.0,496.0,2533.0
2002-02-01,57534.0,498412.0,1324722.0,12.0,104.0,274.0,112.0,1139.38,1139.38,3944.0,45469.0,101298.0,210.0,1869.0,4814.0
2002-03-01,54769.0,619739.0,1841384.0,0.0,0.0,0.0,99.0,1007.13,1007.13,2513.0,28441.0,84506.0,251.0,2837.0,8429.0
2002-04-01,65777.0,569821.0,1514517.0,0.0,0.0,0.0,140.0,1424.22,1424.22,3591.0,41400.0,92232.0,131.0,1166.0,3003.0
