measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,41.656369999999995,194.63,1950.04,7.36063,34.39,344.57
2004-02-01,38.72826,180.95,1698.11,3.95674,18.49,173.49
2004-03-01,35.41458,165.46,1519.48,2.7784199999999997,12.98,119.21
2004-04-01,27.99646,130.8,1256.09,3.57754,16.71,160.51
2004-05-01,29.16368,136.26,1455.96,7.4313199999999995,34.72,371.0
2004-06-01,35.443349999999995,165.6,1619.06,5.25565,24.56,240.08
2004-07-01,38.174800000000005,178.36,1708.14,4.7632,22.25,213.13
2004-08-01,39.324149999999996,183.73,1817.27,6.355849999999999,29.7,293.72
2004-09-01,35.04331,163.73,1646.53,6.3406899999999995,29.63,297.92
2004-10-01,40.275619999999996,188.17,1687.84,2.15238,10.06,90.2
2004-11-01,41.67731,194.73,1794.1,3.41669,15.96,147.08
2004-12-01,42.591069999999995,198.99,1858.58,4.12693,19.28,180.09
2005-01-01,35.90956,167.78,2088.52,3.3634399999999998,15.71,195.62
2005-02-01,32.670049999999996,152.64,1896.17,2.9879499999999997,13.96,173.42
2005-03-01,34.69104,162.08,2032.67,3.5319599999999998,16.5,206.95
2005-04-01,27.90451,130.38,1672.23,3.5404899999999997,16.54,212.17
2005-05-01,26.95383,125.93,1588.71,2.9201699999999997,13.64,172.12
2005-06-01,33.477779999999996,156.41,2036.32,4.81422,22.49,292.83
2005-07-01,36.63792,171.18,2272.01,6.08508,28.43,377.35
2005-08-01,35.88293,167.65,2250.34,6.43307,30.06,403.44
2005-09-01,33.68531,157.39,2027.19,4.43469,20.72,266.88
2005-10-01,32.53516,152.01,1898.51,3.1628399999999997,14.78,184.56
2005-11-01,32.19596,150.43,1864.32,2.86104,13.37,165.67
