measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed
2003-04-01,24558.0,100858.0,385293.0,,,
2003-08-01,24261.0,112722.0,518844.0,,,
2003-09-01,23653.0,122080.0,510894.0,,,
2003-11-01,15833.0,72505.0,278311.0,,,
2004-01-01,21247.07,96121.06,414158.84,,,
2004-02-01,20617.354,93272.24,401884.08,,,
2004-03-01,22013.221,99587.1,429093.04,,,
2004-04-01,22945.53,103804.84,447266.09,,,
2004-05-01,21690.275,98126.1,422798.01,,,
2004-06-01,25194.573,113979.44,491105.59,,,
2004-07-01,24020.916,108669.85,468228.07,,,
2004-08-01,23237.203,105124.35,452951.53,,,
2004-09-01,23580.027000000002,106675.28,459634.03,,,
2004-10-01,24285.031,109864.7,473376.34,,,
2004-11-01,20485.853,92677.34,399320.8,,,
2004-12-01,24355.789,110184.8,474755.59,,,
2005-01-01,15084.08819,68239.92,258328.37,1911.21681,8646.28,32731.28
2005-02-01,13779.45933,62337.83,233168.3,1560.57567,7059.99,26407.19
2005-03-01,14717.14411,66579.88,251635.83,1837.86189,8314.43,31424.03
2005-04-01,14706.34194,66531.02,252844.37,1928.17306,8722.99,33150.85
2005-05-01,16172.87815,73165.58,277700.47,2096.90785,9486.34,36005.48
2005-06-01,21425.12937,96926.6,356690.09,2041.34663,9234.99,33984.77
2005-07-01,27931.24904,126360.07,456748.29,2118.01096,9581.81,34634.97
2005-08-01,29113.27632,131707.52,473336.61,2027.32168,9171.54,32961.1
2005-09-01,21719.50963,98258.36,356996.85,1767.14937,7994.53,29046.09
2005-10-01,16965.36322,76750.76,277098.53,1264.82178,5722.01,20658.58
2005-11-01,14978.20922,67760.94,247238.04,1287.46778,5824.46,21251.61
2005-12-01,16877.33345,76352.51,282091.32,1681.32455,7606.26,28102.01
2006-01-01,19613.17337,88729.37,280390.82,860.96763,3894.99,12308.43
2006-02-01,17226.88073,77933.85,247213.48,824.65027,3730.69,11834.1
2006-03-01,19088.95184,86357.8,273822.37,905.56116,4096.73,12989.86
2006-04-01,18188.44269,82283.93,260898.47,862.36631,3901.32,12369.95
2006-05-01,21252.51957,96145.71,304098.68,952.77043,4310.3,13633.03
2006-06-01,22662.62789,102525.0,322329.94,873.90811,3953.53,12429.57
2006-07-01,25617.71932,115893.74,362929.29,883.38168,3996.39,12514.97
2006-08-01,26416.21436,119506.1,374928.05,961.03664,4347.7,13640.09
2006-09-01,21467.00987,97116.06,305280.12,824.54813,3730.23,11725.81
2006-10-01,22472.35079,101664.19,320021.27,895.60621,4051.69,12754.03
2006-11-01,18880.39057,85414.28,270327.18,858.90343,3885.65,12297.68
2006-12-01,21305.84829,96386.97,303142.35,829.60971,3753.13,11803.79
2007-01-01,20527.755,91010.0,323772.0,,,
2007-02-01,17442.02,77329.0,275103.0,,,
2007-03-01,20296.162,89982.0,320120.0,,,
2007-04-01,19115.782,84750.0,301502.0,,,
2007-05-01,20834.595,92370.0,328611.0,,,
2007-06-01,24394.381,108153.0,384758.0,,,
2007-07-01,26337.855,116769.0,415411.0,,,
2007-08-01,31397.641,139201.0,495216.0,,,
2007-09-01,25667.43,113796.0,404837.0,,,
2007-10-01,21577.798,95665.0,340334.0,,,
2007-11-01,17064.166,75653.0,269143.0,,,
2007-12-01,17689.415,78426.0,279005.0,,,
2008-01-01,15988.68,70886.0,199491.0,,,
2008-02-01,13511.038,59901.0,168576.0,,,
2008-03-01,15502.833999999999,68732.0,193428.0,,,
2008-04-01,15074.92,66834.0,188089.0,,,
2008-05-01,18334.583,81286.0,228759.0,,,
2008-06-01,22270.747,98737.0,277871.0,,,
2008-07-01,24164.571,107133.0,301501.0,,,
2008-08-01,23802.523,105528.0,296983.0,,,
2008-09-01,16043.158,71127.0,200170.0,,,
2008-10-01,15360.001,68098.0,191646.0,,,
2008-11-01,11806.526,52344.0,147309.0,,,
2008-12-01,13085.419,58014.0,163266.0,,,
2009-01-01,17345.033,76899.0,286300.0,,,
2009-02-01,14800.88,65620.0,244307.0,,,
2009-03-01,19045.453999999998,84438.0,314369.0,,,
2009-04-01,16611.581,73647.0,274195.0,,,
2009-05-01,22238.681,98595.0,367078.0,,,
2009-06-01,29739.07,131848.0,490880.0,,,
2009-07-01,32804.589,145439.0,541481.0,,,
2009-08-01,32914.835,145928.0,543301.0,,,
2009-09-01,24629.639,109195.0,406543.0,,,
2009-10-01,19824.393,87891.0,327226.0,,,
2009-11-01,15250.701000000001,67614.0,251732.0,,,
2009-12-01,19953.144,88462.0,329352.0,,,
2010-01-01,21109.600000000002,93589.0,310533.0,,,
2010-02-01,19782.576,87706.0,291013.0,,,
2010-03-01,15688.27,69554.0,230783.0,,,
2010-04-01,18393.111,81546.0,270573.0,,,
2010-05-01,22470.586,99623.0,330555.0,,,
2010-06-01,27038.420000000002,119875.0,397751.0,,,
2010-07-01,28242.48,125213.0,415463.0,,,
2010-08-01,33469.882,148388.0,492361.0,,,
2010-09-01,24344.015,107929.0,358115.0,,,
2010-10-01,18095.364,80226.0,266193.0,,,
2010-11-01,16346.616,72473.0,240468.0,,,
2010-12-01,17059.08,75631.0,250949.0,,,
2011-01-01,18160.475,80514.0,321285.0,,,
2011-02-01,16489.625,73107.0,291726.0,,,
2011-03-01,14834.466,65768.0,262444.0,,,
2011-04-01,19134.273,84832.0,338514.0,,,
2011-05-01,20377.859,90345.0,360515.0,,,
2011-06-01,26451.959,117274.0,467974.0,,,
2011-07-01,32080.118,142227.0,567544.0,,,
2011-08-01,34527.709,153078.0,610846.0,,,
2011-09-01,24294.932,107711.0,429814.0,,,
2011-10-01,18541.394,82203.0,328025.0,,,
2011-11-01,17107.327,75845.0,302654.0,,,
2011-12-01,20549.863,91108.0,363558.0,,,
2012-01-01,19572.922,86776.0,346479.0,,,
2012-02-01,18243.772,80884.0,322950.0,,,
2012-03-01,20019.24,88755.0,354380.0,,,
2012-04-01,22526.244,99870.0,398758.0,,,
2012-05-01,24201.192,107296.0,428408.0,,,
2012-06-01,26888.05,119208.0,475971.0,,,
2012-07-01,29008.416,128608.0,513505.0,,,
2012-08-01,30086.745,133389.0,532594.0,,,
2012-09-01,23242.405,103045.0,411435.0,,,
2012-10-01,18254.986,80933.0,323148.0,,,
2012-11-01,16535.184,73309.0,292704.0,,,
2012-12-01,17793.844,78889.0,314985.0,,,
2013-01-01,19892.737,88194.0,362259.0,,,
2013-02-01,15712.875,69663.0,286143.0,,,
2013-03-01,16914.819,74992.0,308031.0,,,
2013-04-01,18231.834,80831.0,332014.0,,,
2013-05-01,19625.455,87009.0,357393.0,,,
2013-06-01,24225.347,107403.0,441160.0,,,
2013-07-01,26864.947,119105.0,489229.0,,,
2013-08-01,29901.115,132566.0,544520.0,,,
2013-09-01,25298.048,112159.0,460695.0,,,
2013-10-01,19794.013,87757.0,360463.0,,,
2013-11-01,19350.365,85790.0,352383.0,,,
2013-12-01,21158.445,93806.0,385310.0,,,
2014-01-01,18460.572,81845.0,344567.0,,,
2014-02-01,16110.1,71424.0,300697.0,,,
2014-03-01,16349.64,72486.0,305168.0,,,
2014-04-01,16909.522,74968.0,315618.0,,,
2014-05-01,18712.719,82963.0,349275.0,,,
2014-06-01,21855.339,96895.0,407932.0,,,
2014-07-01,25391.646,112574.0,473938.0,,,
2014-08-01,28288.21,125415.0,528002.0,,,
2014-09-01,22997.433,101959.0,429250.0,,,
2014-10-01,20142.208,89300.0,375957.0,,,
2014-11-01,17472.203,77463.0,326121.0,,,
2014-12-01,19087.408,84624.0,356269.0,,,
2015-01-01,18792.403,83316.0,350877.0,,,
2015-02-01,17033.182,75516.0,318031.0,,,
2015-03-01,19309.696,85609.0,360536.0,,,
2015-04-01,17892.712,79327.0,334079.0,,,
2015-05-01,18605.971,82489.0,347397.0,,,
2015-06-01,21893.184,97063.0,408773.0,,,
2015-07-01,25961.028,115098.0,484725.0,,,
2015-08-01,26673.006,118254.0,498019.0,,,
2015-09-01,22364.771,99154.0,417578.0,,,
2015-10-01,19483.918,86382.0,363790.0,,,
2015-11-01,16922.837,75027.0,315971.0,,,
2015-12-01,19077.292,84579.0,356197.0,,,
2016-01-01,20246.74,84246.0,388084.0,,,
2016-02-01,17680.538,73568.0,338895.0,,,
2016-03-01,19900.584,82806.0,381448.0,,,
2016-04-01,18989.797,79016.0,363991.0,,,
2016-05-01,21220.506,88298.0,406748.0,,,
2016-06-01,23729.088,98736.0,454832.0,,,
2016-07-01,26524.934,110370.0,508422.0,,,
2016-08-01,27305.121,113616.0,523376.0,,,
2016-09-01,23066.868,95981.0,442139.0,,,
2016-10-01,18177.062,75634.0,348412.0,,,
2016-11-01,16256.109,67641.0,311593.0,,,
2016-12-01,15140.653,63000.0,290212.0,,,
2017-01-01,14357.846,59743.0,289986.0,,,
2017-02-01,12724.275,52945.0,256992.0,,,
2017-03-01,14992.123,62382.0,302796.0,,,
2017-04-01,14819.703,61664.0,299314.0,,,
2017-05-01,16912.619,70373.0,341584.0,,,
2017-06-01,21664.003,90143.0,437548.0,,,
2017-07-01,26576.278,110583.0,536761.0,,,
2017-08-01,25370.661,105567.0,512412.0,,,
2017-09-01,18710.508,77854.0,377897.0,,,
2017-10-01,16534.786,68801.0,333953.0,,,
2017-11-01,13751.31,57219.0,277735.0,,,
2017-12-01,17983.888,74831.0,363220.0,,,
