measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,2097.442,18229.0,123111.0,3115.157,27074.0,182846.0,,,,630.7520000000001,5482.0,37022.0,67.027,583.0,3934.0,,,,,,,6834.621,59400.0,401162.0
2001-02-01,1791.671,15571.0,105163.0,2661.021,23127.0,156190.0,,,,538.8,4683.0,31625.0,57.256,498.0,3361.0,,,,,,,5838.252,50740.0,342680.0
2001-03-01,2055.97,17868.0,120676.0,3053.563,26539.0,179231.0,,,,618.2810000000001,5373.0,36290.0,65.702,571.0,3856.0,,,,,,,6699.484,58225.0,393230.0
2001-04-01,1856.5120000000002,16135.0,108969.0,2757.324,23964.0,161843.0,,,,558.299,4852.0,32770.0,59.328,516.0,3482.0,,,,,,,6049.5380000000005,52577.0,355081.0
2001-05-01,1831.497,15918.0,107501.0,2720.172,23641.0,159662.0,,,,550.7760000000001,4787.0,32328.0,58.528000000000006,509.0,3435.0,,,,,,,5968.027,51868.0,350297.0
2001-06-01,1980.433,17212.0,116243.0,2941.373,25563.0,172646.0,,,,595.565,5176.0,34957.0,63.288000000000004,550.0,3715.0,,,,,,,6453.341,56086.0,378783.0
2001-07-01,2032.4370000000001,17664.0,119295.0,3018.6110000000003,26235.0,177179.0,,,,611.2040000000001,5312.0,35875.0,64.95,564.0,3812.0,,,,,,,6622.799,57559.0,388729.0
2001-08-01,2065.845,17954.0,121256.0,3068.228,26666.0,180092.0,,,,621.25,5399.0,36465.0,66.01700000000001,574.0,3875.0,,,,,,,6731.659000000001,58505.0,395119.0
2001-09-01,1952.4560000000001,16969.0,114601.0,2899.822,25202.0,170207.0,,,,587.152,5103.0,34463.0,62.394000000000005,542.0,3662.0,,,,,,,6362.177000000001,55294.0,373432.0
2001-10-01,2027.335,17620.0,118996.0,3011.034,26169.0,176735.0,,,,609.67,5299.0,35785.0,64.787,563.0,3803.0,,,,,,,6606.175,57414.0,387754.0
2001-11-01,1955.2540000000001,16993.0,114765.0,2903.9770000000003,25238.0,170451.0,,,,587.993,5110.0,34513.0,62.483000000000004,543.0,3667.0,,,,,,,6371.293000000001,55373.0,373967.0
2001-12-01,2032.4370000000001,17664.0,119295.0,3018.6110000000003,26235.0,177179.0,,,,611.2040000000001,5312.0,35875.0,64.95,564.0,3812.0,,,,,,,6622.799,57559.0,388729.0
2002-01-01,3986.0,118041.0,134985.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,8140.0,241070.0,275672.0
2002-02-01,3670.0,106621.0,122221.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,7560.0,219647.0,251784.0
2002-03-01,3148.0,85397.0,98780.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,7722.0,209455.0,242280.0
2002-04-01,3061.0,82382.0,95392.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6597.0,177579.0,205624.0
2002-05-01,2137.0,69887.0,78969.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6021.0,196940.0,222536.0
2002-06-01,11495.0,76755.0,125609.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2002-07-01,11495.0,76755.0,125609.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2002-08-01,10376.0,129756.0,173853.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2002-09-01,523.0,4733.0,31150.0,8195.0,74167.0,488094.0,,,,,,,,,,,,,,,,851.0,7702.0,50686.0
2002-10-01,937.0,8480.0,55808.0,10167.0,92014.0,605547.0,,,,,,,,,,,,,,,,1118.0,10118.0,66588.0
2002-11-01,332.0,3005.0,19774.0,7800.0,70592.0,464568.0,,,,,,,,,,,,,,,,811.0,7340.0,48303.0
2002-12-01,402.0,3638.0,23943.0,7440.0,67334.0,443126.0,,,,,,,,,,,,,,,,687.0,6218.0,40918.0
2004-01-01,,,,5101.03405,27521.51,396302.4,,,,356.44891,1923.14,27692.73,167.66920000000002,904.62,13026.32,,,,,,,4168.86384,22492.19,323881.54
2004-02-01,,,,4841.48389,26121.16,376137.72,,,,271.63214,1465.53,21103.26,143.0549,771.82,11114.02,,,,,,,3006.97807,16223.49,233613.89
2004-03-01,,,,4639.76494,25032.84,360466.08,,,,376.47365,2031.18,29248.46,115.78808,624.71,8995.64,,,,,,,2352.17734,12690.66,182742.05
2004-04-01,,,,5205.01897,28082.54,404381.04,,,,308.81227,1666.13,23991.81,61.23254,330.37,4757.19,,,,,,,3932.38622,21216.33,305509.44
2004-05-01,,,,5432.18833,29308.18,422029.92,,,,294.92632,1591.21,22913.0,47.87039,258.27,3719.08,,,,,,,4176.92096,22535.66,324507.46
2004-06-01,,,,4819.35995,26001.8,374418.96,,,,242.8873,1310.45,18870.06,103.01706,555.81,8003.46,,,,,,,3782.01869,20405.05,293827.3
2004-07-01,,,,4570.34591,24658.3,355072.92,,,,304.47094,1642.71,23654.53,112.85014,608.86,8767.4,,,,,,,3600.88902,19427.81,279755.23
2004-08-01,,,,5564.48292,30021.94,432307.92,,,,300.15556,1619.42,23319.26,124.05287,669.3,9637.74,,,,,,,3698.11865,19952.38,287308.99
2004-09-01,,,,5219.25501,28159.35,405487.08,,,,421.12402,2272.08,32717.38,40.7652,219.94,3167.07,,,,,,,3336.02777,17998.81,259178.02
2004-10-01,,,,5333.36297,28774.99,414352.08,,,,553.60416,2986.85,43009.83,0.11272,0.61,8.76,,,,,,,3689.66415,19906.77,286652.16
2004-11-01,,,,5366.47164,28953.62,416924.4,,,,353.61498,1907.85,27472.56,93.43536,504.11,7259.05,,,,,,,3745.61702,20208.66,290999.23
2004-12-01,,,,5366.10005,28951.61,416895.48,,,,218.90836,1181.07,17007.12,216.81437,1169.77,16844.44,,,,,,,3401.58322,18352.5,264271.01
2006-01-01,,,,7836.70876,42281.25,383672.76,,,,1148.63579,6197.21,56235.38,100.74538,543.55,4932.33,,,,,,,5202.70607,28070.06,254716.19
2006-02-01,,,,7069.03943,38139.45,348312.48,,,,1137.9764,6139.7,56071.46,92.25806999999999,497.76,4545.83,,,,,,,4693.0591,25320.37,231240.9
2006-03-01,,,,7651.87696,41284.03,377251.8,,,,1240.7430000000002,6694.16,61170.94,87.53474,472.27,4315.63,,,,,,,5079.9973,27408.01,250453.34
2006-04-01,,,,7118.20809,38404.73,348686.52,,,,1049.91629,5664.59,51430.31,67.61048,364.78,3311.91,,,,,,,4725.70113,25496.48,231489.2
2006-05-01,,,,7113.90767,38381.53,347851.8,,,,1020.31907,5504.91,49890.98,61.548700000000004,332.07,3009.57,,,,,,,4722.84456,25481.07,230934.96
