measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,2339.9090000000006,57999.0,57999.0,,,
2003-02-01,,,,2113.1815,52379.0,52379.0,,,
2003-03-01,,,,2168.0975,53740.5,53740.5,,,
2003-04-01,,,,1956.8600000000001,48504.5,48504.5,,,
2003-05-01,,,,1979.7250000000001,49071.5,49071.5,,,
2003-06-01,,,,2195.8725,54429.0,54429.0,,,
2003-07-01,,,,2552.786,63275.5,63275.5,,,
2003-08-01,,,,2591.548,64236.5,64236.5,,,
2003-09-01,,,,2184.78,54154.0,54154.0,,,
2003-10-01,,,,2093.5975,51894.0,51894.0,,,
2003-11-01,,,,2056.3545,50970.5,50970.5,,,
2003-12-01,,,,2320.789,57525.0,57525.0,,,
2004-01-01,,,,1899.9585,52428.5,52428.5,,,
2004-02-01,,,,1761.9740000000002,48621.0,48621.0,,,
2004-03-01,,,,2341.7675,64620.0,64620.0,,,
2004-04-01,,,,1847.1045,50970.0,50970.0,,,
2004-05-01,,,,1932.5565000000001,53328.0,53328.0,,,
2004-06-01,,,,1975.365,54509.5,54509.5,,,
2004-07-01,,,,2185.061,60296.0,60296.0,,,
2004-08-01,,,,2088.7205,57637.5,57637.5,,,
2004-09-01,,,,1938.747,53499.0,53499.0,,,
2004-10-01,,,,2146.2695000000003,59225.5,59225.5,,,
2004-11-01,,,,2148.1805,59278.0,59278.0,,,
2004-12-01,,,,2179.295,60137.0,60137.0,,,
2005-01-01,,,,1754.578,51607.78,51607.78,,,
2005-02-01,,,,1565.2215,46038.2,46038.2,,,
2005-03-01,,,,1787.699,52581.990000000005,52581.990000000005,,,
2005-04-01,,,,1784.0035,52473.295,52473.295,,,
2005-05-01,,,,1961.2530000000002,57686.759999999995,57686.759999999995,,,
2005-06-01,,,,1943.0345,57150.91,57150.91,,,
2005-07-01,,,,2011.9085,59176.705,59176.705,,,
2005-08-01,,,,2002.8155,58909.25,58909.25,,,
2005-09-01,,,,1886.6385,55492.119999999995,55492.119999999995,,,
2005-10-01,,,,1904.4215,56015.175,56015.175,,,
2005-11-01,,,,1918.0745000000002,56416.75,56416.75,,,
2005-12-01,,,,1922.3519999999999,56542.57,56542.57,,,
2008-12-01,0.0,0.0,0.0,,,,,,
2009-01-01,0.0,0.0,0.0,,,,15.207,444.0,444.0
2009-02-01,0.0,0.0,0.0,,,,14.464,420.0,420.0
2009-03-01,0.0,0.0,0.0,,,,17.222,501.0,501.0
2009-04-01,0.0,0.0,0.0,,,,17.068,496.0,496.0
2009-05-01,0.0,0.0,0.0,,,,16.17,470.0,470.0
2009-06-01,0.0,0.0,0.0,,,,17.202,500.0,500.0
2009-07-01,0.0,0.0,0.0,,,,20.827,605.0,605.0
2009-08-01,0.0,0.0,0.0,,,,25.363,737.0,737.0
2009-09-01,0.0,0.0,0.0,,,,17.413,506.0,506.0
2009-10-01,0.0,0.0,0.0,,,,15.599,453.0,453.0
2009-11-01,0.0,0.0,0.0,,,,15.591000000000001,453.0,453.0
2009-12-01,0.0,0.0,0.0,,,,16.266000000000002,473.0,473.0
2010-01-01,0.0,0.0,0.0,,,,46.236000000000004,1344.0,1344.0
2010-02-01,0.0,0.0,0.0,,,,43.803000000000004,1273.0,1273.0
2010-03-01,0.0,0.0,0.0,,,,44.614000000000004,1296.0,1296.0
2010-04-01,0.0,0.0,0.0,,,,47.917,1392.0,1392.0
2010-05-01,0.0,0.0,0.0,,,,51.93,1509.0,1509.0
2010-06-01,0.0,0.0,0.0,,,,68.032,1976.0,1976.0
2010-07-01,0.0,0.0,0.0,,,,92.64200000000001,2691.0,2691.0
2010-08-01,0.0,0.0,0.0,,,,83.57300000000001,2428.0,2428.0
2010-09-01,0.0,0.0,0.0,,,,75.39800000000001,2190.0,2190.0
2010-10-01,0.0,0.0,0.0,,,,55.961000000000006,1626.0,1626.0
2010-11-01,0.0,0.0,0.0,,,,58.935,1712.0,1712.0
2010-12-01,0.0,0.0,0.0,,,,52.769000000000005,1533.0,1533.0
2011-01-01,0.0,0.0,0.0,,,,39.248,608.0,1249.0
2011-02-01,0.0,0.0,0.0,,,,35.998,558.0,1146.0
2011-03-01,0.0,0.0,0.0,,,,44.769,694.0,1425.0
2011-04-01,0.0,0.0,0.0,,,,39.596,614.0,1260.0
2011-05-01,0.0,0.0,0.0,,,,42.931,665.0,1366.0
2011-06-01,0.0,0.0,0.0,,,,50.712,786.0,1614.0
2011-07-01,0.0,0.0,0.0,,,,74.136,1149.0,2360.0
2011-08-01,0.0,0.0,0.0,,,,63.519,984.0,2022.0
2011-09-01,0.0,0.0,0.0,,,,51.639,800.0,1644.0
2011-10-01,0.0,0.0,0.0,,,,47.902,742.0,1525.0
2011-11-01,0.0,0.0,0.0,,,,42.581,660.0,1355.0
2011-12-01,0.0,0.0,0.0,,,,46.516,721.0,1481.0
2012-01-01,0.0,0.0,0.0,,,,24.742,744.0,744.0
2012-02-01,0.0,0.0,0.0,,,,23.685,712.0,712.0
2012-03-01,0.0,0.0,0.0,,,,22.925,689.0,689.0
2012-04-01,0.0,0.0,0.0,,,,24.968,751.0,751.0
2012-05-01,0.0,0.0,0.0,,,,30.916,930.0,930.0
2012-06-01,0.0,0.0,0.0,,,,35.117,1056.0,1056.0
2012-07-01,0.0,0.0,0.0,,,,45.458,1367.0,1367.0
2012-08-01,0.0,0.0,0.0,,,,39.928,1201.0,1201.0
2012-09-01,0.0,0.0,0.0,,,,30.047,904.0,904.0
2012-10-01,0.0,0.0,0.0,,,,28.4,854.0,854.0
2012-11-01,0.0,0.0,0.0,,,,28.285,851.0,851.0
2012-12-01,0.0,0.0,0.0,,,,26.058,784.0,784.0
2013-01-01,0.0,0.0,0.0,,,,46.804,1973.0,1973.0
2013-02-01,0.0,0.0,0.0,,,,47.984,2023.0,2023.0
