measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-01-01,40.773900000000005,325.72,1100.71,3797.41619,30335.11,102512.74,3107.00091,24819.82,83874.71
2004-02-01,68.86952,550.15,1859.16,3797.41419,30335.09,102512.74,3106.99928,24819.81,83874.71
2004-03-01,59.25664,473.36,1599.66,3797.41468,30335.09,102512.74,3106.99968,24819.81,83874.71
2004-04-01,36.2887,289.89,979.63,3797.41685,30335.11,102512.74,3107.00145,24819.83,83874.71
2004-05-01,166.01577,1326.19,4481.67,3797.40526,30335.02,102512.74,3106.99197,24819.75,83874.71
2004-06-01,56.426719999999996,450.76,1523.26,3797.41464,30335.09,102512.74,3106.99964,24819.81,83874.71
2004-07-01,56.48558,451.23,1524.85,3797.4152599999998,30335.1,102512.74,3107.00016,24819.82,83874.71
2004-08-01,57.13543,456.42,1542.39,3797.4148,30335.09,102512.74,3106.99978,24819.81,83874.71
2004-09-01,82.65615,660.29,2231.34,3797.41275,30335.08,102512.74,3106.9981000000002,24819.8,83874.71
2004-10-01,96.65122,772.08,2609.14,3797.41161,30335.07,102512.74,3106.99717,24819.8,83874.71
2004-11-01,67.55756,539.67,1823.74,3797.41417,30335.09,102512.74,3106.99927,24819.81,83874.71
2004-12-01,37.55652,300.01,1013.85,3797.41639,30335.11,102512.74,3107.00108,24819.83,83874.71
2005-01-01,125.79336,1004.88,3676.02,3896.41409,31125.94,113863.69,3061.32954,24454.98,89460.27
2005-02-01,30.7758,245.85,896.94,3332.04765,26617.58,97110.28,2617.91654,20912.84,76297.41
2005-03-01,43.96297,351.19,1281.66,3721.28095,29726.91,108487.15,2923.73308,23355.81,85236.1
2005-04-01,36.116859999999996,288.51,1052.76,3436.38605,27451.06,100166.22,2699.89909,21567.75,78698.58
2005-05-01,37.35041,298.37,1088.64,3765.37598,30079.16,109748.17,2958.37561,23632.55,86226.8
2005-06-01,32.67093,260.99,952.14,3651.44927,29169.06,106415.43,2868.8698,22917.54,83608.45
2005-07-01,95.14685,760.07,2777.88,3915.9246000000003,31281.79,114328.21,3076.66055,24577.45,89825.3
2005-08-01,115.0825,919.32,3362.34,3769.39008,30111.22,110129.44,2961.52942,23657.74,86526.35
2005-09-01,95.05914,759.37,2776.02,3590.39901,28681.38,104850.72,2820.89784,22534.33,82378.91
2005-10-01,40.14608,320.7,1170.54,3103.37539,24790.86,90485.18,2438.25954,19477.68,71092.38
2005-11-01,40.23862,321.44,1173.06,3456.12265,27608.73,100754.92,2715.40573,21691.62,79161.1
2005-12-01,90.63846,724.05,2646.0,3862.05736,30851.48,112744.68,3034.33818,24239.37,88581.15
2006-01-01,61.02948,487.52,1716.45,,,,,,
2006-02-01,73.87850999999999,590.17,2078.31,,,,,,
2006-03-01,62.428529999999995,498.7,1755.95,,,,,,
2006-04-01,48.08379,384.11,1352.21,,,,,,
2006-05-01,84.93482999999999,678.49,2389.37,,,,,,
2006-06-01,79.92672999999999,638.48,2248.14,,,,,,
2006-07-01,84.38969,674.13,2374.23,,,,,,
2006-08-01,132.68201,1059.91,3735.49,,,,,,
2006-09-01,86.61254,691.89,2436.64,,,,,,
2006-10-01,46.219829999999995,369.22,1299.66,,,,,,
2006-11-01,37.41032,298.85,1051.83,,,,,,
2006-12-01,70.79814,565.56,1991.31,,,,,,
2007-01-01,63.177,590.0,2077.0,,,,,,
2007-02-01,74.866,708.0,2502.0,,,,,,
2007-03-01,34.208,319.0,1097.0,,,,,,
2007-04-01,41.99,389.0,1322.0,,,,,,
2007-05-01,42.424,395.0,1392.0,,,,,,
2007-06-01,39.948,372.0,1286.0,,,,,,
2007-07-01,70.325,661.0,2466.0,,,,,,
2007-08-01,44.271,437.0,1699.0,,,,,,
2007-09-01,61.524,566.0,1959.0,,,,,,
2007-10-01,94.971,903.0,3564.0,,,,,,
2007-11-01,52.062000000000005,490.0,1687.0,,,,,,
2007-12-01,60.557,566.0,1947.0,,,,,,
2008-01-01,68.888,650.0,2325.0,,,,,,
2008-02-01,63.506,622.0,2018.0,,,,,,
2008-03-01,88.95,828.0,2867.0,,,,,,
2008-04-01,34.896,329.0,1180.0,,,,,,
2008-05-01,64.44200000000001,612.0,2254.0,,,,,,
2008-06-01,73.437,713.0,2620.0,,,,,,
2008-07-01,76.696,758.0,2808.0,,,,,,
2008-08-01,119.26100000000001,1187.0,5039.0,,,,,,
2008-09-01,103.93700000000001,1021.0,3965.0,,,,,,
2008-10-01,105.715,1071.0,4012.0,,,,,,
2008-11-01,31.949,294.0,968.0,,,,,,
2008-12-01,51.067,479.0,1723.0,,,,,,
2009-01-01,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,,,,,,
2009-03-01,0.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,,,,,,
