measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2004-01-01,0.00545,0.03,4.0,37.47121,198.24,27496.07,27.55933,145.8,20222.81
2004-02-01,0.00745,0.04,4.87,56.43125,298.55,36926.84,30.90431,163.5,20222.81
2004-03-01,0.00166,0.01,1.22,37.657979999999995,199.23,27591.04,27.60136,146.03,20222.81
2004-04-01,0.0023899999999999998,0.01,1.57,56.33137,298.03,36877.07,30.89124,163.43,20222.81
2004-05-01,0.015529999999999999,0.08,7.95,187.73433,993.23,96082.36,39.51314,209.05,20222.81
2004-06-01,0.049100000000000005,0.26,23.66,299.90459,1586.68,144553.06,41.956309999999995,221.97,20222.81
2004-07-01,0.04487,0.24,21.75,285.27529,1509.28,138267.91,41.723839999999996,220.74,20222.81
2004-08-01,0.03077,0.16,15.31,229.7444,1215.49,114326.07,40.63883,215.0,20222.81
2004-09-01,0.08501,0.45,41.82,251.83443,1332.36,123886.58,41.10857,217.49,20222.81
2004-10-01,0.024249999999999997,0.13,12.76,157.24451,831.92,82738.95,38.43324,203.34,20222.81
2004-11-01,0.00257,0.01,1.57,75.48563,399.36,45957.99,33.2158,175.73,20222.81
2004-12-01,0.01512,0.08,8.64,100.66826,532.6,57528.46,35.38762,187.22,20222.81
2005-01-01,2.19169,11.6,5929.57,21.65839,114.59,58596.29,5.79092,30.64,15667.19
2005-02-01,0.5718,3.03,1446.87,20.901609999999998,110.58,52889.26,5.280600000000001,27.94,13361.99
2005-03-01,0.80584,4.26,2067.35,22.24859,117.71,57078.23,5.818569999999999,30.78,14927.4
2005-04-01,0.67642,3.58,1698.12,22.84552,120.87,57352.36,5.49006,29.05,13782.48
2005-05-01,0.7007599999999999,3.71,1756.01,25.13705,132.99,62990.44,6.02619,31.88,15100.91
2005-06-01,0.64747,3.43,1535.9,34.10698,180.45,80907.55,6.172549999999999,32.66,14642.34
2005-07-01,1.89665,10.03,4480.91,43.85277,232.01,103603.62,6.65858,35.23,15731.11
2005-08-01,2.3022899999999997,12.18,5423.64,45.576209999999996,241.12,107366.33,6.43249,34.03,15153.37
2005-09-01,1.8364,9.72,4477.89,33.209019999999995,175.7,80977.13,5.91658,31.3,14427.04
2005-10-01,0.7776799999999999,4.11,1888.13,25.88825,136.97,62853.9,5.12807,27.13,12450.41
2005-11-01,0.74724,3.95,1892.25,22.14611,117.17,56080.69,5.47465,28.96,13863.48
2005-12-01,1.64917,8.73,4268.16,24.723679999999998,130.8,63986.41,5.994149999999999,31.71,15513.22
2006-01-01,0.36302,1.92,1748.24,13.9708,73.91,67280.19,3.40218,18.0,16384.1
2006-02-01,0.43490999999999996,2.3,2116.83,12.18733,64.48,59319.24,3.01477,15.95,14673.73
2006-03-01,0.38400999999999996,2.03,1788.49,14.107429999999999,74.64,65704.08,2.82856,14.97,13173.74
2006-04-01,0.29923,1.58,1377.27,13.60154,71.96,62602.96,2.60222,13.77,11977.09
2006-05-01,0.52394,2.77,2433.56,15.71003,83.12,72968.91,3.0010299999999996,15.88,13938.97
2006-06-01,0.5239,2.77,2289.78,17.69605,93.62,77343.53,2.16905,11.48,9480.2
2006-07-01,0.54384,2.88,2418.19,19.58523,103.62,87085.4,2.8279199999999998,14.96,12574.31
2006-08-01,0.8502000000000001,4.5,3804.63,20.103859999999997,106.36,89964.52,2.76194,14.61,12359.67
2006-09-01,0.5494,2.91,2481.76,16.21624,85.79,73252.41,2.5443599999999997,13.46,11493.44
2006-10-01,0.29355,1.55,1323.73,17.02874,90.09,76789.56,2.9207099999999997,15.45,13170.68
2006-11-01,0.22782999999999998,1.21,1071.32,13.79464,72.98,64865.39,3.07652,16.28,14466.48
2006-12-01,0.43402999999999997,2.3,2028.2,15.56603,82.35,72739.45,3.17495,16.8,14836.4
2007-01-01,0.0,0.0,0.0,13.419,87.0,85731.0,,,
2007-02-01,0.0,0.0,0.0,13.524000000000001,88.0,86407.0,,,
2007-03-01,0.0,0.0,0.0,13.475,87.0,86092.0,,,
2007-04-01,0.0,0.0,0.0,17.867,116.0,114153.0,,,
2007-05-01,0.0,0.0,0.0,19.158,124.0,122403.0,,,
2007-06-01,0.0,0.0,0.0,19.63,127.0,125413.0,,,
2007-07-01,0.0,0.0,0.0,21.734,141.0,138857.0,,,
2007-08-01,0.0,0.0,0.0,23.345,151.0,149149.0,,,
2007-09-01,0.0,0.0,0.0,21.672,141.0,138458.0,,,
2007-10-01,0.0,0.0,0.0,21.37,139.0,136534.0,,,
2007-11-01,0.0,0.0,0.0,17.168,111.0,109686.0,,,
2007-12-01,0.0,0.0,0.0,16.638,108.0,106301.0,,,
2008-01-01,0.0,0.0,0.0,0.066,0.0,533.0,,,
2008-02-01,0.0,0.0,0.0,0.061000000000000006,0.0,497.0,,,
2008-03-01,0.0,0.0,0.0,0.07300000000000001,0.0,589.0,,,
2008-04-01,0.0,0.0,0.0,0.079,0.0,641.0,,,
2008-05-01,0.0,0.0,0.0,0.09,0.0,729.0,,,
2008-06-01,0.0,0.0,0.0,0.098,1.0,793.0,,,
2008-07-01,0.0,0.0,0.0,0.096,1.0,779.0,,,
2008-08-01,0.0,0.0,0.0,0.108,1.0,875.0,,,
2008-09-01,0.0,0.0,0.0,0.097,1.0,792.0,,,
2008-10-01,0.0,0.0,0.0,0.084,0.0,686.0,,,
2008-11-01,0.0,0.0,0.0,0.067,0.0,548.0,,,
2008-12-01,0.0,0.0,0.0,0.061000000000000006,0.0,499.0,,,
2009-01-01,0.0,0.0,0.0,3552.503,12371.0,12371.0,,,
2009-02-01,0.0,0.0,0.0,3413.8740000000003,11889.0,11889.0,,,
2009-03-01,0.0,0.0,0.0,3956.123,13778.0,13778.0,,,
2009-04-01,0.0,0.0,0.0,4282.987,14916.0,14916.0,,,
2009-05-01,0.0,0.0,0.0,5047.802000000001,17580.0,17580.0,,,
2009-06-01,0.0,0.0,0.0,5611.198,19542.0,19542.0,,,
2009-07-01,0.0,0.0,0.0,5747.582,20017.0,20017.0,,,
2009-08-01,0.0,0.0,0.0,5891.442,20518.0,20518.0,,,
2009-09-01,0.0,0.0,0.0,5920.261,20618.0,20618.0,,,
2009-10-01,0.0,0.0,0.0,5331.892,18569.0,18569.0,,,
2009-11-01,0.0,0.0,0.0,4381.16,15259.0,15259.0,,,
2009-12-01,0.0,0.0,0.0,3761.976,13102.0,13102.0,,,
2010-01-01,0.0,0.0,0.0,4602.388,24349.0,60790.0,,,
2010-02-01,0.0,0.0,0.0,4160.103,22009.0,54948.0,,,
2010-03-01,0.0,0.0,0.0,4615.986,24421.0,60969.0,,,
2010-04-01,0.0,0.0,0.0,4776.955,25273.0,63095.0,,,
2010-05-01,0.0,0.0,0.0,5923.729,31340.0,78242.0,,,
2010-06-01,0.0,0.0,0.0,6587.853,34854.0,87014.0,,,
2010-07-01,0.0,0.0,0.0,6460.593000000001,34180.0,85332.0,,,
2010-08-01,0.0,0.0,0.0,6626.718000000001,35059.0,87527.0,,,
2010-09-01,0.0,0.0,0.0,6500.709000000001,34393.0,85863.0,,,
2010-10-01,0.0,0.0,0.0,5483.646000000001,29012.0,72429.0,,,
2010-11-01,0.0,0.0,0.0,4511.301,23868.0,59586.0,,,
2010-12-01,0.0,0.0,0.0,4985.679,26377.0,65852.0,,,
2011-01-01,0.0,0.0,0.0,4192.753,22182.0,58319.0,,,
2011-02-01,0.0,0.0,0.0,3783.001,20014.0,52620.0,,,
2011-03-01,0.0,0.0,0.0,4486.888,23738.0,62411.0,,,
2011-04-01,0.0,0.0,0.0,5185.137,27433.0,72123.0,,,
2011-05-01,0.0,0.0,0.0,5219.955,27617.0,72608.0,,,
2011-06-01,0.0,0.0,0.0,5728.383,30307.0,79679.0,,,
2011-07-01,0.0,0.0,0.0,5929.612,31371.0,82479.0,,,
2011-08-01,0.0,0.0,0.0,6318.166,33427.0,87883.0,,,
2011-09-01,0.0,0.0,0.0,5745.65,30398.0,79920.0,,,
2011-10-01,0.0,0.0,0.0,4827.862,25542.0,67154.0,,,
2011-11-01,0.0,0.0,0.0,4351.777,23024.0,60531.0,,,
2011-12-01,0.0,0.0,0.0,4405.756,23309.0,61282.0,,,
2012-01-01,0.0,0.0,0.0,4258.227,22529.0,59816.0,,,
2012-02-01,0.0,0.0,0.0,3985.254,21084.0,55981.0,,,
2012-03-01,0.0,0.0,0.0,4714.138,24941.0,66219.0,,,
2012-04-01,0.0,0.0,0.0,4654.047,24623.0,65376.0,,,
2012-05-01,0.0,0.0,0.0,5423.284,28692.0,76182.0,,,
2012-06-01,0.0,0.0,0.0,5265.995,27860.0,73971.0,,,
2012-07-01,0.0,0.0,0.0,5811.948,30749.0,81641.0,,,
2012-08-01,0.0,0.0,0.0,5796.988,30670.0,81431.0,,,
2012-09-01,0.0,0.0,0.0,5397.011,28553.0,75812.0,,,
2012-10-01,0.0,0.0,0.0,4854.653,25684.0,68193.0,,,
2012-11-01,0.0,0.0,0.0,3875.637,20504.0,54441.0,,,
2012-12-01,0.0,0.0,0.0,4353.178,23031.0,61149.0,,,
2013-01-01,0.0,0.0,0.0,4137.228,21888.0,56199.0,,,
2013-02-01,0.0,0.0,0.0,4157.325,21995.0,56473.0,,,
2013-03-01,0.0,0.0,0.0,4256.649,22520.0,57822.0,,,
2013-04-01,0.0,0.0,0.0,4286.726,22679.0,58231.0,,,
2013-05-01,0.0,0.0,0.0,4699.371,24863.0,63836.0,,,
2013-06-01,0.0,0.0,0.0,5240.116,27723.0,71182.0,,,
2013-07-01,0.0,0.0,0.0,5204.607,27536.0,70700.0,,,
2013-08-01,0.0,0.0,0.0,5714.843,30235.0,77631.0,,,
2013-09-01,0.0,0.0,0.0,5150.177,27248.0,69959.0,,,
2013-10-01,0.0,0.0,0.0,5021.159,26565.0,68207.0,,,
2013-11-01,0.0,0.0,0.0,4149.457,21953.0,56366.0,,,
2013-12-01,0.0,0.0,0.0,3903.102,20650.0,53020.0,,,
2014-01-01,0.0,0.0,0.0,5431.993,28164.0,68715.0,,,
2014-02-01,0.0,0.0,0.0,4166.911,21605.0,52712.0,,,
2014-03-01,0.0,0.0,0.0,5506.591,28551.0,69659.0,,,
2014-04-01,0.0,0.0,0.0,6065.04,31446.0,76725.0,,,
2014-05-01,0.0,0.0,0.0,6414.574,33258.0,81146.0,,,
2014-06-01,0.0,0.0,0.0,6493.006,33665.0,82138.0,,,
2014-07-01,0.0,0.0,0.0,7229.233,37482.0,91452.0,,,
2014-08-01,0.0,0.0,0.0,7747.901,40171.0,98012.0,,,
2014-09-01,0.0,0.0,0.0,6730.488,34896.0,85142.0,,,
2014-10-01,0.0,0.0,0.0,6331.94,32830.0,80100.0,,,
2014-11-01,0.0,0.0,0.0,4664.347,24184.0,59005.0,,,
2014-12-01,0.0,0.0,0.0,4939.976,25613.0,62492.0,,,
2015-01-01,0.0,0.0,0.0,5019.467,26025.0,63505.0,,,
2015-02-01,0.0,0.0,0.0,4525.005,23461.0,57249.0,,,
2015-03-01,0.0,0.0,0.0,5229.71,27115.0,66165.0,,,
2015-04-01,0.0,0.0,0.0,5923.724,30713.0,74945.0,,,
2015-05-01,0.0,0.0,0.0,6056.261,31400.0,76622.0,,,
2015-06-01,0.0,0.0,0.0,6313.664,32735.0,79878.0,,,
2015-07-01,0.0,0.0,0.0,6645.557,34456.0,84077.0,,,
2015-08-01,0.0,0.0,0.0,6731.302,34900.0,85162.0,,,
2015-09-01,0.0,0.0,0.0,6300.218,32665.0,79708.0,,,
2015-10-01,0.0,0.0,0.0,5991.455,31064.0,75802.0,,,
2015-11-01,0.0,0.0,0.0,5360.624,27794.0,67821.0,,,
2015-12-01,0.0,0.0,0.0,5411.013,28055.0,68458.0,,,
2016-01-01,0.0,0.0,0.0,5596.825,22925.0,71979.0,,,
2016-02-01,0.0,0.0,0.0,5228.194,21415.0,67238.0,,,
2016-03-01,0.0,0.0,0.0,5674.737,23244.0,72981.0,,,
2016-04-01,0.0,0.0,0.0,6239.726,25558.0,80247.0,,,
2016-05-01,0.0,0.0,0.0,6558.65,26864.0,84349.0,,,
2016-06-01,0.0,0.0,0.0,7165.693,29351.0,92155.0,,,
2016-07-01,0.0,0.0,0.0,7718.364,31615.0,99264.0,,,
2016-08-01,0.0,0.0,0.0,7754.676,31763.0,99730.0,,,
2016-09-01,0.0,0.0,0.0,6970.434,28551.0,89645.0,,,
2016-10-01,0.0,0.0,0.0,6282.548,25734.0,80798.0,,,
2016-11-01,0.0,0.0,0.0,4931.399,20199.0,63421.0,,,
2016-12-01,0.0,0.0,0.0,5104.534,20908.0,65648.0,,,
2017-01-01,0.0,0.0,0.0,5015.078,20542.0,65081.0,,,
2017-02-01,0.0,0.0,0.0,4695.128,19231.0,60930.0,,,
2017-03-01,0.0,0.0,0.0,5401.184,22123.0,70093.0,,,
2017-04-01,0.0,0.0,0.0,5616.472,23005.0,72887.0,,,
2017-05-01,0.0,0.0,0.0,6686.187,27387.0,86769.0,,,
2017-06-01,0.0,0.0,0.0,6608.525,27069.0,85761.0,,,
