measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,151.0,1835.0,1835.0,389.0,4019.54,4019.54
2001-04-01,328.0,3969.0,3969.0,836.0,8638.39,8638.39
2001-05-01,0.0,0.0,0.0,2097.0,21668.3,21668.3
2001-06-01,713.0,8639.0,8639.0,1497.0,15468.5,15468.5
2001-07-01,732.0,8873.0,8873.0,1532.0,15830.16,15830.16
2001-08-01,759.0,9197.0,9197.0,1418.0,14652.19,14652.19
2001-09-01,591.0,7164.0,7164.0,981.0,10136.67,10136.67
2001-10-01,192.0,2326.0,2326.0,352.0,3637.22,3637.22
2001-11-01,93.0,1121.0,1121.0,153.0,1580.95,1580.95
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,,,,124.0,1261.45,1261.45
2002-02-01,,,,0.0,0.0,0.0
2002-03-01,,,,578.0,5879.99,5879.99
2002-04-01,,,,941.0,9572.79,9572.79
2002-05-01,,,,1764.0,17945.17,17945.17
2002-06-01,,,,2624.0,26693.95,26693.95
2002-07-01,,,,1964.0,19979.77,19979.77
2002-08-01,,,,2128.0,21648.14,21648.14
2002-09-01,585.0,5918.0,5918.0,801.0,8148.57,8148.57
2002-10-01,216.0,2181.0,2181.0,353.0,3591.07,3591.07
2002-11-01,124.0,1261.0,1261.0,91.0,925.74,925.74
2002-12-01,43.0,441.0,441.0,13.0,132.25,132.25
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,187.0,1895.0,1895.0,358.0,3666.28,3666.28
2003-04-01,409.0,4141.0,4141.0,842.0,8622.92,8622.92
2003-05-01,433.0,4455.0,4455.0,993.0,10169.31,10169.31
2003-06-01,907.0,9429.0,9429.0,1490.0,15259.09,15259.09
2003-07-01,590.0,6127.0,6127.0,892.0,9134.97,9134.97
2003-08-01,665.0,6857.0,6857.0,912.0,9339.79,9339.79
2003-09-01,691.0,7122.0,7122.0,868.0,8889.19,8889.19
2003-10-01,289.0,2986.0,2986.0,495.0,5069.3,5069.3
2003-11-01,55.0,659.0,659.0,49.0,501.81,501.81
2003-12-01,29.0,346.0,346.0,14.0,143.37,143.37
2004-01-01,36.0,429.0,429.0,31.0,310.68,310.68
2004-02-01,120.0,1232.0,1232.0,169.0,1693.72,1693.72
2004-03-01,363.0,3765.0,3765.0,740.0,7416.28,7416.28
2004-04-01,459.0,4754.0,4754.0,906.0,9079.93,9079.93
2004-05-01,571.0,5885.0,5885.0,1293.0,12958.45,12958.45
2004-06-01,973.0,10095.0,10095.0,1428.0,14311.42,14311.42
2004-07-01,828.0,8585.0,8585.0,1373.0,13760.21,13760.21
2004-08-01,799.0,8226.0,8226.0,1045.0,10472.99,10472.99
2004-09-01,683.0,7027.0,7027.0,917.0,9190.17,9190.17
2004-10-01,217.0,2217.0,2217.0,330.0,3307.26,3307.26
2004-11-01,125.0,1278.0,1278.0,117.0,1172.57,1172.57
2004-12-01,101.0,1036.0,1036.0,72.0,721.58,721.58
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,68.0,780.04,780.04,100.0,999.9,999.9
2005-03-01,241.0,2464.69,2464.69,443.0,4429.56,4429.56
2005-04-01,305.0,3125.25,3125.25,609.0,6089.39,6089.39
2005-05-01,355.0,3638.2,3638.2,812.0,8119.19,8119.19
2005-06-01,648.0,6684.26,6684.26,999.0,9989.0,9989.0
2005-07-01,724.0,7445.8,7445.8,1098.0,10978.9,10978.9
2005-08-01,780.0,8035.03,8035.03,1397.0,13968.6,13968.6
2005-09-01,757.0,7735.52,7735.52,878.0,8779.12,8779.12
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,1.0,10.28,10.28,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,27.0,275.0,275.0,37.0,367.0,367.0
2006-03-01,33.0,335.0,335.0,61.0,605.0,605.0
2006-04-01,211.0,2168.0,2168.0,471.0,4672.0,4672.0
2006-05-01,495.0,5094.0,5094.0,1123.0,11139.0,11139.0
2006-06-01,706.0,7267.0,7267.0,968.0,9602.0,9602.0
2006-07-01,595.0,6063.0,6063.0,650.0,6447.0,6447.0
2006-08-01,923.0,9409.0,9409.0,1137.0,11278.0,11278.0
2006-09-01,647.0,6609.0,6609.0,570.0,5654.0,5654.0
2006-10-01,229.0,2329.0,2329.0,339.0,3363.0,3363.0
2006-11-01,1.0,100.0,100.0,203.0,2014.0,2014.0
2006-12-01,10.0,63.0,63.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,108.0,536.0,536.0,0.0,0.0,0.0
2007-03-01,697.0,2676.0,2676.0,0.0,0.0,0.0
2007-04-01,571.0,2616.0,2616.0,0.0,0.0,0.0
2007-05-01,1078.0,3761.0,3761.0,0.0,0.0,0.0
2007-06-01,1697.0,8249.0,8249.0,0.0,0.0,0.0
2007-07-01,1326.0,6625.0,6625.0,0.0,0.0,0.0
2007-08-01,1135.0,7194.0,7194.0,0.0,0.0,0.0
2007-09-01,1209.0,6666.0,6666.0,0.0,0.0,0.0
2007-10-01,555.0,2544.0,2544.0,0.0,0.0,0.0
2007-11-01,204.0,1230.0,1230.0,0.0,0.0,0.0
2007-12-01,61.0,563.0,563.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,386.0,1740.0,1740.0,386.0,3804.0,3804.0
2008-03-01,480.0,3403.0,3403.0,480.0,4730.0,4730.0
2008-04-01,0.0,4955.0,4955.0,1418.0,13973.0,13973.0
2008-05-01,1476.0,4970.0,4970.0,0.0,0.0,0.0
2008-06-01,556.0,9207.0,9207.0,2260.0,22270.0,22270.0
2008-07-01,416.0,8296.0,8296.0,1926.0,18979.0,18979.0
2008-08-01,328.0,6793.0,6793.0,1677.0,16525.0,16525.0
2008-09-01,350.0,7341.0,7341.0,1569.0,15461.0,15461.0
2008-10-01,124.0,3036.0,3036.0,713.0,7026.0,7026.0
2008-11-01,37.0,1191.0,1191.0,204.0,2010.0,2010.0
2008-12-01,27.0,450.0,450.0,72.0,709.0,709.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,42.0,1259.0,1259.0,188.0,1835.0,1835.0
2009-03-01,154.0,3507.0,3507.0,760.0,7418.0,7418.0
2009-04-01,201.0,4231.0,4231.0,1022.0,9975.0,9975.0
2009-05-01,239.0,4371.0,4371.0,1117.0,10902.0,10902.0
2009-06-01,373.0,7422.0,7422.0,1282.0,12512.0,12512.0
2009-07-01,448.0,8313.0,8313.0,1379.0,13459.0,13459.0
2009-08-01,415.0,8212.0,8212.0,1365.0,13322.0,13322.0
2009-09-01,363.0,7540.0,7540.0,1107.0,10804.0,10804.0
2009-10-01,110.0,2662.0,2662.0,528.0,5153.0,5153.0
2009-11-01,55.0,1651.0,1651.0,227.0,2216.0,2216.0
2009-12-01,15.0,628.0,628.0,58.0,566.0,566.0
2010-01-01,2.0,96.0,96.0,10.0,98.0,98.0
2010-02-01,50.0,1282.0,1282.0,226.0,2205.0,2205.0
2010-03-01,144.0,3119.0,3119.0,674.0,6576.0,6576.0
2010-04-01,216.0,3777.0,3777.0,909.0,8868.0,8868.0
2010-05-01,307.0,5906.0,5906.0,1543.0,15054.0,15054.0
2010-06-01,556.0,10287.0,10287.0,1894.0,18478.0,18478.0
2010-07-01,475.0,9010.0,9010.0,1625.0,15854.0,15854.0
2010-08-01,505.0,9462.0,9462.0,1744.0,17014.0,17014.0
2010-09-01,413.0,8048.0,8048.0,1271.0,12400.0,12400.0
2010-10-01,86.0,2008.0,2008.0,426.0,4156.0,4156.0
2010-11-01,60.0,1590.0,1590.0,280.0,2732.0,2732.0
2010-12-01,11.0,379.0,379.0,46.0,449.0,449.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,42.0,1167.0,1167.0,194.0,1885.0,1885.0
2011-03-01,116.0,2532.0,2532.0,569.0,5528.0,5528.0
2011-04-01,218.0,4226.0,4226.0,1091.0,10600.0,10600.0
2011-05-01,297.0,5531.0,5531.0,1457.0,14156.0,14156.0
2011-06-01,601.0,10885.0,10885.0,2140.0,20792.0,20792.0
2011-07-01,469.0,8580.0,8580.0,1649.0,16022.0,16022.0
2011-08-01,516.0,9558.0,9558.0,1742.0,16925.0,16925.0
2011-09-01,387.0,7521.0,7521.0,1142.0,11096.0,11096.0
2011-10-01,157.0,3343.0,3343.0,777.0,7549.0,7549.0
2011-11-01,44.0,1107.0,1107.0,205.0,1992.0,1992.0
2011-12-01,47.0,1370.0,1370.0,198.0,1924.0,1924.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,76.0,1790.0,1790.0,354.0,3378.0,3378.0
2013-03-01,179.0,3741.0,3741.0,857.0,8177.0,8177.0
2013-04-01,219.0,4333.0,4333.0,1065.0,10161.0,10161.0
2013-05-01,274.0,5428.0,5428.0,1339.0,12775.0,12775.0
2013-06-01,506.0,9625.0,9625.0,1618.0,15437.0,15437.0
2013-07-01,346.0,6823.0,6823.0,1006.0,9598.0,9598.0
2013-08-01,428.0,8280.0,8280.0,1261.0,12031.0,12031.0
2013-09-01,332.0,6654.0,6654.0,912.0,8701.0,8701.0
2013-10-01,142.0,3174.0,3174.0,651.0,6211.0,6211.0
2013-11-01,56.0,1477.0,1477.0,250.0,2385.0,2385.0
2013-12-01,21.0,720.0,720.0,90.0,859.0,859.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,57.0,1597.0,1597.0,248.0,2358.0,2358.0
2014-03-01,125.0,2770.0,2770.0,603.0,5735.0,5735.0
2014-04-01,184.0,3774.0,3774.0,863.0,8207.0,8207.0
2014-05-01,206.0,4189.0,4189.0,967.0,9196.0,9196.0
2014-06-01,526.0,9932.0,9932.0,1666.0,15844.0,15844.0
2014-07-01,386.0,7868.0,7868.0,1161.0,11041.0,11041.0
2014-08-01,383.0,7929.0,7929.0,1182.0,11241.0,11241.0
2014-09-01,399.0,8313.0,8313.0,1087.0,10337.0,10337.0
2014-10-01,127.0,3238.0,3238.0,560.0,5326.0,5326.0
2014-11-01,56.0,1893.0,1893.0,219.0,2083.0,2083.0
2014-12-01,8.0,305.0,305.0,27.0,257.0,257.0
