measured_on,Geothermal-Other Generation,Geothermal-Other Quantity Consumed For Electricity,Geothermal-Other Total Fuel Consumed,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,4515.0,46238.12,46238.12,,,
2003-02-01,4296.0,43995.34,43995.34,,,
2003-03-01,4323.0,44271.84,44271.84,,,
2003-04-01,3733.0,38229.65,38229.65,,,
2003-05-01,3127.0,32023.61,32023.61,,,
2003-06-01,2816.0,28838.66,28838.66,,,
2003-07-01,2538.0,25991.66,25991.66,,,
2003-08-01,2708.0,27732.63,27732.63,,,
2003-09-01,2793.0,28603.11,28603.11,,,
2003-10-01,3089.0,31634.45,31634.45,,,
2003-11-01,4346.0,44507.39,44507.39,,,
2003-12-01,4928.0,50467.65,50467.65,,,
2005-01-01,3260.68,32603.54,32603.54,,,
2005-02-01,2753.23,27529.55,27529.55,,,
2005-03-01,3116.902,31165.9,31165.9,,,
2005-04-01,3118.597,31182.85,31182.85,,,
2005-05-01,3311.639,33113.08,33113.08,,,
2005-06-01,3270.228,32699.01,32699.01,,,
2005-07-01,3344.913,33445.79,33445.79,,,
2005-08-01,3303.886,33035.56,33035.56,,,
2005-09-01,3233.052,32327.29,32327.29,,,
2005-10-01,3311.4480000000003,33111.17,33111.17,,,
2005-11-01,3214.257,32139.36,32139.36,,,
2005-12-01,3304.168,33038.38,33038.38,,,
2006-01-01,,,,3419.1110000000003,33914.16,33914.16
2006-02-01,,,,3099.036,30739.34,30739.34
2006-03-01,,,,3502.971,34745.97,34745.97
2006-04-01,,,,3134.088,31087.02,31087.02
2006-05-01,,,,3048.57,30238.77,30238.77
2006-06-01,,,,3309.034,32822.31,32822.31
2006-07-01,,,,3476.443,34482.84,34482.84
2006-08-01,,,,3549.799,35210.46,35210.46
2006-09-01,,,,3359.435,33322.24,33322.24
2006-10-01,,,,3501.25,34728.9,34728.9
2006-11-01,,,,3391.1130000000003,33636.45,33636.45
2006-12-01,,,,3538.1490000000003,35094.9,35094.9
2007-01-01,,,,3414.608,33749.99,33749.99
2007-02-01,,,,2977.433,29428.95,29428.95
2007-03-01,,,,3175.764,31389.25,31389.25
2007-04-01,,,,3088.654,30528.26,30528.26
2007-05-01,,,,3114.0130000000004,30778.9,30778.9
2007-06-01,,,,3329.0550000000003,32904.38,32904.38
2007-07-01,,,,3346.4190000000003,33076.01,33076.01
2007-08-01,,,,3336.9550000000004,32982.46,32982.46
2007-09-01,,,,3271.0750000000003,32331.31,32331.31
2007-10-01,,,,3380.2980000000002,33410.87,33410.87
2007-11-01,,,,3238.4210000000003,32008.55,32008.55
2007-12-01,,,,3339.3050000000003,33005.69,33005.69
2008-01-01,,,,3747.1910000000003,36924.82,36924.82
2008-02-01,,,,3389.483,33399.97,33399.97
2008-03-01,,,,3564.23,35121.92,35121.92
2008-04-01,,,,3437.13,33869.48,33869.48
2008-05-01,,,,3560.978,35089.88,35089.88
2008-06-01,,,,3615.54,35627.53,35627.53
2008-07-01,,,,3684.7110000000002,36309.14,36309.14
2008-08-01,,,,3640.4750000000004,35873.24,35873.24
2008-09-01,,,,3535.824,34842.01,34842.01
2008-10-01,,,,3656.929,36035.38,36035.38
2008-11-01,,,,3492.777,34417.82,34417.82
2008-12-01,,,,3554.732,35028.33,35028.33
2009-01-01,,,,3753.7380000000003,36636.48,36636.48
2009-02-01,,,,3400.3230000000003,33187.15,33187.15
2009-03-01,,,,3780.724,36899.87,36899.87
2009-04-01,,,,3602.782,35163.15,35163.15
2009-05-01,,,,3675.6040000000003,35873.9,35873.9
2009-06-01,,,,3558.279,34728.8,34728.8
2009-07-01,,,,3750.741,36607.23,36607.23
2009-08-01,,,,3716.483,36272.87,36272.87
2009-09-01,,,,3615.5530000000003,35287.8,35287.8
2009-10-01,,,,3714.675,36255.23,36255.23
2009-11-01,,,,3639.585,35522.35,35522.35
2009-12-01,,,,3891.5130000000004,37981.17,37981.17
2010-01-01,,,,4287.814,41832.0,41832.0
2010-02-01,,,,3851.7630000000004,37578.0,37578.0
2010-03-01,,,,4198.6140000000005,40962.0,40962.0
2010-04-01,,,,3973.5690000000004,38766.0,38766.0
2010-05-01,,,,4172.85,40710.0,40710.0
2010-06-01,,,,4042.521,39439.0,39439.0
2010-07-01,,,,4157.694,40562.0,40562.0
2010-08-01,,,,4184.863,40828.0,40828.0
2010-09-01,,,,4059.342,39603.0,39603.0
2010-10-01,,,,3888.5910000000003,37937.0,37937.0
2010-11-01,,,,4069.4170000000004,39701.0,39701.0
2010-12-01,,,,4254.962,41511.0,41511.0
2011-01-01,,,,2968.817,28845.0,28845.0
2011-02-01,,,,2693.622,26171.0,26171.0
2011-03-01,,,,2968.399,28841.0,28841.0
2011-04-01,,,,2719.253,26420.0,26420.0
2011-05-01,,,,2917.804,28349.0,28349.0
2011-06-01,,,,2694.726,26182.0,26182.0
2011-07-01,,,,2866.392,27850.0,27850.0
2011-08-01,,,,2867.693,27863.0,27863.0
2011-09-01,,,,2744.053,26661.0,26661.0
2011-10-01,,,,2881.137,27993.0,27993.0
2011-11-01,,,,2818.002,27380.0,27380.0
2011-12-01,,,,2931.102,28479.0,28479.0
2012-01-01,,,,1465.034,13941.0,13941.0
2012-02-01,,,,1377.279,13106.0,13106.0
2012-03-01,,,,1497.478,14250.0,14250.0
2012-04-01,,,,1468.723,13976.0,13976.0
2012-05-01,,,,1512.601,14394.0,14394.0
2012-06-01,,,,1458.654,13881.0,13881.0
2012-07-01,,,,1522.943,14492.0,14492.0
2012-08-01,,,,1506.558,14336.0,14336.0
2012-09-01,,,,1487.28,14153.0,14153.0
2012-10-01,,,,1514.824,14415.0,14415.0
2012-11-01,,,,1510.697,14376.0,14376.0
2012-12-01,,,,1563.929,14882.0,14882.0
2013-01-01,,,,175.243,1672.0,1672.0
2013-02-01,,,,155.725,1486.0,1486.0
2013-03-01,,,,176.787,1687.0,1687.0
2013-04-01,,,,161.511,1541.0,1541.0
2013-05-01,,,,170.044,1622.0,1622.0
2013-06-01,,,,164.873,1573.0,1573.0
2013-07-01,,,,175.818,1677.0,1677.0
2013-08-01,,,,174.609,1666.0,1666.0
2013-09-01,,,,168.88,1611.0,1611.0
2013-10-01,,,,173.558,1656.0,1656.0
2013-11-01,,,,151.763,1448.0,1448.0
2013-12-01,,,,167.189,1595.0,1595.0
2014-01-01,,,,4628.787,44020.0,44020.0
2014-02-01,,,,4177.63,39729.0,39729.0
2014-03-01,,,,4642.279,44148.0,44148.0
2014-04-01,,,,4631.832,44049.0,44049.0
2014-05-01,,,,4742.611,45102.0,45102.0
2014-06-01,,,,4673.709,44447.0,44447.0
2014-07-01,,,,4873.382,46346.0,46346.0
2014-08-01,,,,4858.072,46200.0,46200.0
2014-09-01,,,,4704.408,44739.0,44739.0
2014-10-01,,,,4833.983,45971.0,45971.0
2014-11-01,,,,4762.978,45296.0,45296.0
2014-12-01,,,,4763.329,45299.0,45299.0
2015-01-01,,,,4515.64,42081.0,42081.0
2015-02-01,,,,4114.988,38348.0,38348.0
2015-03-01,,,,4507.188,42002.0,42002.0
2015-04-01,,,,4056.443,37802.0,37802.0
2015-05-01,,,,4541.776,42325.0,42325.0
2015-06-01,,,,4407.509,41074.0,41074.0
2015-07-01,,,,4540.531,42313.0,42313.0
2015-08-01,,,,4516.3,42087.0,42087.0
2015-09-01,,,,3782.766,35252.0,35252.0
2015-10-01,,,,4227.079,39392.0,39392.0
2015-11-01,,,,4059.736,37833.0,37833.0
2015-12-01,,,,4178.044,38935.0,38935.0
2016-01-01,,,,4786.748,44191.0,44191.0
2016-02-01,,,,4479.535,41355.0,41355.0
2016-03-01,,,,4770.099,44038.0,44038.0
2016-04-01,,,,4385.448,40486.0,40486.0
2016-05-01,,,,5006.999,46225.0,46225.0
2016-06-01,,,,4809.784,44404.0,44404.0
2016-07-01,,,,5150.525,47550.0,47550.0
2016-08-01,,,,5164.561,47679.0,47679.0
2016-09-01,,,,5057.319,46689.0,46689.0
2016-10-01,,,,5044.099,46567.0,46567.0
2016-11-01,,,,4997.402,46136.0,46136.0
2016-12-01,,,,5296.481,48897.0,48897.0
2017-01-01,,,,5207.326,47975.0,47975.0
2017-02-01,,,,4558.751,42000.0,42000.0
2017-03-01,,,,5099.489,46982.0,46982.0
2017-04-01,,,,4943.505,45545.0,45545.0
2017-05-01,,,,4796.095,44186.0,44186.0
2017-06-01,,,,4773.95,43982.0,43982.0
2017-07-01,,,,5062.388,46640.0,46640.0
2017-08-01,,,,5031.536,46356.0,46356.0
2017-09-01,,,,4944.482,45554.0,45554.0
2017-10-01,,,,4443.94,40942.0,40942.0
2017-11-01,,,,4813.235,44344.0,44344.0
2017-12-01,,,,4994.303,46013.0,46013.0
2018-01-01,,,,4758.179,43318.0,43318.0
2018-02-01,,,,4531.298,41253.0,41253.0
2018-03-01,,,,4838.771,44052.0,44052.0
2018-04-01,,,,4204.355,38276.0,38276.0
2018-05-01,,,,4947.315,45040.0,45040.0
2018-06-01,,,,4724.359,43011.0,43011.0
2018-07-01,,,,4921.105,44802.0,44802.0
2018-08-01,,,,4894.938,44564.0,44564.0
2018-09-01,,,,4746.806,43215.0,43215.0
2018-10-01,,,,4551.91,41441.0,41441.0
2018-11-01,,,,4720.076,42972.0,42972.0
2018-12-01,,,,5005.888,45574.0,45574.0
2019-01-01,,,,5080.525,45242.0,45242.0
2019-02-01,,,,4724.723,42074.0,42074.0
2019-03-01,,,,5211.102,46405.0,46405.0
2019-04-01,,,,4764.778,42430.0,42430.0
2019-05-01,,,,5060.733,45066.0,45066.0
2019-06-01,,,,4961.17,44179.0,44179.0
2019-07-01,,,,5144.024,45808.0,45808.0
2019-08-01,,,,5209.839,46394.0,46394.0
2019-09-01,,,,5105.44,45464.0,45464.0
2019-10-01,,,,4070.229,36245.0,36245.0
2019-11-01,,,,3564.85,31745.0,31745.0
2019-12-01,,,,4453.587,39659.0,39659.0
2020-01-01,,,,3862.195,33860.0,33860.0
2020-02-01,,,,4233.451,37115.0,37115.0
2020-03-01,,,,5371.291,47090.0,47090.0
2020-04-01,,,,5161.524,45251.0,45251.0
2020-05-01,,,,5113.632,44831.0,44831.0
