measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,30575.0,220621.0,1148980.0,18435.0,133022.0,692768.0,,,,5177.0,37358.0,194562.0
2003-03-01,,,,25248.0,163554.0,909440.0,12100.0,78379.0,435826.0,,,,5055.0,32747.0,182088.0
2003-04-01,,,,30654.0,272578.0,1163190.0,16260.0,144580.0,616978.0,,,,5570.0,49526.0,211347.0
2003-05-01,,,,26268.0,181009.0,934647.0,10625.0,73216.0,378049.0,,,,4795.0,33043.0,170622.0
2003-06-01,,,,21309.0,200872.0,823136.0,14157.0,133452.0,546861.0,,,,4396.0,41442.0,169821.0
2003-07-01,,,,33097.0,309338.0,1268750.0,14354.0,134162.0,550266.0,,,,5755.0,53785.0,220599.0
2003-08-01,,,,28473.0,258317.0,1084832.0,10639.0,96524.0,405364.0,,,,4921.0,44642.0,187479.0
2003-09-01,,,,27565.0,272507.0,1021496.0,11356.0,112267.0,420836.0,,,,3956.0,39110.0,146601.0
2003-10-01,,,,30685.0,356451.0,1211910.0,14780.0,171686.0,583724.0,,,,5717.0,66411.0,225792.0
2003-11-01,,,,23858.0,251902.0,942326.0,11944.0,126111.0,471764.0,,,,4946.0,52222.0,195354.0
2003-12-01,,,,32686.0,417501.0,1262660.0,15399.0,196697.0,594876.0,,,,6116.0,78123.0,236268.0
2004-01-01,,,,31647.33009,160534.92,1305290.0,14811.83544,75134.83,610912.22,,,,5477.69947,27786.3,225927.0
2004-02-01,,,,25486.05928,129281.13,1021496.0,12328.55533,62538.09,494135.63,,,,4581.67039,23241.08,183636.0
2004-03-01,,,,24367.33337,123606.26,973750.4,11233.58931,56983.75,448908.87,,,,4639.48832,23534.37,185400.0
2004-04-01,,,,33438.81813,169622.46,1295140.0,13014.52491,66017.76,504073.79,,,,6182.62096,31362.1,239463.0
2004-05-01,,,,26140.47173,132600.72,1031240.0,11079.95545,56204.42,437103.56,,,,3806.46982,19308.78,150165.0
2004-06-01,,,,22462.81578,113945.36,901320.0,11443.76613,58049.89,459180.87,,,,4271.10509,21665.7,171378.0
2004-07-01,,,,29819.92185,151265.17,1171310.0,13884.20867,70429.33,545364.02,,,,6027.88548,30577.18,236772.0
2004-08-01,,,,21393.74789,108522.38,896448.0,11696.21013,59330.45,490098.52,,,,4525.95298,22958.45,189648.0
2004-09-01,,,,26023.19827,132005.83,1031240.0,9852.01888,49975.56,390413.04,,,,4212.50585,21368.45,166932.0
2004-10-01,,,,34730.66782,176175.53,1349950.0,11316.02623,57401.92,439843.82,,,,5281.34095,26790.24,205281.0
2004-11-01,,,,28160.57479,142847.93,1024744.0,8918.52865,45240.32,324539.14,,,,4962.83056,25174.56,180594.0
2004-12-01,,,,23839.21973,120927.34,983234.0,12450.53981,63156.87,513514.88,,,,4087.97446,20736.75,168606.0
2005-01-01,,,,32250.82762,163596.24,1277430.0,14734.21132,74741.07,583610.56,,,,4925.89905,24987.22,195111.0
2005-02-01,,,,25474.54211,129222.71,1032782.8,11304.64163,57344.17,458310.08,,,,4641.43626,23544.25,188172.0
2005-03-01,,,,23409.37044,118746.87,935565.4,10297.87115,52237.2,411558.78,,,,4690.35442,23792.39,187452.0
2005-04-01,,,,31839.01017,161507.25,1244194.7,12680.92836,64325.55,495541.28,,,,6091.71247,30900.95,238050.0
2005-06-01,,,,23942.58193,121451.65,961611.7,10084.05261,51152.58,405008.24,,,,4566.86246,23165.96,183420.0
2005-07-01,,,,34657.02686,175801.97,1360656.5,12715.62801,64501.57,499223.49,,,,5694.48413,28885.96,223569.0
2005-08-01,,,,24932.95113,126475.42,1041852.0,10520.77196,53367.89,439622.54,,,,4256.60191,21592.13,177867.0
2005-09-01,,,,26130.08163,132548.01,1034331.2,11266.37483,57150.05,445967.34,,,,3701.50254,18776.32,146520.0
