measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,1701.652,17392.0,19818.0
2003-02-01,,,,0.0,0.0,0.0,1646.915,46314.0,46314.0
2003-03-01,,,,0.0,0.0,0.0,3262.0,88074.0,88074.0
2003-04-01,,,,0.0,0.0,0.0,1402.998,39456.0,39456.0
2003-05-01,,,,0.0,0.0,0.0,2943.32,82764.0,82764.0
2003-06-01,,,,0.0,0.0,0.0,3927.6270000000004,110430.0,110430.0
2003-07-01,,,,0.0,0.0,0.0,3769.1780000000003,105984.0,105984.0
2004-01-01,,,,,,,4537.334,31607.48,195485.22
2004-02-01,,,,,,,4022.108,28018.37,173287.44
2004-03-01,,,,,,,4258.59,29665.72,183475.98
2004-04-01,,,,,,,3954.4860000000003,27547.31,170373.96
2004-05-01,,,,,,,3757.313,26173.79,161879.04
2004-06-01,,,,,,,4479.314,31203.31,192985.56
2004-07-01,,,,,,,4735.609,32988.69,204027.66
2004-08-01,,,,,,,4678.404,32590.19,201563.1
2004-09-01,,,,,,,4453.052000000001,31020.36,191854.08
2004-10-01,,,,,,,4487.0560000000005,31257.24,193319.1
2004-11-01,,,,,,,3871.8340000000003,26971.55,166813.02
2004-12-01,,,,,,,4444.405000000001,30960.13,191481.48
2005-01-01,,,,0.0,0.0,0.0,3499.4120000000003,24377.22,83675.52
