measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed"
2003-01-01,11351.938,123840.0,126266.0,27.08,296.0,301.0,,,,11948.624,130350.0,132903.0
2003-02-01,10473.806,114261.0,116499.0,24.985,273.0,278.0,,,,11024.336,120267.0,122623.0
2003-03-01,11546.107,125959.0,128426.0,27.543000000000003,301.0,307.0,,,,12153.0,132579.0,135177.0
2003-04-01,10918.987000000001,119117.0,121451.0,26.047,284.0,290.0,,,,11492.916000000001,125378.0,127834.0
2003-05-01,12502.053,136387.0,139059.0,29.823,326.0,332.0,,,,13159.192,143556.0,146368.0
2003-06-01,13025.889,142102.0,144886.0,31.073,339.0,346.0,,,,13710.563,149571.0,152501.0
2003-07-01,16724.059,182446.0,186020.0,39.895,436.0,444.0,,,,17603.117,192036.0,195798.0
2003-08-01,15711.667000000001,171402.0,174759.0,37.48,409.0,417.0,,,,16537.512000000002,180411.0,183945.0
2003-09-01,14357.487000000001,156629.0,159697.0,34.249,374.0,381.0,,,,15112.152,164861.0,168091.0
2003-10-01,13511.661,147401.0,150289.0,32.232,352.0,359.0,,,,14221.867,155149.0,158188.0
2003-11-01,11437.619,124775.0,127219.0,27.284000000000002,298.0,304.0,,,,12038.809000000001,131334.0,133906.0
2003-12-01,12143.955,132481.0,135076.0,28.969,316.0,323.0,,,,12782.272,139444.0,142176.0
2004-01-01,11633.775,124650.12,130899.3,202.28123,2167.34,2276.0,,,,13415.99176,143745.69,150952.2
2004-02-01,15949.92923,170895.57,176022.0,0.27183999999999997,2.91,3.0,,,,10067.20693,107865.12,111100.8
2004-03-01,15461.22396,165659.34,170775.0,0.0,0.0,0.0,,,,12178.13004,130482.62,134512.0
2004-04-01,1015.20102,10877.38,10966.8,17.03295,182.5,184.0,,,,963.26903,10320.95,10405.8
2004-05-01,8721.92123,93451.06,100584.0,447.17796,4791.29,5157.0,,,,10807.06081,115792.3,124630.5
2004-06-01,10335.35317,110738.18,125878.2,65.76689,704.66,801.0,,,,13532.43694,144993.34,164816.7
2004-07-01,13369.46334,143247.16,163933.2,22.75366,243.79,279.0,,,,12026.92401,128862.52,147471.3
2004-08-01,11976.42969,128321.49,143820.0,3.4975,37.47,42.0,,,,13506.43482,144714.74,162193.2
2004-09-01,11346.35096,121570.52,135800.0,0.5013099999999999,5.37,6.0,,,,13450.97373,144120.51,160989.4
2004-10-01,10766.62016,115358.99,132032.36,97.03891999999999,1039.72,1190.0,,,,12864.39292,137835.58,157757.6
2004-11-01,10808.48481,115807.55,129884.4,59.08349,633.05,710.0,,,,12280.4627,131579.06,147573.0
2004-12-01,11542.46311,123671.76,144525.0,0.23959,2.57,3.0,,,,14001.2773,150016.73,175312.2
2005-01-01,10050.69566,107688.21,127098.0,86.03721,921.85,1088.0,,,,14226.07813,152425.36,179898.6
2005-02-01,10180.31225,109076.98,125576.0,2.59421,27.8,32.0,,,,12714.48654,136229.4,156835.5
2005-03-01,5872.45121,62920.4,72048.0,208.65915999999999,2235.68,2560.0,,,,8454.95063,90590.6,103732.2
2005-04-01,10737.27039,115044.52,133575.0,2.4919000000000002,26.7,31.0,,,,13389.69571,143463.94,166572.0
2005-05-01,10408.93004,111526.52,127732.0,2.5262000000000002,27.07,31.0,,,,14514.08975,155511.27,178108.0
2005-06-01,9591.78142,102771.17,115595.4,4.7297,50.68,57.0,,,,14386.02088,154139.07,173373.2
2005-07-01,9652.18684,103418.39,120515.7,47.894239999999996,513.16,598.0,,,,15088.14292,161661.95,188388.2
2005-08-01,10195.4772,109239.48,121968.0,58.01244,621.57,694.0,,,,14872.75936,159354.23,177922.1
2005-09-01,7288.02274,78087.55,85760.0,201.74634,2161.61,2374.0,,,,14375.30192,154024.22,169157.8
2005-10-01,9138.25713,97911.88,112977.4,144.13833,1544.37,1782.0,,,,14269.92154,152895.12,176420.8
2005-11-01,10132.35508,108563.15,125664.0,3.5477399999999997,38.01,44.0,,,,14141.44217,151518.52,175385.7
2005-12-01,10865.90265,116422.75,132052.8,2.55082,27.33,31.0,,,,14495.95053,155316.91,176168.6
