measured_on,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,10290.0,152366.0,152366.0
2003-02-01,9050.0,138417.0,138417.0
2003-03-01,9780.0,153734.0,153734.0
2003-04-01,6610.0,103836.0,103836.0
2003-05-01,10460.0,157328.0,157328.0
2003-06-01,10070.0,147275.0,147275.0
2003-07-01,10420.0,153501.0,153501.0
2003-08-01,10370.0,142290.0,142290.0
2003-09-01,10160.0,138666.0,138666.0
2003-10-01,10610.0,142953.0,142953.0
2003-11-01,10180.0,142154.0,142154.0
2003-12-01,10270.0,154791.0,154791.0
2004-01-01,10491.263,131173.0,131173.0
2004-02-01,10242.751,128065.0,128065.0
2004-03-01,11009.437,137651.0,137651.0
2004-04-01,7528.506,94129.0,94129.0
2004-05-01,10111.445,126424.0,126424.0
2004-06-01,9575.646,119725.0,119725.0
2004-07-01,10269.188,128396.0,128396.0
2004-08-01,10269.188,128396.0,128396.0
2004-09-01,9977.495,124749.0,124749.0
2004-10-01,9799.483,122523.0,122523.0
2004-11-01,9833.852,122953.0,122953.0
2004-12-01,9871.745,123427.0,123427.0
2005-01-01,10372.924,137991.73,137991.73
2005-02-01,9626.677,128064.35,128064.35
2005-03-01,10407.987,138458.17,138458.17
2005-04-01,8948.534,119042.97,119042.97
2005-05-01,9930.833,132110.56,132110.56
2005-06-01,9614.439,127901.55,127901.55
2005-07-01,10648.04,141651.62,141651.62
2005-08-01,10962.963,145841.05,145841.05
2005-09-01,10320.033,137288.11,137288.11
2005-10-01,9836.758,130859.08,130859.08
2005-11-01,10018.144,133272.07,133272.07
2005-12-01,10822.669,143974.72,143974.72
2006-01-01,10784.67,145918.0,145918.0
2006-02-01,9864.794,133472.0,133472.0
2006-03-01,9920.566,134227.0,134227.0
2006-04-01,6539.899,88486.0,88486.0
2006-05-01,8664.296,117229.0,117229.0
2006-06-01,8701.441,117732.0,117732.0
2006-07-01,9952.962000000001,134665.0,134665.0
2006-08-01,11072.846,149817.0,149817.0
2006-09-01,9449.025,127847.0,127847.0
2006-10-01,10169.585,137596.0,137596.0
2006-11-01,9565.209,129419.0,129419.0
2006-12-01,10414.706,140913.0,140913.0
2007-01-01,9990.0,137199.0,137199.0
2007-02-01,9600.0,126302.0,126302.0
2007-03-01,9890.0,132711.0,132711.0
2007-04-01,10060.0,145444.0,145444.0
2007-05-01,8180.0,108690.0,108690.0
2007-06-01,7520.0,88247.0,88247.0
2007-07-01,9140.0,105400.0,105400.0
2007-08-01,8660.0,104584.0,104584.0
2007-09-01,10010.0,114504.0,114504.0
2007-10-01,10390.0,127432.0,127432.0
2007-11-01,10110.0,133909.0,133909.0
2007-12-01,4301.0,64405.0,64405.0
2008-01-01,11110.0,150964.0,150964.0
2008-02-01,10358.0,141883.0,141883.0
2008-03-01,7357.0,92579.0,92579.0
2008-04-01,10523.0,148247.0,148247.0
2008-05-01,9932.0,145435.0,145435.0
2008-06-01,10595.0,141952.0,141952.0
2008-07-01,10499.0,136181.0,136181.0
2008-08-01,9838.0,134925.0,134925.0
2008-09-01,8999.0,125543.0,125543.0
2008-10-01,11227.0,145022.0,145022.0
2008-11-01,10459.0,151111.0,151111.0
2008-12-01,9493.0,141542.0,141542.0
2009-01-01,10179.0,149606.0,149606.0
2009-02-01,9857.0,141883.0,141883.0
2009-03-01,10829.0,143396.0,143396.0
2009-04-01,10371.0,154629.0,154629.0
2009-05-01,10448.0,143216.0,143216.0
2009-06-01,10043.0,132285.0,132285.0
2009-07-01,11012.0,136697.0,136697.0
2009-08-01,10840.0,138993.0,138993.0
2009-09-01,10677.0,132999.0,132999.0
2009-10-01,2671.0,35707.0,35707.0
2009-11-01,10952.0,151308.0,151308.0
2009-12-01,12076.0,168629.0,168629.0
2010-01-01,11888.0,167898.0,167898.0
2010-02-01,9722.0,138056.0,138056.0
2010-03-01,10672.0,162626.0,162626.0
2010-04-01,11603.0,169136.0,169136.0
2010-05-01,10778.0,140352.0,140352.0
2010-06-01,11847.0,152005.0,152005.0
2010-07-01,11466.0,143414.0,143414.0
2010-08-01,11656.0,144876.0,144876.0
2010-09-01,11853.0,142425.0,142425.0
2010-10-01,11296.0,144600.0,144600.0
2010-11-01,8501.0,108678.0,108678.0
2010-12-01,12367.0,178536.0,178536.0
2011-01-01,12402.0,180849.0,180849.0
2011-02-01,11257.0,165782.0,165782.0
2011-03-01,12317.0,187265.0,187265.0
2011-04-01,11900.0,186964.0,186964.0
2011-05-01,11610.0,167898.0,167898.0
2011-06-01,11326.0,148832.0,148832.0
2011-07-01,11731.0,149631.0,149631.0
2011-08-01,11521.0,148410.0,148410.0
2011-09-01,11277.0,155823.0,155823.0
2011-10-01,11476.0,158618.0,158618.0
2011-11-01,8927.0,123573.0,123573.0
2011-12-01,12876.0,184952.0,184952.0
2012-01-01,12600.0,186216.0,186216.0
2012-02-01,11768.0,167124.0,167124.0
2012-03-01,11815.0,171355.0,171355.0
2012-04-01,11652.0,164604.0,164604.0
2012-05-01,10858.0,157277.0,157277.0
2012-06-01,11721.0,163538.0,163538.0
2012-07-01,11152.0,145787.0,145787.0
2012-08-01,9974.0,132457.0,132457.0
2012-09-01,11340.0,147086.0,147086.0
2012-10-01,8648.0,116616.0,116616.0
2012-11-01,11112.0,157182.0,157182.0
2012-12-01,11494.0,161886.0,161886.0
2013-01-01,11445.0,168577.0,168577.0
2013-02-01,10572.0,158120.0,158120.0
2013-03-01,11934.0,182088.0,182088.0
2013-04-01,10742.0,164002.0,164002.0
2013-05-01,9961.0,143852.0,143852.0
2013-06-01,11953.0,164673.0,164673.0
2013-07-01,11399.0,156477.0,156477.0
2013-08-01,12472.0,165808.0,165808.0
2013-09-01,11968.0,154594.0,154594.0
2013-10-01,11554.0,141117.0,141117.0
2013-11-01,11388.0,142966.0,142966.0
2013-12-01,12564.0,166960.0,166960.0
2014-01-01,12341.0,178011.0,178011.0
2014-02-01,11004.0,153785.0,153785.0
2014-03-01,12201.0,167691.0,167691.0
2014-04-01,11837.0,171587.0,171587.0
2014-05-01,9856.0,142321.0,142321.0
2014-06-01,12255.0,176180.0,176180.0
2014-07-01,12077.0,174279.0,174279.0
2014-08-01,12610.0,177564.0,177564.0
2014-09-01,12175.0,174073.0,174073.0
2014-10-01,11364.0,160691.0,160691.0
2014-11-01,12214.0,171071.0,171071.0
2014-12-01,12477.0,171140.0,171140.0
2015-01-01,12531.0,169924.0,169924.0
2015-02-01,11257.0,155865.0,155865.0
2015-03-01,11848.0,155193.0,155193.0
2015-04-01,11896.0,169584.0,169584.0
2015-05-01,9717.0,134853.0,134853.0
2015-06-01,11559.0,153238.0,153238.0
2015-07-01,12262.0,164161.0,164161.0
2015-08-01,12325.0,163719.0,163719.0
2015-09-01,11773.0,154811.0,154811.0
2015-10-01,10995.0,144237.0,144237.0
2015-11-01,12016.0,159214.0,159214.0
2015-12-01,12337.0,170136.0,170136.0
2016-01-01,11944.0,158738.0,158738.0
2016-02-01,11362.0,147356.0,147356.0
2016-03-01,11755.0,157344.0,157344.0
2016-04-01,12283.0,156077.0,156077.0
2016-05-01,9690.0,124848.0,124848.0
2016-06-01,11936.0,149048.0,149048.0
2016-07-01,11917.0,150493.0,150493.0
2016-08-01,12478.0,168011.0,168011.0
2016-09-01,10363.0,150408.0,150408.0
2016-10-01,11728.0,165317.0,165317.0
2016-11-01,11882.0,160336.0,160336.0
2016-12-01,12098.0,164484.0,164484.0
2017-01-01,12407.0,171981.0,171981.0
2017-02-01,11090.0,148674.0,148674.0
2017-03-01,12510.0,168207.0,168207.0
2017-04-01,10838.0,146761.0,146761.0
2017-05-01,7551.0,104924.0,104924.0
2017-06-01,11650.0,158619.0,158619.0
2017-07-01,12450.0,164424.0,164424.0
2017-08-01,12406.0,165172.0,165172.0
2017-09-01,11977.0,157939.0,157939.0
2017-10-01,12667.0,167289.0,167289.0
2017-11-01,10122.0,133153.0,133153.0
2017-12-01,12251.0,165410.0,165410.0
2018-01-01,12111.0,164696.0,164696.0
2018-02-01,10557.0,140922.0,140922.0
2018-03-01,12416.0,118720.0,118720.0
2018-04-01,12101.0,158967.0,158967.0
2018-05-01,5086.0,67686.0,67686.0
2018-06-01,11093.0,146999.0,146999.0
2018-07-01,11978.0,158627.0,158627.0
2018-08-01,12459.0,165291.0,165291.0
2018-09-01,12012.0,159656.0,159656.0
2018-10-01,12061.0,159928.0,159928.0
2018-11-01,10752.0,142647.0,142647.0
2018-12-01,11421.0,164076.0,164076.0
2019-01-01,10476.0,144288.0,144288.0
2019-02-01,4762.0,71171.0,71171.0
2019-03-01,7585.0,105970.0,105970.0
2019-04-01,7306.0,101082.0,101082.0
2019-05-01,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-05-01,109.0,1981.0,1981.0
2020-06-01,1108.0,17527.0,17527.0
2020-07-01,0.0,0.0,0.0
2020-08-01,137.0,1760.0,1760.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-02-01,1571.0,26699.0,26699.0
2021-03-01,5730.0,97419.0,97419.0
2021-04-01,1717.0,29189.0,29189.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,33.0,561.0,561.0
2021-08-01,1139.0,19355.0,19355.0
2021-09-01,1560.0,26520.0,26520.0
2021-10-01,1732.0,29444.0,29444.0
2021-11-01,5961.0,101337.0,101337.0
2021-12-01,1583.0,26911.0,26911.0
2022-01-01,3111.0,52887.0,52887.0
2022-02-01,3521.0,59857.0,59857.0
2022-03-01,4311.0,73287.0,73287.0
2022-04-01,4838.0,82238.0,82238.0
2022-05-01,4468.0,75965.0,75965.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,972.0,16524.0,16524.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,2209.0,36882.0,36882.0
2023-01-01,6206.0,84392.0,84392.0
2023-02-01,2938.0,42304.0,42304.0
2023-03-01,2659.0,38296.0,38296.0
2023-04-01,504.0,7264.0,7264.0
2023-05-01,592.0,8528.0,8528.0
2023-06-01,1776.0,25576.0,25576.0
2023-07-01,2478.0,35680.0,35680.0
2023-08-01,576.0,8296.0,8296.0
2023-09-01,603.0,8680.0,8680.0
2023-10-01,1012.0,14576.0,14576.0
2023-11-01,6621.0,95344.0,95344.0
2023-12-01,6049.0,87096.0,87096.0
2024-01-01,6318.0,90984.0,90984.0
2024-02-01,4684.0,67456.0,67456.0
2024-03-01,4030.0,58040.0,58040.0
2024-04-01,1021.0,14424.0,14424.0
2024-05-01,0.0,0.0,0.0
2024-06-01,21.0,304.0,304.0
2024-07-01,1737.0,25024.0,25024.0
2024-08-01,2320.0,33408.0,33408.0
2024-09-01,3071.0,44224.0,44224.0
2024-10-01,632.0,9864.0,9864.0
2024-11-01,3513.0,54800.0,54800.0
2024-12-01,5706.0,89024.0,89024.0
