measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,,12538.12,225663.0,262261.0,,,,11569.19,143124.0,143124.0,0.0,0.0,0.0,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,,8607.34,181698.0,217003.0,,,,9000.63,111348.0,111348.0,0.0,0.0,0.0,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,,8823.0,82794.0,82794.0,,,,8846.0,60901.0,106152.0,0.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,,13089.0,135243.0,135243.0,,,,10193.0,96054.0,122311.0,0.0,0.0,0.0,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,,15503.0,157522.0,157522.0,,,,11024.0,83671.0,127200.0,0.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,,,,,,,17696.0,261733.0,261733.0,,,,12195.0,95613.0,146338.0,0.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,,,,17670.0,196311.0,196311.0,,,,11098.0,81072.0,128052.0,0.0,0.0,0.0,,,,,,
2003-09-01,0.0,0.0,0.0,,,,,,,15584.0,160539.0,160539.0,,,,10313.0,80348.0,123757.0,0.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,,14256.0,167559.0,167559.0,,,,12146.0,104558.0,145752.0,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,,14191.0,172935.0,172935.0,,,,11298.0,98833.0,130362.0,0.0,0.0,0.0,,,,,,
2003-12-01,3506.0,45635.0,56445.0,,,,,,,13939.0,229097.0,229097.0,,,,8864.0,115393.0,142728.0,0.0,0.0,0.0,,,,,,
2004-01-01,1232.87,73661.2,85700.87,5049.48869,0.0,0.0,,,,12201.98,148016.18,418282.69,,,,0.0,0.0,0.0,6477.99131,75955.0,109945.68,,,,,,
2004-02-01,9014.21,197519.34,234277.77,7831.66595,0.0,0.0,,,,7384.3,89575.29,188530.59,,,,0.0,0.0,0.0,3695.81405,43333.74,110557.2,,,,,,
