measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2003-01-01,76.303,672.0,672.0,0.0,0.0,0.0,,,
2003-02-01,63.878,563.0,563.0,0.0,0.0,0.0,,,
2003-03-01,71.563,631.0,631.0,0.0,0.0,0.0,,,
2003-04-01,62.894000000000005,554.0,554.0,0.0,0.0,0.0,,,
2003-05-01,62.117000000000004,547.0,547.0,0.0,0.0,0.0,,,
2003-06-01,69.897,616.0,616.0,0.0,0.0,0.0,,,
2003-07-01,76.08200000000001,670.0,670.0,0.0,0.0,0.0,,,
2003-08-01,79.02900000000001,696.0,696.0,0.0,0.0,0.0,,,
2003-09-01,68.818,606.0,606.0,0.0,0.0,0.0,,,
2003-10-01,72.83,642.0,642.0,0.0,0.0,0.0,,,
2003-11-01,61.545,542.0,542.0,0.0,0.0,0.0,,,
2003-12-01,69.045,608.0,608.0,0.0,0.0,0.0,,,
2004-01-01,-17.997,39.0,39.0,-15.333,33.0,33.0,,,
2004-02-01,-9.028,20.0,20.0,-15.333,33.0,33.0,,,
2004-03-01,-100.60300000000001,219.0,219.0,-15.333,33.0,33.0,,,
2004-04-01,-142.828,311.0,311.0,-15.333,33.0,33.0,,,
2004-05-01,-250.072,544.0,544.0,-15.333,33.0,33.0,,,
2004-06-01,-80.147,174.0,174.0,-15.333,33.0,33.0,,,
2004-07-01,-87.271,190.0,190.0,-15.333,33.0,33.0,,,
2004-08-01,-251.31300000000002,547.0,547.0,-15.333,33.0,33.0,,,
2004-09-01,-65.658,143.0,143.0,-15.333,33.0,33.0,,,
2004-10-01,-96.42,210.0,210.0,-15.333,33.0,33.0,,,
2004-11-01,-17.442,38.0,38.0,-15.333,33.0,33.0,,,
2004-12-01,-10.222000000000001,22.0,22.0,-15.333,33.0,33.0,,,
2005-01-01,-196.339,317.14,317.14,-3.2030000000000003,4.39,4.39,210.75,2107.29,2107.29
2005-02-01,-67.456,108.96,108.96,-2.563,3.51,3.51,277.611,2775.83,2775.83
2005-03-01,-74.76700000000001,120.77,120.77,-3.556,4.87,4.87,412.641,4126.0,4126.0
2005-04-01,-90.563,146.29,146.29,-3.3760000000000003,4.62,4.62,417.598,4175.57,4175.57
2005-05-01,-84.11,135.86,135.86,-3.228,4.42,4.42,443.651,4436.07,4436.07
2005-06-01,-109.167,176.33,176.33,-6.093,8.35,8.35,376.45,3764.12,3764.12
2005-07-01,-111.119,179.49,179.49,-8.022,10.99,10.99,257.38,2573.54,2573.54
2005-08-01,-130.538,210.86,210.86,-7.969,10.92,10.92,231.604,2315.81,2315.81
2005-09-01,-85.45100000000001,138.03,138.03,-4.824,6.61,6.61,488.54,4884.91,4884.91
2005-10-01,-94.895,153.28,153.28,-3.4210000000000003,4.69,4.69,647.64,6475.75,6475.75
2005-11-01,-76.287,123.23,123.23,-2.998,4.11,4.11,890.311,8902.22,8902.22
2005-12-01,-161.30700000000002,260.56,260.56,-3.748,5.13,5.13,724.8240000000001,7247.52,7247.52
2006-01-01,-163.359,205.0,205.0,0.0,0.0,0.0,,,
2006-02-01,-85.48,108.0,108.0,0.0,0.0,0.0,,,
2006-03-01,-71.804,90.0,90.0,0.0,0.0,0.0,,,
2006-04-01,-137.544,173.0,173.0,0.0,0.0,0.0,,,
2006-05-01,-128.56900000000002,162.0,162.0,0.0,0.0,0.0,,,
2006-06-01,-116.861,147.0,147.0,0.0,0.0,0.0,,,
2006-07-01,-169.275,213.0,213.0,0.0,0.0,0.0,,,
2006-08-01,-164.196,207.0,207.0,0.0,0.0,0.0,,,
2006-09-01,-75.434,95.0,95.0,0.0,0.0,0.0,,,
2006-10-01,-79.683,100.0,100.0,0.0,0.0,0.0,,,
2006-11-01,-93.82900000000001,118.0,118.0,0.0,0.0,0.0,,,
2006-12-01,-103.964,131.0,131.0,0.0,0.0,0.0,,,
2007-01-01,-114.46900000000001,130.0,130.0,-6.227,7.0,7.0,,,
2007-02-01,-254.264,291.0,291.0,-7.881,9.0,9.0,,,
2007-03-01,-68.88300000000001,81.0,81.0,-3.25,3.0,3.0,,,
2007-04-01,-66.763,74.0,74.0,-3.007,3.0,3.0,,,
2007-05-01,-74.998,87.0,87.0,-4.939,6.0,6.0,,,
2007-06-01,-213.00400000000002,242.0,242.0,-4.321000000000001,4.0,4.0,,,
2007-07-01,-132.52200000000002,149.0,149.0,-4.739,6.0,6.0,,,
2007-08-01,-103.052,118.0,118.0,-5.67,7.0,7.0,,,
2007-09-01,-73.071,81.0,81.0,-1.262,1.0,1.0,,,
2007-10-01,-119.206,136.0,136.0,-4.041,4.0,4.0,,,
2007-11-01,-70.905,81.0,81.0,-3.04,3.0,3.0,,,
2007-12-01,-87.955,99.0,99.0,-6.531000000000001,8.0,8.0,,,
2008-01-01,-143.066,81.0,81.0,-14.452,8.0,8.0,,,
2008-02-01,-128.90300000000002,68.0,68.0,-11.932,7.0,7.0,,,
2008-03-01,-155.041,87.0,87.0,-9.67,6.0,6.0,,,
2008-04-01,-96.405,50.0,50.0,-3.008,1.0,1.0,,,
2008-05-01,-70.503,37.0,37.0,-1.611,1.0,1.0,,,
2008-06-01,-244.77700000000002,136.0,136.0,-9.498000000000001,6.0,6.0,,,
2008-07-01,-70.928,37.0,37.0,-14.136000000000001,8.0,8.0,,,
2008-08-01,-68.807,37.0,37.0,-14.311,8.0,8.0,,,
2008-09-01,-145.418,81.0,81.0,-4.1370000000000005,2.0,2.0,,,
2008-10-01,-69.355,37.0,37.0,-8.341000000000001,4.0,4.0,,,
2008-11-01,-44.351,25.0,25.0,-9.865,6.0,6.0,,,
2008-12-01,-79.602,43.0,43.0,-15.883000000000001,9.0,9.0,,,
2009-01-01,6.614,62.0,62.0,0.41800000000000004,4.0,4.0,,,
2009-02-01,8.04,87.0,87.0,0.218,2.0,2.0,,,
2009-03-01,9.006,93.0,93.0,0.278,3.0,3.0,,,
2009-04-01,8.216000000000001,87.0,87.0,0.18100000000000002,2.0,2.0,,,
2009-05-01,21.992,229.0,229.0,0.14300000000000002,1.0,1.0,,,
2009-06-01,8.498000000000001,87.0,87.0,0.28800000000000003,3.0,3.0,,,
2009-07-01,11.185,118.0,118.0,0.42400000000000004,4.0,4.0,,,
2009-08-01,15.618,161.0,161.0,0.438,4.0,4.0,,,
2009-09-01,7.465,81.0,81.0,0.21200000000000002,2.0,2.0,,,
2009-10-01,13.604000000000001,143.0,143.0,0.07300000000000001,1.0,1.0,,,
2009-11-01,11.033000000000001,118.0,118.0,0.11900000000000001,1.0,1.0,,,
2009-12-01,12.782,136.0,136.0,0.155,1.0,1.0,,,
2010-01-01,8.991,112.0,112.0,0.42600000000000005,6.0,6.0,,,
2010-02-01,2.144,25.0,25.0,0.28400000000000003,3.0,3.0,,,
2010-03-01,2.86,31.0,31.0,0.091,1.0,1.0,,,
2010-04-01,4.946000000000001,56.0,56.0,0.14,1.0,1.0,,,
2010-05-01,9.605,112.0,112.0,0.337,4.0,4.0,,,
2010-06-01,6.368,74.0,74.0,0.799,10.0,10.0,,,
2010-07-01,4.051,50.0,50.0,1.923,22.0,22.0,,,
2010-08-01,4.409,50.0,50.0,1.8,21.0,21.0,,,
2010-09-01,3.7680000000000002,43.0,43.0,0.279,3.0,3.0,,,
2010-10-01,6.787,81.0,81.0,0.114,1.0,1.0,,,
2010-11-01,7.135000000000001,81.0,81.0,0.226,2.0,2.0,,,
2010-12-01,2.986,37.0,37.0,0.531,7.0,7.0,,,
2011-01-01,2.223,12.0,12.0,0.222,1.0,1.0,,,
2011-02-01,5.55,62.0,62.0,0.118,1.0,1.0,,,
2011-03-01,2.532,31.0,31.0,0.177,2.0,2.0,,,
2011-04-01,7.761,87.0,87.0,0.076,1.0,1.0,,,
2011-05-01,6.683,74.0,74.0,0.09,1.0,1.0,,,
2011-06-01,11.109,124.0,124.0,0.24,2.0,2.0,,,
2011-07-01,5.369,62.0,62.0,1.385,15.0,15.0,,,
2011-08-01,4.678,50.0,50.0,0.961,11.0,11.0,,,
2011-09-01,3.489,37.0,37.0,0.224,2.0,2.0,,,
2011-10-01,4.904,56.0,56.0,0.065,1.0,1.0,,,
2011-11-01,7.626,87.0,87.0,0.058,1.0,1.0,,,
2011-12-01,4.387,50.0,50.0,0.073,1.0,1.0,,,
2012-01-01,2.773,31.0,31.0,0.198,3.0,3.0,,,
2012-02-01,4.329,50.0,50.0,0.197,2.0,2.0,,,
2012-03-01,2.153,25.0,25.0,0.23,2.0,2.0,,,
2012-04-01,8.719,99.0,99.0,0.144,1.0,1.0,,,
2012-05-01,8.573,93.0,93.0,0.484,6.0,6.0,,,
2012-06-01,10.518,118.0,118.0,0.946,10.0,10.0,,,
2012-07-01,4.712,50.0,50.0,2.185,24.0,24.0,,,
2012-08-01,1.881,19.0,19.0,0.759,9.0,9.0,,,
2012-09-01,2.706,31.0,31.0,0.392,4.0,4.0,,,
2012-10-01,6.317,68.0,68.0,0.235,2.0,2.0,,,
2012-11-01,4.99,56.0,56.0,0.379,4.0,4.0,,,
2012-12-01,5.756,62.0,62.0,0.424,4.0,4.0,,,
2013-01-01,5.651,56.0,56.0,0.841,8.0,8.0,,,
2013-02-01,4.469,50.0,50.0,1.127,13.0,13.0,,,
2013-03-01,8.242,93.0,93.0,0.963,11.0,11.0,,,
2013-04-01,13.62,155.0,155.0,0.467,6.0,6.0,,,
2013-05-01,7.156,81.0,81.0,1.036,12.0,12.0,,,
2013-06-01,7.397,87.0,87.0,0.998,11.0,11.0,,,
2013-07-01,6.587,74.0,74.0,2.873,33.0,33.0,,,
2013-08-01,6.91,81.0,81.0,2.48,29.0,29.0,,,
2013-09-01,5.333,62.0,62.0,1.896,22.0,22.0,,,
2013-10-01,5.283,62.0,62.0,0.544,7.0,7.0,,,
2013-11-01,5.719,68.0,68.0,1.157,13.0,13.0,,,
2013-12-01,17.713,205.0,205.0,1.538,18.0,18.0,,,
2014-01-01,22.252,229.0,229.0,3.553,37.0,37.0,,,
2014-02-01,23.721,248.0,248.0,1.763,19.0,19.0,,,
2014-03-01,19.199,205.0,205.0,0.886,9.0,9.0,,,
2014-04-01,7.47,81.0,81.0,2.233,23.0,23.0,,,
2014-05-01,30.369,316.0,316.0,7.233,76.0,76.0,,,
2014-06-01,17.976,186.0,186.0,6.226,65.0,65.0,,,
2014-07-01,4.072,43.0,43.0,4.332,45.0,45.0,,,
2014-08-01,8.602,93.0,93.0,8.886,94.0,94.0,,,
2014-09-01,8.249,87.0,87.0,4.054,43.0,43.0,,,
