measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1832.0,26914.0,26914.0,,,,,,,,,
2003-02-01,1599.0,22338.0,22338.0,,,,,,,0.0,0.0,0.0,4295.0,61884.0,61884.0,,,,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,,7.0,86.0,86.0,0.0,0.0,0.0,,,,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,634.0,8052.0,8052.0,,,,,,,,,
2003-07-01,1.0,11.0,11.0,,,,,,,7.0,80.0,80.0,2102.0,31857.0,31857.0,449.0,0.0,0.0,,,,,,
2003-08-01,93.0,1083.0,1083.0,,,,,,,0.0,0.0,0.0,5489.0,86231.0,86231.0,1348.0,0.0,0.0,,,,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2003-11-01,1.0,23.0,23.0,,,,,,,64.0,651.0,651.0,204.0,3266.0,3266.0,0.0,0.0,0.0,,,,,,
2003-12-01,4.0,57.0,57.0,,,,,,,64.0,650.0,650.0,191.0,3002.0,3002.0,0.0,0.0,0.0,,,,,,
2004-01-01,0.0,0.0,0.0,,,,,,,1.945,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-02-01,0.0,0.0,0.0,,,,,,,0.9760000000000001,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,,,,,,,10.871,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-04-01,0.0,0.0,0.0,,,,,,,15.434000000000001,168.0,168.0,27.587,431.0,431.0,0.0,0.0,0.0,,,,,,
2004-05-01,0.0,0.0,0.0,,,,,,,27.023,294.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
