measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,-31.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,-28.0,0.0,0.0
2003-03-01,147.0,3349.0,3349.0,2264.0,51735.0,51735.0
2003-04-01,0.0,0.0,0.0,16069.0,213203.0,213203.0
2003-05-01,0.0,0.0,0.0,1447.0,19202.0,19202.0
2003-06-01,0.0,0.0,0.0,2194.0,47057.0,47057.0
2003-07-01,8.0,172.0,172.0,17305.0,229569.0,229569.0
2003-08-01,24.0,584.0,584.0,19261.0,249867.0,249867.0
2003-09-01,0.0,0.0,0.0,3881.0,69369.0,69369.0
2003-10-01,0.0,0.0,0.0,17335.0,224436.0,224436.0
2003-11-01,20.0,198.0,198.0,,,
2003-12-01,0.0,0.0,0.0,,,
2004-01-01,7.551,133.0,133.0,2062.817,33129.0,33129.0
2004-02-01,10.126000000000001,178.0,178.0,1731.8090000000002,27813.0,27813.0
2004-03-01,45.307,799.0,799.0,2180.4320000000002,35018.0,35018.0
2004-04-01,15.622,275.0,275.0,4687.058,75274.0,75274.0
2004-05-01,68.26100000000001,1203.0,1203.0,2410.795,38717.0,38717.0
2004-06-01,67.98400000000001,1198.0,1198.0,6495.051,104310.0,104310.0
2004-07-01,99.343,1751.0,1751.0,3614.0860000000002,58042.0,58042.0
2004-08-01,130.691,2304.0,2304.0,9474.65,152162.0,152162.0
2004-09-01,47.651,840.0,840.0,14300.221000000001,229660.0,229660.0
2004-10-01,2.736,48.0,48.0,3810.25,61192.0,61192.0
2004-11-01,9.514000000000001,168.0,168.0,2117.667,34009.0,34009.0
2004-12-01,9.214,162.0,162.0,2201.164,35350.0,35350.0
2005-01-01,29.8,647.92,647.92,6648.237,96050.48,96050.48
2005-02-01,24.738,537.86,537.86,5518.988,79735.65,79735.65
2005-03-01,30.636000000000003,666.1,666.1,6834.816000000001,98746.09,98746.09
2005-04-01,30.186,656.32,656.32,6734.406,97295.41,97295.41
2005-05-01,35.585,773.69,773.69,7938.777,114695.57,114695.57
2005-06-01,44.909,976.42,976.42,10018.955,144748.96,144748.96
2005-07-01,56.284000000000006,1223.74,1223.74,12556.746,181413.73,181413.73
2005-08-01,58.304,1267.67,1267.67,13007.427,187924.96,187924.96
2005-09-01,44.366,964.61,964.61,9897.839,142999.15,142999.15
2005-10-01,35.443000000000005,770.61,770.61,7907.166,114238.86,114238.86
2005-11-01,30.239,657.46,657.46,6746.121,97464.66,97464.66
2005-12-01,29.51,641.61,641.61,6583.521000000001,95115.5,95115.5
2006-01-01,26.952,441.0,441.0,6592.292,91875.0,91875.0
2006-02-01,31.976000000000003,524.0,524.0,7821.153,109002.0,109002.0
2006-03-01,36.472,597.0,597.0,8920.742,124326.0,124326.0
2006-04-01,40.794000000000004,668.0,668.0,9978.045,139062.0,139062.0
2006-05-01,47.25,774.0,774.0,11557.069,161068.0,161068.0
2006-06-01,60.209,986.0,986.0,14726.848,205245.0,205245.0
2006-07-01,75.696,1240.0,1240.0,18514.861,258037.0,258037.0
2006-08-01,76.65100000000001,1255.0,1255.0,18748.357,261292.0,261292.0
2006-09-01,52.153000000000006,854.0,854.0,12756.425,177783.0,177783.0
2006-10-01,47.22,773.0,773.0,11549.815,160967.0,160967.0
2006-11-01,35.068000000000005,574.0,574.0,8577.534,119543.0,119543.0
2006-12-01,36.558,599.0,599.0,8941.859,124621.0,124621.0
2007-01-01,0.565,9.0,9.0,17513.0,239975.0,239975.0
2007-02-01,1.6720000000000002,26.0,26.0,16483.0,226271.0,226271.0
2007-03-01,1.008,16.0,16.0,17742.0,239987.0,239987.0
2007-04-01,0.47200000000000003,7.0,7.0,16973.0,232093.0,232093.0
2007-05-01,4.3340000000000005,67.0,67.0,2141.0,65909.0,65909.0
2007-06-01,7.46,115.0,115.0,7849.0,111273.0,111273.0
2007-07-01,13.896,215.0,215.0,19022.0,239463.0,239463.0
2007-08-01,25.136000000000003,389.0,389.0,18851.0,236972.0,236972.0
2007-09-01,6.634,103.0,103.0,7301.0,100552.0,100552.0
2007-10-01,4.008,62.0,62.0,1238.0,21995.0,21995.0
2007-11-01,0.539,8.0,8.0,-740.0,213.0,213.0
2007-12-01,4.276,66.0,66.0,-758.0,175.0,175.0
2008-01-01,6.684,126.0,126.0,1811.0,21095.0,21095.0
2008-02-01,2.511,47.0,47.0,-5.0,139.0,139.0
2008-03-01,3.6310000000000002,68.0,68.0,154.0,2794.0,2794.0
2008-04-01,6.728000000000001,126.0,126.0,10275.0,123171.0,123171.0
2008-05-01,6.825,128.0,128.0,-77.0,0.0,0.0
2008-06-01,10.911000000000001,204.0,204.0,14841.0,180963.0,180963.0
2008-07-01,21.016000000000002,393.0,393.0,19180.0,238552.0,238552.0
2008-08-01,17.715,332.0,332.0,18263.0,224584.0,224584.0
2008-09-01,7.149,134.0,134.0,5166.0,66882.0,66882.0
2008-10-01,7.057,132.0,132.0,-55.0,0.0,0.0
2008-11-01,8.798,165.0,165.0,-34.0,0.0,0.0
2008-12-01,9.975,187.0,187.0,-9.0,0.0,0.0
2009-01-01,6.476,155.0,155.0,-1.0,0.0,0.0
2009-02-01,4.324,104.0,104.0,-2.0,11.0,11.0
2009-03-01,7.48,180.0,180.0,2324.0,30231.0,30231.0
2009-04-01,5.91,142.0,142.0,1897.0,24768.0,24768.0
2009-05-01,6.356,153.0,153.0,13160.0,146594.0,146594.0
2009-06-01,15.903,382.0,382.0,9377.0,109994.0,109994.0
2009-07-01,18.208000000000002,438.0,438.0,19691.0,220600.0,220600.0
2009-08-01,19.611,472.0,472.0,20707.0,229231.0,229231.0
2009-09-01,6.094,147.0,147.0,23951.0,257712.0,257712.0
2009-10-01,6.305,152.0,152.0,12700.0,139584.0,139584.0
2009-11-01,5.553,134.0,134.0,3539.0,43706.0,43706.0
2009-12-01,6.78,163.0,163.0,-10.0,0.0,0.0
2010-01-01,8.316,207.0,207.0,0.0,0.0,0.0
2010-02-01,3.34,83.0,83.0,-1.0,0.0,0.0
2010-03-01,3.97,99.0,99.0,0.0,0.0,0.0
2010-04-01,4.324,107.0,107.0,3076.0,53889.0,53889.0
2010-05-01,5.202,129.0,129.0,4750.0,58806.0,58806.0
2010-06-01,12.965,321.0,321.0,7973.0,98642.0,98642.0
2010-07-01,20.221,500.0,500.0,18511.0,229046.0,229046.0
2010-08-01,22.551000000000002,558.0,558.0,21647.0,262100.0,262100.0
2010-09-01,7.1290000000000004,176.0,176.0,5039.0,61431.0,61431.0
2010-10-01,4.7940000000000005,119.0,119.0,2277.0,28201.0,28201.0
2010-11-01,2.773,69.0,69.0,-4.0,0.0,0.0
2010-12-01,4.415,110.0,110.0,0.0,0.0,0.0
2011-01-01,2.976,421.0,421.0,-1.0,0.0,0.0
2011-02-01,3.882,552.0,552.0,-8.0,0.0,0.0
2011-03-01,3.644,518.0,518.0,1180.0,14400.0,14400.0
2011-04-01,4.023,572.0,572.0,794.0,9710.0,9710.0
2011-05-01,3.63,516.0,516.0,1709.0,21047.0,21047.0
2011-06-01,15.191,2157.0,2157.0,9188.0,110405.0,110405.0
2011-07-01,23.888,3391.0,3391.0,15532.0,188822.0,188822.0
2011-08-01,17.073,2424.0,2424.0,17106.0,198678.0,198678.0
2011-09-01,5.676,806.0,806.0,3327.0,39960.0,39960.0
2011-10-01,3.006,426.0,426.0,6835.0,80797.0,80797.0
2011-11-01,2.359,335.0,335.0,3706.0,41844.0,41844.0
2011-12-01,2.652,376.0,376.0,16334.0,183435.0,183435.0
2012-01-01,8.385,156.0,156.0,23143.0,257446.0,257446.0
2012-02-01,7.146,132.0,132.0,21854.0,244292.0,244292.0
2012-03-01,9.204,170.0,170.0,17107.0,197989.0,197989.0
2012-04-01,11.625,215.0,215.0,18138.0,215869.0,215869.0
2012-05-01,20.672,383.0,383.0,20269.0,235742.0,235742.0
2012-06-01,19.017,352.0,352.0,19777.0,234662.0,234662.0
2012-07-01,34.208,633.0,633.0,16777.0,199899.0,199899.0
2012-08-01,21.242,394.0,394.0,18015.0,216813.0,216813.0
2012-09-01,10.221,189.0,189.0,20160.0,245954.0,245954.0
2012-10-01,4.682,87.0,87.0,4511.0,55862.0,55862.0
2012-11-01,3.778,69.0,69.0,3031.0,36349.0,36349.0
2012-12-01,2.82,52.0,52.0,0.0,0.0,0.0
2013-01-01,0.303,65.0,65.0,0.0,0.0,0.0
2013-02-01,0.662,145.0,145.0,0.0,0.0,0.0
2013-03-01,0.835,181.0,181.0,8300.0,92340.0,92340.0
2013-04-01,0.61,133.0,133.0,23213.0,259390.0,259390.0
2013-05-01,0.981,213.0,213.0,20057.0,228417.0,228417.0
