measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,497.0,5586.0,5586.0,133266.0,1377392.0,1377392.0
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,439.0,4770.0,4770.0,122671.0,1216624.0,1216624.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,542.0,6021.0,6021.0,122115.0,1359984.0,1359984.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,0.0,0.0,847.0,9328.0,9328.0,117951.0,1292959.0,1292959.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,576.0,6926.0,6926.0,94001.0,1129563.0,1129563.0
2003-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,568.0,6535.0,6535.0,105669.0,1215124.0,1215124.0
2003-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,317.0,3619.0,3619.0,130555.0,1503688.0,1503688.0
2003-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,0.0,0.0,402.0,4664.0,4664.0,124012.0,1437958.0,1437958.0
2003-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,0.0,0.0,659.0,7621.0,7621.0,103918.0,1201215.0,1201215.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,0.0,0.0,429.0,4821.0,4821.0,99297.0,1114640.0,1114640.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,1664.0,18978.0,18978.0,77498.0,884019.0,884019.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0,116621.0,1314200.0,1314200.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,671.0,7032.0,7032.0,122360.0,1283036.0,1283036.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,706.0,7692.0,7692.0,121307.0,1321163.0,1321163.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,0.0,0.0,789.0,8743.0,8743.0,122213.0,1353967.0,1353967.0
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0,771.0,8615.0,8615.0,111530.0,1246841.0,1246841.0
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,498.0,5649.0,5649.0,131372.0,1489338.0,1489338.0
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,71.0,71.0,531.0,6072.0,6072.0,127641.0,1458553.0,1458553.0
2004-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,71.0,71.0,542.0,6224.0,6224.0,129848.0,1490231.0,1490231.0
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,913.0,913.0,651.0,7331.0,7331.0,127560.0,1437515.0,1437515.0
2004-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,0.0,0.0,495.0,5509.0,5509.0,88709.0,987879.0,987879.0
2004-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-36.0,0.0,0.0,403.0,4730.0,4730.0,24968.0,293144.0,293144.0
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,0.0,0.0,1391.0,15614.0,15614.0,95640.0,1073199.0,1073199.0
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,0.0,1031.0,11067.0,11067.0,126033.0,1402920.0,1402920.0
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-50.0,0.0,0.0,1821.0,19748.57,19748.57,132196.0,1434037.98,1434037.98
2005-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-44.0,0.0,0.0,638.0,6813.12,6813.12,114597.0,1224377.54,1224377.54
2005-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-44.0,0.0,0.0,793.0,8413.1,8413.1,130635.0,1385727.41,1385727.41
2005-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-36.0,0.0,0.0,647.0,7153.67,7153.67,105614.0,1167269.61,1167269.61
2005-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-32.0,52.99,52.99,401.0,4432.89,4432.89,133717.0,1477371.06,1477371.06
2005-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-21.0,184.26,184.26,418.0,4855.46,4855.46,118894.0,1361919.55,1361919.55
