measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,1870.0,21408.0,21408.0,0.0,0.0,0.0,,,,1888.0,21410.0,21410.0,,,,90367.0,1020285.0,1020285.0
2003-02-01,640.0,15933.0,15933.0,0.0,0.0,0.0,30.0,627.0,627.0,436.0,4921.0,4921.0,,,,96478.0,1088115.0,1088115.0
2003-03-01,26.0,673.0,673.0,0.0,0.0,0.0,,,,840.0,9309.0,9309.0,,,,109015.0,1207624.0,1207624.0
2003-04-01,86.0,1108.0,1108.0,0.0,0.0,0.0,8.0,196.0,196.0,1834.0,20868.0,20868.0,,,,64562.0,736143.0,736143.0
2003-05-01,102.0,2071.0,2071.0,0.0,0.0,0.0,,,,877.0,9940.0,9940.0,,,,47809.0,549290.0,549290.0
2003-06-01,268.0,4269.0,4269.0,0.0,0.0,0.0,,,,430.0,11361.0,11361.0,,,,76693.0,860831.0,860831.0
2003-07-01,1810.0,31268.0,31268.0,0.0,0.0,0.0,182.0,4363.0,4363.0,2790.0,31171.0,31171.0,,,,98827.0,1104758.0,1104758.0
2003-08-01,3386.0,59508.0,59508.0,0.0,0.0,0.0,586.0,13535.0,13535.0,1621.0,18265.0,18265.0,,,,104649.0,1179207.0,1179207.0
2003-09-01,16.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.0,18758.0,18758.0,,,,72717.0,858264.0,858264.0
2003-10-01,52.0,1218.0,1218.0,0.0,0.0,0.0,16.0,357.0,357.0,527.0,6018.0,6018.0,,,,91026.0,1029704.0,1029704.0
2003-11-01,85.0,2129.0,2129.0,0.0,0.0,0.0,,,,360.0,7462.0,7462.0,,,,35045.0,417823.0,417823.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,9845.0,9845.0,,,,69071.0,816686.0,816686.0
2004-01-01,77.0,2314.0,2314.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,9046.0,9046.0,,,,83374.0,967610.0,967610.0
