measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,889367.0,8618312.0,8618312.0,475.0,5574.5,5574.5,257637.0,3060241.0,3060241.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001-02-01,763661.0,7340218.0,7340218.0,326.0,2560.5,2560.5,163820.0,2075544.0,2075544.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001-03-01,709885.0,6783221.0,6783221.0,1270.0,9921.0,9921.0,248270.0,2875751.0,2875751.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001-04-01,555759.0,5581685.0,5581685.0,1850.0,15189.5,15189.5,277916.0,3238963.0,3238963.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001-05-01,802309.0,7948026.0,7948026.0,1211.5,9811.5,9811.5,307071.0,3658352.0,3658352.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001-06-01,729073.0,7391395.0,7391395.0,956.0,7921.5,7921.5,336882.0,3891089.0,3891089.0,39967.0,341731.0,341731.0,51.0,568.0,568.0,,,
2001-07-01,776092.0,8015457.0,8015457.0,810.5,6843.5,6843.5,503206.0,5559142.0,5559142.0,42484.0,370058.0,370058.0,0.0,0.0,0.0,,,
2001-08-01,712824.0,7593689.0,7593689.0,1627.5,14172.0,14172.0,457420.0,5077821.0,5077821.0,121631.0,1092814.0,1092814.0,0.0,0.0,0.0,,,
2001-09-01,751369.0,7743292.0,7743292.0,937.5,7898.0,7898.0,469481.0,5376083.0,5376083.0,81538.0,708709.0,708709.0,0.0,0.0,0.0,,,
2001-10-01,657241.0,7001402.0,7001402.0,1608.5,14007.5,14007.5,356919.0,3812993.0,3812993.0,115446.0,1037226.0,1037226.0,0.0,0.0,0.0,,,
2001-11-01,392619.0,2875162.0,2875162.0,1660.0,9938.5,9938.5,184484.0,2207113.0,2207113.0,75465.0,466091.0,466091.0,0.0,0.0,0.0,,,
2001-12-01,580629.0,6283209.0,6283209.0,1431.0,12661.0,12661.0,218256.0,2517429.0,2517429.0,169182.0,1544080.0,1544080.0,0.0,0.0,0.0,,,
2002-01-01,702044.0,7506425.0,7506425.0,612.5,5237.5,5237.5,131406.0,1580671.0,1580671.0,128065.0,932448.0,932448.0,0.0,0.0,0.0,,,
2002-02-01,534179.0,5477380.0,5477380.0,0.0,0.0,0.0,265481.0,3013738.0,3013738.0,144498.0,1225756.0,1225756.0,0.0,0.0,0.0,,,
2002-03-01,588980.0,6040956.0,6040956.0,1329.0,11229.0,11229.0,236467.0,2758525.0,2758525.0,188345.0,1642734.0,1642734.0,0.0,0.0,0.0,,,
2002-04-01,374265.0,3866328.0,3866328.0,1175.0,10127.0,10127.0,324539.0,3611079.0,3611079.0,104335.0,931219.0,931219.0,0.0,0.0,0.0,,,
2002-05-01,530077.0,5697257.0,5697257.0,1053.0,9323.5,9323.5,251268.0,2697473.0,2697473.0,252047.0,2279735.0,2279735.0,0.0,0.0,0.0,,,
2002-06-01,532403.0,5872351.0,5872351.0,1373.0,12273.0,12273.0,391427.0,4398144.0,4398144.0,266570.0,2434260.0,2434260.0,0.0,0.0,0.0,,,
2002-07-01,780869.0,8046481.0,8046481.0,1073.5,8996.0,8996.0,432999.0,4846303.0,4846303.0,68177.0,584138.0,584138.0,0.0,0.0,0.0,,,
2002-08-01,809513.0,8135225.0,8135225.0,675.0,6844.0,6844.0,459173.0,5078721.0,5078721.0,52632.0,533045.0,533045.0,0.0,0.0,0.0,,,
2002-09-01,766846.0,7745778.0,7745778.0,456.0,4471.5,4471.5,411605.0,4538977.0,4538977.0,89969.0,919791.0,919791.0,0.0,0.0,0.0,,,
2002-10-01,1044647.0,7640784.0,7640784.0,557.0,3979.5,3979.5,224485.0,2674006.0,2674006.0,83699.0,623238.0,623238.0,0.0,0.0,0.0,,,
2002-11-01,497131.0,5040598.0,5040598.0,1856.0,19137.0,19137.0,148083.0,1815082.0,1815082.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-12-01,576594.0,5768414.0,5768414.0,1827.0,19114.0,19114.0,121424.0,1499764.0,1499764.0,101317.0,1050628.0,1050628.0,0.0,0.0,0.0,,,
2003-01-01,741305.0,8351951.0,8351951.0,1647.5,19032.5,19032.5,88785.0,1034696.0,1034696.0,32393.0,372601.0,372601.0,0.0,0.0,0.0,,,
2003-02-01,504791.0,4988256.0,4988256.0,676.0,6879.0,6879.0,120928.5,1461185.0,1461185.0,115607.0,1167104.0,1167104.0,7968.0,81965.0,81965.0,,,
2003-03-01,483985.0,4843469.0,4843469.0,1242.0,12484.5,12484.5,100932.5,1253693.5,1253693.5,64158.0,637694.0,637694.0,7172.0,76166.0,76166.0,,,
2003-04-01,637839.0,6505006.0,6505006.0,1589.5,16306.5,16306.5,109189.5,1336466.5,1336466.5,97368.0,989902.0,989902.0,0.0,0.0,0.0,,,
2003-05-01,667474.0,6689808.0,6689808.0,934.5,9413.5,9413.5,200298.0,2502279.0,2502279.0,85384.0,853889.0,853889.0,0.0,0.0,0.0,,,
2003-06-01,607635.0,6096433.0,6096433.0,572.5,5794.0,5794.0,99912.0,1280065.5,1280065.5,127649.0,1281702.0,1281702.0,0.0,0.0,0.0,,,
2003-07-01,682439.0,6843568.0,6843568.0,695.0,7073.0,7073.0,194272.5,2227150.5,2227150.5,185866.0,1872201.0,1872201.0,0.0,0.0,0.0,,,
2003-08-01,714560.0,7290397.0,7290397.0,1045.5,10866.5,10866.5,193840.5,2219146.5,2219146.5,120735.0,1248023.0,1248023.0,0.0,0.0,0.0,,,
2003-09-01,558922.0,5721251.0,5721251.0,1141.5,11809.0,11809.0,135250.5,1590923.5,1590923.5,199463.0,2039594.0,2039594.0,0.0,0.0,0.0,,,
2003-10-01,602682.0,6037037.0,6037037.0,599.0,6081.5,6081.5,125830.0,1462898.5,1462898.5,240976.0,2405318.0,2405318.0,0.0,0.0,0.0,,,
2003-11-01,395374.0,4097841.0,4097841.0,1615.0,16797.0,16797.0,84390.0,1038447.5,1038447.5,170267.0,1754303.0,1754303.0,0.0,0.0,0.0,,,
