measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6832.0,93625.0,93625.0
2003-02-01,7398.0,98162.0,98162.0
2003-03-01,0.0,0.0,0.0
2003-04-01,4027.0,57425.0,57425.0
2003-05-01,3843.0,53274.0,53274.0
2003-06-01,13462.0,195728.0,195728.0
2003-07-01,19056.0,257429.0,257429.0
2003-08-01,20001.0,269407.0,269407.0
2003-09-01,8942.0,150128.0,150128.0
2003-10-01,464.0,8402.0,8402.0
2003-11-01,2791.0,43242.0,43242.0
2003-12-01,1412.0,25188.0,25188.0
2004-01-01,5050.819,79277.0,79277.0
2004-02-01,5027.548000000001,78912.0,78912.0
2004-03-01,4877.803,76562.0,76562.0
2004-04-01,4415.866,69311.0,69311.0
2004-05-01,5629.657,88363.0,88363.0
2004-06-01,7522.387000000001,118071.0,118071.0
2004-07-01,8273.491,129860.0,129860.0
2004-08-01,8964.084,140700.0,140700.0
2004-09-01,7742.225,121521.0,121521.0
2004-10-01,8272.346,129842.0,129842.0
2004-11-01,5286.217000000001,82972.0,82972.0
2004-12-01,5505.5560000000005,86415.0,86415.0
2005-01-01,7308.935,105216.2,105216.2
2005-02-01,6067.462,87344.5,87344.5
2005-03-01,7514.057000000001,108169.03,108169.03
2005-04-01,7403.668000000001,106579.93,106579.93
2005-05-01,8727.728000000001,125640.51,125640.51
2005-06-01,11014.633,158561.78,158561.78
2005-07-01,13804.628,198725.32,198725.32
2005-08-01,14300.098,205857.89,205857.89
2005-09-01,10881.481,156644.99,156644.99
2005-10-01,8692.975,125140.22,125140.22
2005-11-01,7416.5470000000005,106765.33,106765.33
2005-12-01,7237.7880000000005,104191.99,104191.99
2006-01-01,4671.669,73186.0,73186.0
2006-02-01,5542.51,86829.0,86829.0
2006-03-01,6321.74,99036.0,99036.0
2006-04-01,7071.005,110774.0,110774.0
2006-05-01,8189.99,128304.0,128304.0
2006-06-01,10436.274,163495.0,163495.0
2006-07-01,13120.673,205548.0,205548.0
2006-08-01,13286.141,208141.0,208141.0
2006-09-01,9039.921,141619.0,141619.0
2006-10-01,8184.849,128224.0,128224.0
2006-11-01,6078.523,95226.0,95226.0
2006-12-01,6336.705,99271.0,99271.0
2007-01-01,1083.0,23586.0,23586.0
2007-02-01,103.0,1753.0,1753.0
2007-03-01,442.0,7257.0,7257.0
2007-04-01,7423.0,154076.0,154076.0
2007-05-01,7702.0,173249.0,173249.0
2007-06-01,8765.0,183680.0,183680.0
2007-07-01,9136.0,171329.0,171329.0
2007-08-01,19013.0,259914.0,259914.0
2007-09-01,12501.0,194971.0,194971.0
2007-10-01,3087.0,58457.0,58457.0
2007-11-01,0.0,321.0,321.0
2007-12-01,563.0,8599.0,8599.0
2008-01-01,5438.0,88254.0,88254.0
2008-02-01,1338.0,21825.0,21825.0
2008-03-01,11727.0,192470.0,192470.0
2008-04-01,4787.0,78648.0,78648.0
2008-05-01,8276.0,132282.0,132282.0
2008-06-01,11727.0,192648.0,192648.0
2008-07-01,18396.0,265446.0,265446.0
2008-08-01,14301.0,218059.0,218059.0
2008-09-01,9656.0,161555.0,161555.0
2008-10-01,7936.0,121353.0,121353.0
2008-11-01,9317.0,138364.0,138364.0
2008-12-01,3250.0,51747.0,51747.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,10500.0,153186.0,153186.0
2009-09-01,9931.0,149646.0,149646.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,8890.0,100333.0,100333.0
2010-01-01,8891.0,138624.0,138624.0
2010-02-01,7444.0,109405.0,109405.0
2010-03-01,0.0,0.0,0.0
2010-04-01,2885.0,47545.0,47545.0
2010-05-01,5841.0,96657.0,96657.0
2010-06-01,10784.0,175812.0,175812.0
2010-07-01,3080.0,51557.0,51557.0
