measured_on,Anthracite Coal Generation,Anthracite Coal Quantity Consumed For Electricity,Anthracite Coal Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,,,,,,,1011.2285,10005.5,10005.5,2245.0,23197.59,23197.59,,,,-133.0,0.0,0.0,1683641.0,16291570.0,16291570.0
2001-02-01,,,,,,,394.8725,4010.5,4010.5,1735.0,17927.76,17927.76,,,,-69.0,0.0,0.0,1827187.0,17403029.0,17403029.0
2001-03-01,,,,,,,2011.575,19887.5,19887.5,1240.0,12812.92,12812.92,,,,0.0,0.0,0.0,1739803.0,16598586.0,16598586.0
2001-04-01,,,,,,,863.8155,8221.0,8221.0,2438.0,25191.85,25191.85,,,,1916.0,32960.0,32960.0,1285322.0,12381189.0,12381189.0
2001-05-01,,,,,,,1388.17,13186.0,13186.0,2562.0,26473.15,26473.15,,,,8231.0,125852.0,125852.0,1621400.0,15599588.0,15599588.0
2001-06-01,,,,,,,1017.9065,9956.0,9956.0,2292.0,23683.24,23683.24,,,,3397.0,43021.0,43021.0,1544313.0,15057880.0,15057880.0
2001-07-01,,,,,,,1055.535,10466.5,10466.5,1876.0,19384.71,19384.71,,,,11943.0,196494.0,196494.0,1668782.0,16162055.0,16162055.0
2001-08-01,,,,,,,1424.182,13715.5,13715.5,1859.0,19209.05,19209.05,,,,14797.0,244544.0,244544.0,1816307.0,17026976.0,17026976.0
2001-09-01,,,,,,,1273.2945,12200.0,12200.0,1735.0,17927.76,17927.76,,,,-397.0,0.0,0.0,1388812.0,13697352.0,13697352.0
2001-10-01,,,,,,,757.7015,7531.5,7531.5,2036.0,21037.99,21037.99,,,,0.0,0.0,0.0,1210771.0,13239895.0,13239895.0
2001-11-01,,,,,,,425.153,4045.0,4045.0,2373.0,24520.21,24520.21,,,,0.0,0.0,0.0,1316587.0,12688267.0,12688267.0
2001-12-01,,,,,,,1243.5655,11911.5,11911.5,2032.0,20996.66,20996.66,,,,0.0,0.0,0.0,1199738.0,11854046.0,11854046.0
2002-01-01,,,,1325831.0,13236222.0,13236222.0,2876.3575,29283.5,29283.5,497.0,5055.98,5055.98,,,,0.0,0.0,0.0,,,
2002-02-01,,,,1407860.0,13686009.0,13686009.0,1421.632,13698.5,13698.5,1092.0,11108.92,11108.92,,,,-30.0,0.0,0.0,,,
2002-03-01,,,,1522790.0,14898093.0,14898093.0,1683.157,16152.5,16152.5,1566.0,15930.92,15930.92,,,,0.0,0.0,0.0,,,
2002-04-01,,,,1407626.0,13563489.0,13563489.0,1787.26,17464.0,17464.0,1468.0,14933.96,14933.96,,,,0.0,0.0,0.0,,,
2002-05-01,,,,1293447.0,12305525.0,12305525.0,1666.501,16382.5,16382.5,1692.0,17212.72,17212.72,,,,0.0,0.0,0.0,,,
2002-06-01,,,,1537177.0,14871356.0,14871356.0,1464.3355,14378.0,14378.0,1588.0,16154.72,16154.72,,,,0.0,0.0,0.0,,,
2002-07-01,,,,1891854.0,17686494.0,17686494.0,1025.4215,9916.0,9916.0,685.0,6968.51,6968.51,,,,-182.0,0.0,0.0,,,
2002-08-01,,,,1707034.0,16600772.0,16600772.0,1106.9385,10847.0,10847.0,1261.0,12828.15,12828.15,,,,-93.0,0.0,0.0,,,
