measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Jet Fuel - Other - Waste Oil - Generation,Jet Fuel - Other - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Other - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Other - Waste Oil - Generation,Kerosene - Other - Waste Oil - Quantity Consumed For Electricity,Kerosene - Other - Waste Oil - Total Fuel Consumed
2003-01-01,,,,,,,,,,,,,46.0,692.0,692.0
2003-02-01,,,,,,,,,,,,,0.0,0.0,0.0
2003-03-01,,,,,,,,,,,,,28.0,289.0,289.0
2003-04-01,,,,,,,,,,,,,96.0,1282.0,1282.0
2003-05-01,,,,,,,,,,,,,51.0,764.0,764.0
2003-06-01,,,,,,,,,,,,,47.0,577.0,577.0
2003-07-01,,,,,,,,,,,,,6.0,119.0,119.0
2003-08-01,,,,,,,,,,,,,189.15,2432.0,2432.0
2003-10-01,,,,,,,,,,,,,84.0,1148.0,1148.0
2003-11-01,,,,,,,,,,,,,102.0,1434.0,1434.0
2003-12-01,,,,,,,,,,,,,35.0,487.0,487.0
2004-01-01,390.94,5233.0,5233.0,,,,,,,,,,,,
2004-02-01,12.83,172.0,172.0,,,,,,,,,,,,
2004-03-01,11.265,151.0,151.0,,,,,,,,,,,,
2004-04-01,11.473,154.0,154.0,,,,,,,,,,,,
2004-05-01,15.048,201.0,201.0,,,,,,,,,,,,
2004-06-01,5.113,68.0,68.0,,,,,,,,,,,,
2004-07-01,1.33,18.0,18.0,,,,,,,,,,,,
2004-08-01,20.639,276.0,276.0,,,,,,,,,,,,
2004-09-01,6.481,87.0,87.0,,,,,,,,,,,,
2004-10-01,8.456000000000001,113.0,113.0,,,,,,,,,,,,
2004-11-01,8.07,108.0,108.0,,,,,,,,,,,,
2004-12-01,37.353,500.0,500.0,,,,,,,,,,,,
2005-01-01,,,,,,,125.923,1710.98,1710.98,,,,,,
2005-02-01,,,,,,,28.985,393.84,393.84,,,,,,
2005-03-01,,,,,,,24.873,337.96,337.96,,,,,,
2005-04-01,,,,,,,24.887,338.15,338.15,,,,,,
2005-05-01,,,,,,,25.092000000000002,340.94,340.94,,,,,,
2005-06-01,,,,,,,30.395,413.0,413.0,,,,,,
2005-07-01,,,,,,,57.566,782.17,782.17,,,,,,
2005-08-01,,,,,,,50.986000000000004,692.78,692.78,,,,,,
2005-09-01,,,,,,,28.37,385.48,385.48,,,,,,
2005-10-01,,,,,,,39.775,540.45,540.45,,,,,,
2005-11-01,,,,,,,26.783,363.91,363.91,,,,,,
2005-12-01,,,,,,,73.365,996.84,996.84,,,,,,
2006-01-01,,,,,,,21.742,160.0,160.0,,,,,,
2006-02-01,,,,,,,11.377,84.0,84.0,,,,,,
2006-03-01,,,,,,,9.557,70.0,70.0,,,,,,
2006-04-01,,,,,,,18.306,135.0,135.0,,,,,,
2006-05-01,,,,,,,17.112000000000002,126.0,126.0,,,,,,
2006-06-01,,,,,,,15.553,115.0,115.0,,,,,,
2006-07-01,,,,,,,22.529,166.0,166.0,,,,,,
2006-08-01,,,,,,,21.853,161.0,161.0,,,,,,
2006-09-01,,,,,,,10.04,74.0,74.0,,,,,,
2006-10-01,,,,,,,10.605,78.0,78.0,,,,,,
2006-11-01,,,,,,,12.488000000000001,92.0,92.0,,,,,,
2006-12-01,,,,,,,13.837000000000002,102.0,102.0,,,,,,
2007-01-01,,,,,,,52.009,731.0,731.0,,,,,,
2007-02-01,,,,,,,67.607,945.0,945.0,,,,,,
2007-03-01,,,,,,,35.989000000000004,505.0,505.0,,,,,,
2007-04-01,,,,,,,21.341,302.0,302.0,,,,,,
2007-05-01,,,,,,,16.67,232.0,232.0,,,,,,
2007-06-01,,,,,,,26.587,371.0,371.0,,,,,,
2007-07-01,,,,,,,22.525,313.0,313.0,,,,,,
2007-08-01,,,,,,,27.058,377.0,377.0,,,,,,
2007-09-01,,,,,,,20.936,296.0,296.0,,,,,,
2007-10-01,,,,,,,16.198,226.0,226.0,,,,,,
2007-11-01,,,,,,,16.055,226.0,226.0,,,,,,
2007-12-01,,,,,,,30.026,423.0,423.0,,,,,,
2008-01-01,,,,0.0,0.0,0.0,28.63,418.0,418.0,,,,,,
2008-02-01,,,,0.0,0.0,0.0,23.95,348.0,348.0,,,,,,
2008-03-01,,,,0.0,0.0,0.0,20.55,296.0,296.0,,,,,,
2008-04-01,,,,0.0,0.0,0.0,11.182,162.0,162.0,,,,,,
2008-05-01,,,,0.0,0.0,0.0,10.305,151.0,151.0,,,,,,
2008-06-01,,,,0.0,0.0,0.0,23.389,342.0,342.0,,,,,,
2008-07-01,,,,0.0,0.0,0.0,21.441000000000003,313.0,313.0,,,,,,
2008-08-01,,,,0.0,0.0,0.0,17.765,255.0,255.0,,,,,,
2008-09-01,,,,0.0,0.0,0.0,22.601000000000003,331.0,331.0,,,,,,
2008-10-01,,,,0.0,0.0,0.0,12.946000000000002,186.0,186.0,,,,,,
2008-11-01,,,,0.0,0.0,0.0,15.763,226.0,226.0,,,,,,
2008-12-01,,,,0.0,0.0,0.0,25.478,371.0,371.0,,,,,,
2009-01-01,,,,0.0,0.0,0.0,154.041,2094.0,2094.0,,,,,,
2009-02-01,,,,0.0,0.0,0.0,63.857000000000006,868.0,868.0,,,,,,
2009-03-01,,,,0.0,0.0,0.0,66.607,907.0,907.0,,,,,,
2009-04-01,,,,0.0,0.0,0.0,8.581000000000001,118.0,118.0,,,,,,
2009-05-01,,,,0.0,0.0,0.0,13.611,185.0,185.0,,,,,,
2009-06-01,,,,0.0,0.0,0.0,5.977,84.0,84.0,,,,,,
2009-07-01,,,,0.0,0.0,0.0,4.622,62.0,62.0,,,,,,
2009-08-01,,,,0.0,0.0,0.0,20.46,280.0,280.0,,,,,,
2009-09-01,,,,0.0,0.0,0.0,2.718,39.0,39.0,,,,,,
2009-10-01,,,,0.0,0.0,0.0,3.358,45.0,45.0,,,,,,
2009-11-01,,,,0.0,0.0,0.0,7.964,106.0,106.0,,,,,,
2009-12-01,,,,0.0,0.0,0.0,21.204,291.0,291.0,,,,,,
2010-01-01,,,,56.024,822.0,822.0,,,,,,,,,
2010-02-01,,,,24.254,357.0,357.0,,,,,,,,,
2010-03-01,,,,61.407000000000004,902.0,902.0,,,,,,,,,
2010-04-01,,,,25.19,369.0,369.0,,,,,,,,,
2010-05-01,,,,54.594,799.0,799.0,,,,,,,,,
2010-06-01,,,,47.643,697.0,697.0,,,,,,,,,
2010-07-01,,,,264.473,3878.0,3878.0,,,,,,,,,
2010-08-01,,,,79.232,1162.0,1162.0,,,,,,,,,
2010-09-01,,,,106.659,1565.0,1565.0,,,,,,,,,
2010-10-01,,,,99.18900000000001,1452.0,1452.0,,,,,,,,,
2010-11-01,,,,22.501,329.0,329.0,,,,,,,,,
2010-12-01,,,,72.834,1066.0,1066.0,,,,,,,,,
2011-01-01,,,,59.05,910.0,910.0,,,,,,,,,
2011-02-01,,,,22.825,354.0,354.0,,,,,,,,,
2011-03-01,,,,8.806,135.0,135.0,,,,,,,,,
2011-04-01,,,,4.916,79.0,79.0,,,,,,,,,
2011-05-01,,,,5.043,79.0,79.0,,,,,,,,,
2011-06-01,,,,8.509,135.0,135.0,,,,,,,,,
2011-07-01,,,,33.133,517.0,517.0,,,,,,,,,
2011-08-01,,,,10.628,163.0,163.0,,,,,,,,,
2011-09-01,,,,7.101,112.0,112.0,,,,,,,,,
2011-10-01,,,,6.092,96.0,96.0,,,,,,,,,
2011-11-01,,,,4.707,73.0,73.0,,,,,,,,,
2011-12-01,,,,8.19,129.0,129.0,,,,0.0,0.0,0.0,,,
2012-01-01,,,,40.396,571.0,571.0,,,,0.0,0.0,0.0,,,
2012-02-01,,,,4.299,62.0,62.0,,,,0.0,0.0,0.0,,,
2012-03-01,,,,9.664,134.0,134.0,,,,0.0,0.0,0.0,,,
2012-04-01,,,,8.685,123.0,123.0,,,,0.0,0.0,0.0,,,
2012-05-01,,,,8.056,112.0,112.0,,,,0.0,0.0,0.0,,,
2012-06-01,,,,55.322,778.0,778.0,,,,0.0,0.0,0.0,,,
2012-07-01,,,,27.69,392.0,392.0,,,,0.0,0.0,0.0,,,
2012-08-01,,,,17.429,246.0,246.0,,,,0.0,0.0,0.0,,,
2012-09-01,,,,12.31,174.0,174.0,,,,0.0,0.0,0.0,,,
2012-10-01,,,,11.44,162.0,162.0,,,,0.0,0.0,0.0,,,
2012-11-01,,,,15.096,213.0,213.0,,,,0.0,0.0,0.0,,,
2012-12-01,,,,7.613,106.0,106.0,,,,0.0,0.0,0.0,,,
2013-01-01,,,,53.237,767.0,767.0,,,,0.0,0.0,0.0,,,
2013-02-01,,,,28.87,420.0,420.0,,,,0.0,0.0,0.0,,,
2013-03-01,,,,4.138,62.0,62.0,,,,0.0,0.0,0.0,,,
