measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,,,,575.0,5877.0,5877.0,158807.0,1744580.0,1744580.0
2001-02-01,,,,272.0,2852.0,2852.0,174988.0,1841319.0,1841319.0
2001-03-01,,,,312.0,3199.0,3199.0,133368.0,1330521.0,1330521.0
2001-04-01,,,,573.0,6341.0,6341.0,155097.0,1586639.0,1586639.0
2001-05-01,,,,244.0,2539.0,2539.0,139785.0,1392222.0,1392222.0
2001-06-01,,,,579.0,5941.0,5941.0,171455.0,1691613.0,1691613.0
2001-07-01,,,,243.0,2544.0,2544.0,204739.0,2048668.0,2048668.0
2001-08-01,,,,512.0,7541.0,7541.0,208627.0,2200412.0,2200412.0
2001-09-01,,,,296.0,3014.0,3014.0,188130.0,2101814.0,2101814.0
2001-10-01,,,,361.0,3715.0,3715.0,195895.0,2122581.0,2122581.0
2001-11-01,,,,180.0,1837.0,1837.0,188604.0,2082746.0,2082746.0
2001-12-01,,,,118.0,1223.0,1223.0,196218.0,2218821.0,2218821.0
2002-01-01,70069.0,578636.0,578636.0,83.0,981.0,981.0,120677.0,1372986.0,1372986.0
2002-02-01,68011.0,571559.0,571559.0,137.0,1603.0,1603.0,98392.0,1110168.0,1110168.0
2002-03-01,69724.0,591650.0,591650.0,546.0,5922.0,5922.0,88548.0,962262.0,962262.0
2002-04-01,108578.0,962013.0,962013.0,876.0,9941.0,9941.0,75685.0,858780.0,858780.0
2002-05-01,79852.0,663233.0,663233.0,251.0,2825.0,2825.0,122705.0,1361016.0,1361016.0
2002-06-01,83544.0,717734.0,717734.0,154.0,2175.0,2175.0,118683.0,1326168.0,1326168.0
2002-07-01,98632.0,856884.0,856884.0,324.0,4037.0,4037.0,118535.0,1273104.0,1273104.0
2002-08-01,83394.0,712265.0,712265.0,188.0,2546.0,2546.0,122945.0,1324386.0,1324386.0
2002-09-01,70916.0,597935.0,597935.0,242.0,2535.0,2535.0,101530.0,1063584.0,1063584.0
2002-10-01,55144.0,460265.0,460265.0,197.0,2117.0,2117.0,96569.0,1037556.0,1037556.0
2002-11-01,94963.0,806768.0,806768.0,253.0,2743.0,2743.0,102236.0,1118052.0,1118052.0
2002-12-01,84748.0,705572.0,705572.0,73.0,829.0,829.0,125386.0,1401552.0,1401552.0
2003-01-01,65809.0,574160.0,574160.0,41.0,452.0,452.0,157757.0,1794968.0,1794968.0
2003-02-01,73869.0,650780.0,650780.0,161.0,1754.5,1754.5,93595.0,1075341.0,1075341.0
2003-03-01,85602.0,756840.0,756840.0,237.0,2589.5,2589.5,108762.0,1254054.0,1254054.0
2003-04-01,47799.0,425960.0,425960.0,67.5,745.5,745.5,81865.0,951412.0,951412.0
2003-05-01,38128.0,398360.0,398360.0,350.5,4527.0,4527.0,108084.0,1472698.0,1472698.0
2003-06-01,67484.0,599100.0,599100.0,38.5,420.5,420.5,141961.0,1643571.0,1643571.0
2003-07-01,79184.0,694380.0,694380.0,48.0,529.0,529.0,142388.0,1628362.0,1628362.0
2003-08-01,73059.0,651660.0,651660.0,184.0,2027.0,2027.0,130809.0,1521616.0,1521616.0
2003-09-01,28368.0,251780.0,251780.0,102.0,1116.5,1116.5,117171.0,1356232.0,1356232.0
2003-10-01,30691.0,331920.0,331920.0,305.0,3106.0,3106.0,156409.0,1615402.0,1615402.0
2003-11-01,30819.0,345880.0,345880.0,83.0,844.0,844.0,171768.0,1773502.0,1773502.0
2003-12-01,32073.0,365000.0,365000.0,32.5,330.5,330.5,189675.0,1953497.0,1953497.0
2004-01-01,45736.0,517440.0,517440.0,44.0,455.5,455.5,166467.0,1751488.0,1751488.0
2004-02-01,41582.0,434435.0,434435.0,83.0,861.5,861.5,167242.0,1747278.0,1747278.0
2004-03-01,35302.0,372973.0,372973.0,43.0,449.5,449.5,184071.0,1944766.0,1944766.0
2004-04-01,35886.0,376371.0,376371.0,68.5,710.5,710.5,173658.0,1821331.0,1821331.0
2004-05-01,18973.0,200964.0,200964.0,340.5,3567.0,3567.0,137499.0,1456400.0,1456400.0
2004-06-01,23504.0,248677.0,248677.0,377.5,4251.5,4251.5,152634.0,1614902.0,1614902.0
2004-07-01,32020.0,344394.0,344394.0,69.0,729.0,729.0,190070.0,1990526.0,1990526.0
2004-08-01,27785.0,290690.0,290690.0,135.5,1426.0,1426.0,178153.0,1873115.0,1873115.0
2004-09-01,27623.0,291255.0,291255.0,76.5,811.5,811.5,179466.0,1892272.0,1892272.0
2004-10-01,35301.0,369928.0,369928.0,174.0,1821.5,1821.5,190521.0,1996522.0,1996522.0
2004-11-01,33183.0,348836.0,348836.0,329.0,3460.5,3460.5,178537.0,1876879.0,1876879.0
2004-12-01,35827.0,377459.0,377459.0,382.5,4030.5,4030.5,162803.0,1715241.0,1715241.0
2005-01-01,70727.0,584302.9,584302.9,362.0,3997.495,3997.495,129897.0,1488830.11,1488830.11
2005-02-01,41239.0,329536.8,329536.8,122.5,1320.06,1320.06,152615.0,1691956.23,1691956.23
2005-03-01,53708.0,432979.46,432979.46,199.5,2166.78,2166.78,169007.0,1890270.54,1890270.54
2005-04-01,31644.0,254189.75,254189.75,84.0,887.88,887.88,123236.0,1373407.55,1373407.55
2005-05-01,28405.0,226351.43,226351.43,396.5,4130.555,4130.555,122504.0,1354324.21,1354324.21
2005-06-01,30334.0,318802.26,318802.26,336.5,3571.89,3571.89,132725.0,1366375.02,1366375.02
2005-07-01,40988.0,427155.3,427155.3,177.5,1872.635,1872.635,167718.0,1726031.82,1726031.82
