measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,11256.158,140291.0,140291.0,,,,2489.895,25728.09,25728.09,,,,,,
2001-02-01,9749.663,121515.0,121515.0,,,,2156.654,22284.71,22284.71,,,,,,
2001-03-01,10593.852,132036.0,132036.0,,,,2343.391,24214.26,24214.26,,,,,,
2001-04-01,8999.73,112168.0,112168.0,,,,1990.767,20570.6,20570.6,,,,,,
2001-05-01,10135.959,126329.0,126329.0,,,,2242.1040000000003,23167.66,23167.66,,,,,,
2001-06-01,10725.527,133677.0,133677.0,,,,2372.518,24515.23,24515.23,,,,,,
2001-07-01,11137.768,138815.0,138815.0,,,,2463.7070000000003,25457.48,25457.48,,,,,,
2001-08-01,11448.872,142693.0,142693.0,,,,2532.5240000000003,26168.57,26168.57,,,,,,
2001-09-01,7971.002,99346.0,99346.0,,,,1763.209,18219.24,18219.24,,,,,,
2001-10-01,9023.291000000001,112462.0,112462.0,,,,1995.979,20624.45,20624.45,,,,,,
2001-11-01,8698.76,108417.0,108417.0,,,,1924.191,19882.67,19882.67,,,,,,
2001-12-01,9733.415,121312.0,121312.0,,,,2153.06,22247.57,22247.57,,,,,,
2002-01-01,8027.526000000001,105946.0,105946.0,,,,2840.219,28893.55,28893.55,,,,,,
2002-02-01,7238.692,95535.0,95535.0,,,,2561.1220000000003,26054.29,26054.29,,,,,,
2002-03-01,8251.324,108900.0,108900.0,,,,2919.4010000000003,29699.07,29699.07,,,,,,
2002-04-01,7953.939,104975.0,104975.0,,,,2814.183,28628.68,28628.68,,,,,,
2002-05-01,7384.881,97464.0,97464.0,,,,2612.844,26580.46,26580.46,,,,,,
2002-06-01,8850.699,116810.0,116810.0,,,,3131.465,31856.39,31856.39,,,,,,
2002-07-01,10179.746,134350.0,134350.0,,,,3601.6960000000004,36640.05,36640.05,,,,,,
2002-08-01,9996.867,131937.0,131937.0,,,,3536.991,35981.81,35981.81,,,,,,
2002-09-01,8959.306,118243.0,118243.0,,,,3169.8920000000003,32247.31,32247.31,,,,,,
2002-10-01,8618.468,113745.0,113745.0,,,,3049.3,31020.53,31020.53,,,,,,
2002-11-01,8800.044,116141.0,116141.0,,,,3113.543,31674.07,31674.07,,,,,,
2002-12-01,9059.508,119566.0,119566.0,,,,3205.344,32607.96,32607.96,,,,,,
2003-01-01,12391.989,180717.0,180717.0,,,,,,,,,,,,
2003-02-01,10530.3,153567.0,153567.0,,,,,,,,,,,,
2003-03-01,11636.025,169693.0,169693.0,,,,,,,,,,,,
2003-04-01,10092.305,147180.0,147180.0,,,,,,,,,,,,
2003-05-01,9081.591,132440.0,132440.0,,,,,,,,,,,,
2003-06-01,10860.302,158380.0,158380.0,,,,,,,,,,,,
2003-07-01,13130.872,191492.0,191492.0,,,,,,,,,,,,
2003-08-01,12382.703,180582.0,180582.0,,,,,,,,,,,,
2003-09-01,11507.781,167822.0,167822.0,,,,,,,,,,,,
2003-10-01,11253.539,164115.0,164115.0,,,,,,,,,,,,
2003-11-01,10726.118,156423.0,156423.0,,,,,,,,,,,,
2003-12-01,12120.474,176757.0,176757.0,,,,,,,,,,,,
2004-01-01,14998.741,221939.0,221939.0,37.153,689.0,689.0,,,,,,,,,
2004-02-01,13061.229,193269.0,193269.0,2504.14,46422.0,46422.0,,,,,,,,,
2004-03-01,11686.561,172928.0,172928.0,29.723000000000003,551.0,551.0,,,,,,,,,
2004-04-01,9661.361,142961.0,142961.0,22.292,413.0,413.0,,,,,,,,,
2004-05-01,11197.789,165696.0,165696.0,126.322,2342.0,2342.0,,,,,,,,,
2004-06-01,12453.398000000001,184275.0,184275.0,705.915,13086.0,13086.0,,,,,,,,,
2004-07-01,13138.507,194413.0,194413.0,0.0,0.0,0.0,,,,,,,,,
2004-08-01,13977.523000000001,206828.0,206828.0,319.519,5923.0,5923.0,,,,,,,,,
2004-09-01,12663.039,187377.0,187377.0,260.074,4821.0,4821.0,,,,,,,,,
2004-10-01,12982.413,192103.0,192103.0,14.861,276.0,276.0,,,,,,,,,
2004-11-01,13798.374,204177.0,204177.0,0.0,0.0,0.0,,,,,,,,,
2004-12-01,14295.067,211527.0,211527.0,0.0,0.0,0.0,,,,,,,,,
2005-01-01,13151.443,190186.65,190186.65,913.545,10022.41,10022.41,2278.886,22786.59,22786.59,,,,,,
2005-02-01,11450.515,165589.07,165589.07,313.865,3443.38,3443.38,1970.3190000000002,19701.22,19701.22,,,,,,
2005-03-01,11879.877,171798.2,171798.2,347.88,3816.56,3816.56,2158.402,21581.86,21581.86,,,,,,
2005-04-01,10587.308,153105.98,153105.98,421.382,4622.94,4622.94,2061.716,20615.09,20615.09,,,,,,
2005-05-01,11622.735,168079.59,168079.59,391.356,4293.53,4293.53,1865.005,18648.18,18648.18,,,,,,
2005-06-01,12945.317,187205.81,187205.81,507.942,5572.58,5572.58,2100.752,21005.42,21005.42,,,,,,
2005-07-01,13684.57,197896.34,197896.34,517.023,5672.2,5672.2,2254.897,22546.72,22546.72,,,,,,
2005-08-01,13836.823,200098.13,200098.13,607.3770000000001,6663.47,6663.47,1907.925,19077.35,19077.35,,,,,,
2005-09-01,12680.295,183373.24,183373.24,397.595,4361.97,4361.97,1578.703,15785.45,15785.45,,,,,,
2005-10-01,11974.164,173161.69,173161.69,441.535,4844.03,4844.03,1347.3970000000002,13472.63,13472.63,,,,,,
2005-11-01,11674.255000000001,168824.63,168824.63,354.956,3894.18,3894.18,1441.9830000000002,14418.39,14418.39,,,,,,
2005-12-01,13037.698,188541.74,188541.74,750.545,8234.15,8234.15,1765.0140000000001,17648.38,17648.38,,,,,,
2006-01-01,12754.262,188970.0,188970.0,300.15700000000004,6819.0,6819.0,2023.948,20076.0,20076.0,,,,,,
2006-02-01,12147.035,179973.0,179973.0,157.06300000000002,3568.0,3568.0,1825.0030000000002,18102.0,18102.0,,,,,,
2006-03-01,12412.022,183899.0,183899.0,131.934,2997.0,2997.0,1607.854,15948.0,15948.0,,,,,,
2006-04-01,10559.867,156457.0,156457.0,252.725,5742.0,5742.0,1750.096,17359.0,17359.0,,,,,,
2006-05-01,11285.117,167203.0,167203.0,236.235,5367.0,5367.0,2069.196,20524.0,20524.0,,,,,,
