measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-01-01,21.803,244.0,244.0,0.0,0.0,0.0,,,
2007-02-01,46.773,522.0,522.0,0.0,0.0,0.0,,,
2007-03-01,7.618,87.0,87.0,0.0,0.0,0.0,,,
2007-04-01,5.4030000000000005,58.0,58.0,0.0,0.0,0.0,,,
2007-05-01,6.665,75.0,75.0,0.0,0.0,0.0,,,
2007-06-01,7.111000000000001,81.0,81.0,0.0,0.0,0.0,,,
2007-07-01,5.631,64.0,64.0,0.0,0.0,0.0,,,
2007-08-01,0.499,6.0,6.0,0.0,0.0,0.0,,,
2007-09-01,1.81,17.0,17.0,0.0,0.0,0.0,,,
2007-10-01,1.588,17.0,17.0,0.0,0.0,0.0,,,
2007-11-01,6.173,70.0,70.0,0.0,0.0,0.0,,,
2007-12-01,9.926,110.0,110.0,0.0,0.0,0.0,,,
2008-01-01,12.611,139.0,139.0,0.0,0.0,0.0,,,
2008-02-01,16.119,180.0,180.0,0.0,0.0,0.0,,,
2008-03-01,6.3740000000000006,70.0,70.0,0.0,0.0,0.0,,,
2008-04-01,7.136,81.0,81.0,0.0,0.0,0.0,,,
2008-05-01,2.948,35.0,35.0,0.0,0.0,0.0,,,
2008-06-01,2.923,35.0,35.0,0.0,0.0,0.0,,,
2008-07-01,1.3860000000000001,17.0,17.0,0.0,0.0,0.0,,,
2008-08-01,1.689,17.0,17.0,0.0,0.0,0.0,,,
2008-09-01,2.456,29.0,29.0,0.0,0.0,0.0,,,
2008-10-01,1.897,23.0,23.0,0.0,0.0,0.0,,,
2008-11-01,6.348,70.0,70.0,0.0,0.0,0.0,,,
2008-12-01,16.113,180.0,180.0,0.0,0.0,0.0,,,
2009-01-01,22.899,273.0,273.0,0.0,0.0,0.0,,,
2009-02-01,3.915,46.0,46.0,0.0,0.0,0.0,,,
2009-03-01,2.313,23.0,23.0,0.0,0.0,0.0,,,
2009-04-01,3.2880000000000003,35.0,35.0,0.0,0.0,0.0,,,
2009-05-01,2.302,23.0,23.0,0.0,0.0,0.0,,,
2009-06-01,2.244,23.0,23.0,0.0,0.0,0.0,,,
2009-07-01,1.746,17.0,17.0,0.0,0.0,0.0,,,
2009-08-01,2.201,23.0,23.0,0.0,0.0,0.0,,,
2009-09-01,1.756,17.0,17.0,0.0,0.0,0.0,13613.0,132863.0,132863.0
2009-10-01,2.581,29.0,29.0,0.0,0.0,0.0,12351.0,120546.0,120546.0
2009-11-01,1.27,12.0,12.0,0.0,0.0,0.0,16206.0,158171.0,158171.0
2009-12-01,3.485,41.0,41.0,0.0,0.0,0.0,13909.0,135752.0,135752.0
2010-01-01,12.742,133.0,133.0,0.0,0.0,0.0,,,
2010-02-01,8.086,81.0,81.0,0.0,0.0,0.0,,,
2010-03-01,2.14,23.0,23.0,0.0,0.0,0.0,,,
2010-04-01,5.6850000000000005,58.0,58.0,0.0,0.0,0.0,,,
2010-05-01,8.454,87.0,87.0,0.0,0.0,0.0,,,
2010-06-01,4.7170000000000005,46.0,46.0,0.0,0.0,0.0,,,
2010-07-01,4.952,52.0,52.0,0.0,0.0,0.0,,,
2010-08-01,6.243,64.0,64.0,0.0,0.0,0.0,,,
2010-09-01,6.365,64.0,64.0,0.0,0.0,0.0,,,
2010-10-01,9.479000000000001,99.0,99.0,0.0,0.0,0.0,,,
2010-11-01,4.331,46.0,46.0,0.0,0.0,0.0,,,
2010-12-01,4.806,52.0,52.0,0.0,0.0,0.0,,,
2011-01-01,1.806,23.0,23.0,0.0,0.0,0.0,,,
2011-02-01,1.99,23.0,23.0,0.0,0.0,0.0,,,
2011-03-01,3.204,35.0,35.0,0.0,0.0,0.0,,,
2011-04-01,3.188,35.0,35.0,0.0,0.0,0.0,,,
2011-05-01,1.506,17.0,17.0,0.0,0.0,0.0,,,
2011-06-01,1.011,12.0,12.0,0.0,0.0,0.0,,,
2011-07-01,2.437,29.0,29.0,0.0,0.0,0.0,,,
2011-08-01,1.279,17.0,17.0,0.0,0.0,0.0,,,
2011-09-01,1.634,17.0,17.0,0.0,0.0,0.0,,,
2011-10-01,0.509,6.0,6.0,0.0,0.0,0.0,,,
2011-11-01,2.798,35.0,35.0,0.0,0.0,0.0,,,
2011-12-01,17.638,209.0,209.0,0.0,0.0,0.0,,,
2012-01-01,0.212,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,2.101,23.0,23.0,0.0,0.0,0.0,,,
2012-03-01,0.499,6.0,6.0,0.0,0.0,0.0,,,
2012-04-01,0.524,6.0,6.0,0.0,0.0,0.0,,,
2012-05-01,6.641,75.0,75.0,0.0,0.0,0.0,,,
2012-06-01,3.412,41.0,41.0,0.0,0.0,0.0,,,
2012-07-01,8.299,99.0,99.0,0.0,0.0,0.0,,,
2012-08-01,0.804,12.0,12.0,0.0,0.0,0.0,,,
2012-09-01,0.562,6.0,6.0,0.0,0.0,0.0,,,
2012-10-01,1.775,23.0,23.0,0.0,0.0,0.0,,,
2012-11-01,0.737,6.0,6.0,0.0,0.0,0.0,,,
2012-12-01,0.434,6.0,6.0,0.0,0.0,0.0,,,
2013-01-01,2.791,17.0,17.0,0.0,0.0,0.0,,,
2013-02-01,0.281,6.0,6.0,0.0,0.0,0.0,,,
2013-03-01,0.746,12.0,12.0,0.0,0.0,0.0,,,
2013-04-01,0.804,12.0,12.0,0.0,0.0,0.0,,,
2013-05-01,2.793,35.0,35.0,0.0,0.0,0.0,,,
2013-06-01,2.121,23.0,23.0,0.0,0.0,0.0,,,
2013-07-01,2.435,29.0,29.0,0.0,0.0,0.0,,,
2013-08-01,0.758,12.0,12.0,0.0,0.0,0.0,,,
2013-09-01,6.08,75.0,75.0,0.0,0.0,0.0,,,
2013-10-01,3.751,46.0,46.0,0.0,0.0,0.0,,,
2013-11-01,2.819,35.0,35.0,0.0,0.0,0.0,,,
2013-12-01,7.621,93.0,93.0,0.0,0.0,0.0,,,
2014-01-01,13.537,174.0,174.0,0.0,0.0,0.0,,,
2014-02-01,7.609,93.0,93.0,0.0,0.0,0.0,,,
2014-03-01,14.529,180.0,180.0,0.0,0.0,0.0,,,
2014-04-01,2.055,25.0,25.0,0.0,0.0,0.0,,,
2014-05-01,1.969,25.0,25.0,0.0,0.0,0.0,,,
2014-06-01,2.326,31.0,31.0,0.0,0.0,0.0,,,
2014-07-01,1.856,25.0,25.0,0.0,0.0,0.0,,,
2014-08-01,0.929,12.0,12.0,0.0,0.0,0.0,,,
2014-09-01,0.57,6.0,6.0,0.0,0.0,0.0,,,
2014-10-01,1.574,19.0,19.0,0.0,0.0,0.0,,,
2014-11-01,1.081,12.0,12.0,0.0,0.0,0.0,,,
2014-12-01,1.965,25.0,25.0,0.0,0.0,0.0,,,
2015-01-01,1.311,12.0,12.0,0.0,0.0,0.0,,,
