measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2005-01-01,17.919,175.6,175.6,0.0,0.0,0.0
2005-02-01,6.156000000000001,60.33,60.33,0.0,0.0,0.0
2005-03-01,6.823,66.87,66.87,0.0,0.0,0.0
2005-04-01,8.265,81.0,81.0,0.0,0.0,0.0
2005-05-01,7.676,75.23,75.23,0.0,0.0,0.0
2005-06-01,9.963000000000001,97.64,97.64,0.0,0.0,0.0
2005-07-01,10.141,99.38,99.38,0.0,0.0,0.0
2005-08-01,11.913,116.75,116.75,0.0,0.0,0.0
2005-09-01,7.799,76.43,76.43,0.0,0.0,0.0
2005-10-01,8.66,84.87,84.87,0.0,0.0,0.0
2005-11-01,6.962000000000001,68.23,68.23,0.0,0.0,0.0
2005-12-01,14.721,144.27,144.27,0.0,0.0,0.0
2006-01-01,10.93,108.0,108.0,0.0,0.0,0.0
2006-02-01,5.719,57.0,57.0,0.0,0.0,0.0
2006-03-01,4.804,48.0,48.0,0.0,0.0,0.0
2006-04-01,9.203000000000001,91.0,91.0,0.0,0.0,0.0
2006-05-01,8.602,85.0,85.0,0.0,0.0,0.0
2006-06-01,7.819,78.0,78.0,0.0,0.0,0.0
2006-07-01,11.326,112.0,112.0,0.0,0.0,0.0
2006-08-01,10.986,109.0,109.0,0.0,0.0,0.0
2006-09-01,5.047000000000001,50.0,50.0,0.0,0.0,0.0
2006-10-01,5.331,53.0,53.0,0.0,0.0,0.0
2006-11-01,6.2780000000000005,62.0,62.0,0.0,0.0,0.0
2006-12-01,6.956,69.0,69.0,0.0,0.0,0.0
2007-01-01,36.038000000000004,353.0,353.0,0.0,0.0,0.0
2007-02-01,77.311,759.0,759.0,0.0,0.0,0.0
2007-03-01,12.592,123.0,123.0,0.0,0.0,0.0
2007-04-01,8.931000000000001,88.0,88.0,0.0,0.0,0.0
2007-05-01,11.016,106.0,106.0,0.0,0.0,0.0
2007-06-01,11.754000000000001,118.0,118.0,0.0,0.0,0.0
2007-07-01,9.307,94.0,94.0,0.0,0.0,0.0
2007-08-01,0.8240000000000001,6.0,6.0,0.0,0.0,0.0
2007-09-01,2.992,29.0,29.0,0.0,0.0,0.0
2007-10-01,2.6260000000000003,24.0,24.0,0.0,0.0,0.0
2007-11-01,10.203000000000001,100.0,100.0,0.0,0.0,0.0
