measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,821.0,12388.0,12388.0,5156.0,69731.0,69731.0,0.0,0.0,0.0
2003-02-01,,,,-111.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,32.0,880.0,880.0,-107.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,-99.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,453.0,7312.0,7312.0,-94.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,-111.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,,,,-116.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,-114.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,-107.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,39.0,945.0,945.0,-113.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,21.0,510.0,510.0,-103.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,-4.0,0.0,0.0,-115.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,5.007000000000001,603.0,603.0,-5.942,1090.0,1090.0,0.0,0.0,0.0
2004-02-01,1.788,215.0,215.0,-6.434,1181.0,1181.0,0.0,0.0,0.0
2004-03-01,1.4340000000000002,173.0,173.0,-3.681,675.0,675.0,0.0,0.0,0.0
2004-04-01,2.557,308.0,308.0,-11.59,2127.0,2127.0,0.0,0.0,0.0
2004-05-01,9.454,1138.0,1138.0,-9.12,1673.0,1673.0,0.0,0.0,0.0
2004-06-01,5.777,696.0,696.0,-11.513,2112.0,2112.0,0.0,0.0,0.0
2004-07-01,4.1770000000000005,503.0,503.0,-13.635,2502.0,2502.0,0.0,0.0,0.0
2004-08-01,6.533,787.0,787.0,-7.682,1409.0,1409.0,0.0,0.0,0.0
2004-09-01,6.024,725.0,725.0,-7.82,1435.0,1435.0,0.0,0.0,0.0
2004-10-01,5.171,623.0,623.0,-13.463000000000001,2470.0,2470.0,0.0,0.0,0.0
2004-11-01,1.481,178.0,178.0,-4.437,814.0,814.0,0.0,0.0,0.0
2004-12-01,3.597,433.0,433.0,-5.682,1043.0,1043.0,0.0,0.0,0.0
2005-01-01,6.357,355.85,355.85,585.006,8788.25,8788.25,,,
2005-02-01,5.277,295.4,295.4,485.639,7295.51,7295.51,,,
2005-03-01,6.5360000000000005,365.83,365.83,601.424,9034.89,9034.89,,,
2005-04-01,6.44,360.46,360.46,592.589,8902.16,8902.16,,,
2005-05-01,7.591,424.92,424.92,698.566,10494.21,10494.21,,,
2005-06-01,9.581000000000001,536.26,536.26,881.61,13243.98,13243.98,,,
2005-07-01,12.007000000000001,672.1,672.1,1104.921,16598.67,16598.67,,,
2005-08-01,12.438,696.22,696.22,1144.578,17194.42,17194.42,,,
2005-09-01,9.465,529.78,529.78,870.952,13083.88,13083.88,,,
2005-10-01,7.561,423.23,423.23,695.785,10452.42,10452.42,,,
2005-11-01,6.4510000000000005,361.08,361.08,593.619,8917.65,8917.65,,,
2005-12-01,6.295,352.38,352.38,579.312,8702.71,8702.71,,,
2006-01-01,3.137,200.0,200.0,64.694,1801.0,1801.0,,,
2006-02-01,3.722,237.0,237.0,76.754,2137.0,2137.0,,,
2006-03-01,4.245,270.0,270.0,87.545,2438.0,2438.0,,,
2006-04-01,4.7490000000000006,302.0,302.0,97.921,2727.0,2727.0,,,
2006-05-01,5.5,350.0,350.0,113.417,3158.0,3158.0,,,
2006-06-01,7.008,446.0,446.0,144.523,4024.0,4024.0,,,
2006-07-01,8.811,561.0,561.0,181.698,5059.0,5059.0,,,
2006-08-01,8.922,568.0,568.0,183.989,5123.0,5123.0,,,
2006-09-01,6.071000000000001,386.0,386.0,125.18700000000001,3486.0,3486.0,,,
2006-10-01,5.497,350.0,350.0,113.345,3156.0,3156.0,,,
2006-11-01,4.082,260.0,260.0,84.177,2344.0,2344.0,,,
2006-12-01,4.255,271.0,271.0,87.75200000000001,2443.0,2443.0,,,
2007-01-01,29.316000000000003,595.0,595.0,-101.0,0.0,0.0,,,
2007-02-01,50.682,1029.0,1029.0,-95.0,0.0,0.0,,,
2007-03-01,35.339,717.0,717.0,-94.0,0.0,0.0,,,
2007-04-01,40.823,829.0,829.0,1530.0,23264.0,23264.0,,,
2007-05-01,52.507000000000005,1066.0,1066.0,-97.0,0.0,0.0,,,
2007-06-01,56.779,1153.0,1153.0,-93.0,0.0,0.0,,,
2007-07-01,61.089000000000006,1240.0,1240.0,-98.0,0.0,0.0,,,
2007-08-01,107.031,2173.0,2173.0,23886.0,289166.0,289166.0,,,
2007-09-01,74.858,1520.0,1520.0,-99.0,0.0,0.0,,,
2007-10-01,52.03,1057.0,1057.0,-91.0,0.0,0.0,,,
2007-11-01,23.287000000000003,472.0,472.0,-95.0,0.0,0.0,,,
2007-12-01,34.258,696.0,696.0,-107.0,0.0,0.0,,,
2008-01-01,117.982,2042.0,2042.0,-135.0,0.0,0.0,,,
2008-02-01,68.05,1178.0,1178.0,-58.0,1300.0,1300.0,,,
2008-03-01,64.289,1113.0,1113.0,-109.0,0.0,0.0,,,
2008-04-01,54.813,949.0,949.0,-92.0,0.0,0.0,,,
2008-05-01,61.878,1071.0,1071.0,-100.0,0.0,0.0,,,
2008-06-01,117.31200000000001,2031.0,2031.0,-118.0,0.0,0.0,,,
2008-07-01,123.915,2145.0,2145.0,954.0,15683.0,15683.0,,,
2008-08-01,107.848,1867.0,1867.0,2698.0,41113.0,41113.0,,,
2008-09-01,74.48100000000001,1289.0,1289.0,-101.0,0.0,0.0,,,
2008-10-01,80.483,1393.0,1393.0,-99.0,111.0,111.0,,,
2008-11-01,71.70100000000001,1241.0,1241.0,-101.0,0.0,0.0,,,
2008-12-01,64.248,1112.0,1112.0,-115.0,0.0,0.0,,,
2009-01-01,10.043000000000001,406.0,406.0,-119.0,0.0,0.0,,,
2009-02-01,8.809000000000001,357.0,357.0,-102.0,0.0,0.0,,,
2009-03-01,9.465,384.0,384.0,-97.0,0.0,0.0,,,
2009-04-01,9.192,372.0,372.0,-80.0,0.0,0.0,,,
2009-05-01,8.896,360.0,360.0,-103.0,0.0,0.0,,,
2009-06-01,14.388,583.0,583.0,-106.0,0.0,0.0,,,
2009-07-01,12.078000000000001,489.0,489.0,-109.0,0.0,0.0,,,
2009-08-01,13.688,555.0,555.0,-110.0,0.0,0.0,,,
2009-09-01,13.548,549.0,549.0,-99.0,0.0,0.0,,,
2009-10-01,7.86,318.0,318.0,-92.0,0.0,0.0,,,
2009-11-01,7.974,323.0,323.0,-95.0,0.0,0.0,,,
2009-12-01,11.059000000000001,448.0,448.0,-118.0,0.0,0.0,,,
2010-01-01,32.2,814.0,814.0,-119.0,0.0,0.0,,,
2010-02-01,29.177000000000003,738.0,738.0,-104.0,0.0,0.0,,,
2010-03-01,26.119,661.0,661.0,-108.0,0.0,0.0,,,
2010-04-01,22.696,574.0,574.0,-110.0,0.0,0.0,,,
2010-05-01,31.096,787.0,787.0,-110.0,0.0,0.0,,,
2010-06-01,39.407000000000004,997.0,997.0,-115.0,0.0,0.0,,,
2010-07-01,47.225,1194.0,1194.0,-114.0,0.0,0.0,,,
2010-08-01,51.211000000000006,1295.0,1295.0,3801.0,35955.0,35955.0,,,
2010-09-01,32.497,822.0,822.0,-96.0,0.0,0.0,,,
2010-10-01,23.106,584.0,584.0,-109.0,0.0,0.0,,,
2010-11-01,24.046000000000003,608.0,608.0,-115.0,0.0,0.0,,,
2010-12-01,34.22,865.0,865.0,2880.0,40632.0,40632.0,,,
2011-01-01,8.236,395.0,395.0,3812.0,50966.0,50966.0,,,
2011-02-01,5.906,283.0,283.0,-111.0,226.0,226.0,,,
2011-03-01,5.057,242.0,242.0,-117.0,0.0,0.0,,,
2011-04-01,5.048,242.0,242.0,-114.0,0.0,0.0,,,
2011-05-01,7.593,364.0,364.0,-116.0,0.0,0.0,,,
2011-06-01,9.909,475.0,475.0,-101.0,0.0,0.0,,,
2011-07-01,11.412,548.0,548.0,-99.0,0.0,0.0,,,
2011-08-01,11.955,573.0,573.0,6197.0,88060.0,88060.0,,,
2011-09-01,7.302,350.0,350.0,-91.0,0.0,0.0,,,
2011-10-01,6.992,336.0,336.0,-95.0,0.0,0.0,,,
2011-11-01,6.99,335.0,335.0,-98.0,243.0,243.0,,,
2011-12-01,7.6,364.0,364.0,-105.0,0.0,0.0,,,
2012-01-01,123.277,2095.0,2095.0,-106.0,0.0,0.0,,,
2012-02-01,125.379,2131.0,2131.0,-118.0,0.0,0.0,,,
2012-03-01,125.851,2139.0,2139.0,-6.0,4524.0,4524.0,,,
2012-04-01,125.0,2124.0,2124.0,-140.0,0.0,0.0,,,
2012-05-01,155.34,2641.0,2641.0,-126.0,0.0,0.0,,,
2012-06-01,166.364,2828.0,2828.0,-122.0,0.0,0.0,,,
2012-07-01,170.66,2901.0,2901.0,635.0,11485.0,11485.0,,,
2012-08-01,151.775,2580.0,2580.0,-120.0,0.0,0.0,,,
2012-09-01,111.737,1900.0,1900.0,-109.0,0.0,0.0,,,
2012-10-01,102.024,1734.0,1734.0,-111.0,0.0,0.0,,,
2012-11-01,91.193,1550.0,1550.0,-121.0,0.0,0.0,,,
2012-12-01,103.4,1757.0,1757.0,-124.0,0.0,0.0,,,
2013-01-01,101.721,1805.0,1805.0,-125.0,0.0,0.0,,,
2013-02-01,82.567,1466.0,1466.0,-106.0,0.0,0.0,,,
2013-03-01,75.318,1337.0,1337.0,6200.0,91384.0,91384.0,,,
2013-04-01,59.22,1052.0,1052.0,4537.0,69290.0,69290.0,,,
2013-05-01,74.249,1317.0,1317.0,-114.0,0.0,0.0,,,
2013-06-01,105.363,1870.0,1870.0,3871.0,59687.0,59687.0,,,
2013-07-01,104.314,1851.0,1851.0,-119.0,0.0,0.0,,,
2013-08-01,110.7,1965.0,1965.0,-119.0,0.0,0.0,,,
2013-09-01,77.475,1375.0,1375.0,-111.0,0.0,0.0,,,
2013-10-01,77.595,1377.0,1377.0,-110.0,0.0,0.0,,,
2013-11-01,75.776,1345.0,1345.0,-117.0,0.0,0.0,,,
2013-12-01,82.702,1468.0,1468.0,-137.0,0.0,0.0,,,
2014-01-01,309.416,5515.0,5515.0,7394.0,102047.0,102047.0,,,
2014-02-01,221.32,3945.0,3945.0,-124.0,0.0,0.0,,,
2014-03-01,214.118,3817.0,3817.0,-124.0,0.0,0.0,,,
2014-04-01,153.882,2743.0,2743.0,-109.0,0.0,0.0,,,
2014-05-01,271.841,4845.0,4845.0,-109.0,0.0,0.0,,,
2014-06-01,277.989,4955.0,4955.0,-107.0,0.0,0.0,,,
2014-07-01,273.489,4875.0,4875.0,-110.0,0.0,0.0,,,
2014-08-01,323.603,5768.0,5768.0,-109.0,0.0,0.0,,,
2014-09-01,266.237,4746.0,4746.0,-101.0,0.0,0.0,,,
2014-10-01,265.607,4734.0,4734.0,-103.0,0.0,0.0,,,
2014-11-01,222.961,3974.0,3974.0,-112.0,0.0,0.0,,,
2014-12-01,285.537,5090.0,5090.0,-115.0,0.0,0.0,,,
2015-01-01,1007.721,15780.0,15780.0,-123.0,0.0,0.0,,,
2015-02-01,1145.174,17931.0,17931.0,2404.0,30695.0,30695.0,,,
2015-03-01,998.416,15633.0,15633.0,-143.0,181.0,181.0,,,
2015-04-01,758.282,11873.0,11873.0,-121.0,0.0,0.0,,,
2015-05-01,968.362,15162.0,15162.0,-116.0,0.0,0.0,,,
2015-06-01,1173.445,18374.0,18374.0,-118.0,0.0,0.0,,,
2015-07-01,1241.301,19436.0,19436.0,-127.0,0.0,0.0,,,
2015-08-01,1143.619,17907.0,17907.0,-121.0,0.0,0.0,,,
2015-09-01,971.96,15219.0,15219.0,-115.0,239.0,239.0,,,
2015-10-01,809.009,12667.0,12667.0,-115.0,0.0,0.0,,,
2015-11-01,943.108,14767.0,14767.0,-117.0,0.0,0.0,,,
2015-12-01,965.603,15119.0,15119.0,-120.0,0.0,0.0,,,
2016-01-01,1837.606,25199.0,25199.0,0.0,0.0,0.0,,,
2016-02-01,1747.241,23960.0,23960.0,0.0,0.0,0.0,,,
2016-03-01,1560.803,21403.0,21403.0,0.0,0.0,0.0,,,
2016-04-01,1312.462,17997.0,17997.0,0.0,0.0,0.0,,,
2016-05-01,1851.676,25391.0,25391.0,0.0,0.0,0.0,,,
2016-06-01,2033.673,27887.0,27887.0,0.0,0.0,0.0,,,
2016-07-01,2149.896,29481.0,29481.0,0.0,0.0,0.0,,,
2016-08-01,2156.184,29567.0,29567.0,0.0,0.0,0.0,,,
2016-09-01,2004.798,27491.0,27491.0,0.0,0.0,0.0,,,
2016-10-01,1515.748,20785.0,20785.0,0.0,0.0,0.0,,,
2016-11-01,1226.205,16814.0,16814.0,0.0,0.0,0.0,,,
2016-12-01,1588.708,21786.0,21786.0,0.0,0.0,0.0,,,
2017-01-01,269.351,4193.0,4193.0,,,,,,
2017-02-01,213.999,3331.0,3331.0,,,,,,
2017-03-01,326.331,5080.0,5080.0,,,,,,
2017-04-01,266.905,4154.0,4154.0,,,,,,
2017-05-01,315.867,4917.0,4917.0,,,,,,
2017-06-01,300.013,4670.0,4670.0,,,,,,
2017-07-01,384.941,5992.0,5992.0,,,,,,
2017-08-01,351.902,5477.0,5477.0,,,,,,
2017-09-01,267.786,4168.0,4168.0,,,,,,
2017-10-01,249.384,3882.0,3882.0,,,,,,
2017-11-01,268.741,4183.0,4183.0,,,,,,
2017-12-01,329.78,5133.0,5133.0,,,,,,
2018-01-01,523.006,7960.0,7960.0,,,,,,
