measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,20.384,233.0,233.0,170.149,1967.0,1967.0
2003-02-01,17.709,202.0,202.0,147.81900000000002,1709.0,1709.0
2003-03-01,15.873000000000001,181.0,181.0,132.493,1532.0,1532.0
2003-04-01,13.828000000000001,158.0,158.0,115.426,1335.0,1335.0
2003-05-01,15.311,175.0,175.0,127.808,1478.0,1478.0
2003-06-01,15.952,182.0,182.0,133.151,1540.0,1540.0
2003-07-01,21.781000000000002,249.0,249.0,181.809,2102.0,2102.0
2003-08-01,21.335,244.0,244.0,178.089,2059.0,2059.0
2003-09-01,17.828,204.0,204.0,148.814,1721.0,1721.0
2003-10-01,17.074,195.0,195.0,142.518,1648.0,1648.0
2003-11-01,18.788,215.0,215.0,156.825,1813.0,1813.0
2003-12-01,20.139,230.0,230.0,168.101,1944.0,1944.0
2004-01-01,6.145,241.0,241.0,19.093,336.0,336.0
2004-02-01,3.515,138.0,138.0,18.979,334.0,334.0
2004-03-01,2.1630000000000003,85.0,85.0,21.718,382.0,382.0
2004-04-01,1.47,58.0,58.0,21.088,371.0,371.0
2004-05-01,1.494,59.0,59.0,23.419,412.0,412.0
2004-06-01,1.411,55.0,55.0,23.816000000000003,419.0,419.0
2004-07-01,1.609,63.0,63.0,25.113,441.0,441.0
2004-08-01,2.067,81.0,81.0,23.273,409.0,409.0
2004-09-01,2.108,83.0,83.0,21.827,384.0,384.0
2004-10-01,2.072,81.0,81.0,21.739,382.0,382.0
2004-11-01,1.8920000000000001,74.0,74.0,19.808,348.0,348.0
2004-12-01,4.053,159.0,159.0,19.127000000000002,336.0,336.0
2005-01-01,6.585,289.61,289.61,92.107,968.03,968.03
2005-02-01,2.263,99.5,99.5,73.686,774.43,774.43
2005-03-01,2.508,110.29,110.29,102.253,1074.67,1074.67
2005-04-01,3.0380000000000003,133.59,133.59,97.06400000000001,1020.14,1020.14
2005-05-01,2.821,124.07,124.07,92.81700000000001,975.49,975.49
2005-06-01,3.6620000000000004,161.03,161.03,175.211,1841.45,1841.45
2005-07-01,3.7270000000000003,163.9,163.9,230.657,2424.19,2424.19
2005-08-01,4.378,192.55,192.55,229.135,2408.19,2408.19
2005-09-01,2.866,126.05,126.05,138.726,1458.0,1458.0
2005-10-01,3.1830000000000003,139.97,139.97,98.365,1033.81,1033.81
2005-11-01,2.559,112.52,112.52,86.209,906.05,906.05
2005-12-01,5.41,237.94,237.94,107.769,1132.65,1132.65
2006-01-01,4.348,160.0,160.0,39.764,425.0,425.0
2006-02-01,2.275,84.0,84.0,44.95,481.0,481.0
2006-03-01,1.911,70.0,70.0,59.233000000000004,633.0,633.0
2006-04-01,3.661,135.0,135.0,49.017,524.0,524.0
2006-05-01,3.422,126.0,126.0,64.568,690.0,690.0
2006-06-01,3.111,115.0,115.0,83.171,889.0,889.0
2006-07-01,4.506,166.0,166.0,148.832,1591.0,1591.0
2006-08-01,4.371,161.0,161.0,132.25,1414.0,1414.0
2006-09-01,2.008,74.0,74.0,77.792,832.0,832.0
2006-10-01,2.121,78.0,78.0,84.265,901.0,901.0
2006-11-01,2.498,92.0,92.0,56.65,606.0,606.0
2006-12-01,2.7670000000000003,102.0,102.0,57.507000000000005,615.0,615.0
2007-01-01,23.8,242.0,242.0,109.39800000000001,1117.0,1117.0
2007-02-01,11.0,115.0,115.0,85.296,871.0,871.0
2007-03-01,2.16,23.0,23.0,36.406,372.0,372.0
2007-04-01,1.732,17.0,17.0,19.524,199.0,199.0
2007-05-01,29.733,305.0,305.0,57.016000000000005,582.0,582.0
2007-06-01,22.918000000000003,236.0,236.0,47.196000000000005,482.0,482.0
2007-07-01,2.398,23.0,23.0,162.905,1663.0,1663.0
2007-08-01,15.337000000000002,155.0,155.0,164.538,1680.0,1680.0
2007-09-01,2.056,23.0,23.0,31.692,324.0,324.0
2007-10-01,0.8130000000000001,6.0,6.0,21.993000000000002,225.0,225.0
2007-11-01,11.072000000000001,115.0,115.0,9.983,102.0,102.0
2007-12-01,3.128,35.0,35.0,16.908,173.0,173.0
2008-01-01,7.267,81.0,81.0,23.917,268.0,268.0
2008-02-01,1.201,12.0,12.0,7.332000000000001,82.0,82.0
2008-03-01,4.686,52.0,52.0,18.435000000000002,206.0,206.0
2008-04-01,2.847,35.0,35.0,5.1530000000000005,58.0,58.0
2008-05-01,0.9860000000000001,12.0,12.0,3.9810000000000003,45.0,45.0
2008-06-01,0.42,6.0,6.0,24.88,279.0,279.0
2008-07-01,1.278,12.0,12.0,68.56400000000001,768.0,768.0
2008-08-01,4.562,52.0,52.0,81.90100000000001,917.0,917.0
2008-09-01,8.702,98.0,98.0,11.1,124.0,124.0
2008-10-01,21.994,247.0,247.0,15.516,174.0,174.0
2008-11-01,3.418,40.0,40.0,31.185000000000002,349.0,349.0
2008-12-01,3.226,35.0,35.0,32.449,363.0,363.0
2009-01-01,0.314,6.0,6.0,12.539000000000001,196.0,196.0
2009-02-01,1.087,17.0,17.0,3.943,62.0,62.0
2009-03-01,0.14700000000000002,0.0,0.0,10.129000000000001,159.0,159.0
2009-04-01,0.739,12.0,12.0,11.075,174.0,174.0
2009-05-01,5.684,92.0,92.0,9.144,144.0,144.0
2009-06-01,2.339,35.0,35.0,28.299000000000003,445.0,445.0
2009-07-01,4.022,63.0,63.0,41.484,652.0,652.0
2009-08-01,2.987,46.0,46.0,41.999,660.0,660.0
2009-09-01,3.174,52.0,52.0,11.383000000000001,179.0,179.0
2009-10-01,1.093,17.0,17.0,6.487,102.0,102.0
2009-11-01,1.984,29.0,29.0,3.905,61.0,61.0
2009-12-01,2.052,35.0,35.0,25.991,408.0,408.0
2010-01-01,3.286,40.0,40.0,7.002000000000001,79.0,79.0
2010-02-01,3.859,46.0,46.0,4.2090000000000005,48.0,48.0
2010-03-01,0.52,6.0,6.0,5.151000000000001,58.0,58.0
2010-04-01,0.7090000000000001,6.0,6.0,3.608,41.0,41.0
2010-05-01,4.1930000000000005,46.0,46.0,7.71,87.0,87.0
2010-06-01,2.787,29.0,29.0,23.114,262.0,262.0
2010-07-01,0.28700000000000003,6.0,6.0,39.910000000000004,453.0,453.0
2010-08-01,1.0010000000000001,12.0,12.0,62.325,707.0,707.0
2010-09-01,0.389,6.0,6.0,6.876,78.0,78.0
2010-10-01,2.132,23.0,23.0,5.7490000000000006,65.0,65.0
2010-11-01,6.7780000000000005,75.0,75.0,5.166,59.0,59.0
2010-12-01,1.9440000000000002,23.0,23.0,4.295,49.0,49.0
2011-01-01,3.551,46.0,46.0,4.161,49.0,49.0
2011-02-01,1.113,12.0,12.0,3.742,44.0,44.0
2011-03-01,5.678,69.0,69.0,10.015,119.0,119.0
2011-04-01,3.891,46.0,46.0,4.136,49.0,49.0
2011-05-01,2.094,23.0,23.0,5.266,63.0,63.0
2011-06-01,3.905,46.0,46.0,14.774,176.0,176.0
2011-07-01,2.143,23.0,23.0,63.505,755.0,755.0
2011-08-01,1.104,12.0,12.0,40.449,481.0,481.0
2011-09-01,0.518,6.0,6.0,10.476,125.0,125.0
2011-10-01,1.549,17.0,17.0,3.868,46.0,46.0
2011-11-01,2.236,29.0,29.0,4.049,48.0,48.0
2011-12-01,2.199,29.0,29.0,2.578,31.0,31.0
2012-01-01,3.605,35.0,35.0,4.544,51.0,51.0
2012-02-01,6.651,75.0,75.0,3.612,39.0,39.0
2012-03-01,4.76,52.0,52.0,6.174,67.0,67.0
2012-04-01,14.464,155.0,155.0,17.096,185.0,185.0
2012-05-01,10.311,109.0,109.0,47.188,510.0,510.0
2012-06-01,2.754,29.0,29.0,101.661,1099.0,1099.0
2012-07-01,3.03,35.0,35.0,241.461,2611.0,2611.0
2012-08-01,2.547,29.0,29.0,89.517,968.0,968.0
2012-09-01,3.081,35.0,35.0,17.333,187.0,187.0
2012-10-01,2.462,29.0,29.0,10.177,110.0,110.0
2012-11-01,3.132,35.0,35.0,11.324,122.0,122.0
2012-12-01,1.689,17.0,17.0,3.427,37.0,37.0
2013-01-01,0.877,12.0,12.0,1.142,12.0,12.0
2013-02-01,0.525,6.0,6.0,1.559,16.0,16.0
2013-03-01,1.407,6.0,6.0,2.65,28.0,28.0
2013-04-01,7.058,75.0,75.0,3.35,35.0,35.0
2013-05-01,2.512,29.0,29.0,6.141,65.0,65.0
2013-06-01,0.499,6.0,6.0,10.419,110.0,110.0
2013-07-01,0.423,6.0,6.0,29.516,311.0,311.0
2013-08-01,0.79,6.0,6.0,32.612,343.0,343.0
2013-09-01,0.916,12.0,12.0,14.752,155.0,155.0
2013-10-01,3.014,35.0,35.0,3.805,40.0,40.0
2013-11-01,2.032,23.0,23.0,8.501,90.0,90.0
2013-12-01,1.243,12.0,12.0,6.257,66.0,66.0
2014-01-01,1.693,17.0,17.0,2.721,30.0,30.0
2014-02-01,0.702,6.0,6.0,2.432,26.0,26.0
2014-03-01,4.719,52.0,52.0,4.184,45.0,45.0
2014-04-01,0.97,12.0,12.0,14.96,160.0,160.0
2014-05-01,1.995,23.0,23.0,22.213,238.0,238.0
2014-06-01,0.424,6.0,6.0,8.014,86.0,86.0
2014-07-01,1.904,23.0,23.0,14.803,158.0,158.0
2014-08-01,0.68,6.0,6.0,18.179,194.0,194.0
2014-09-01,0.949,12.0,12.0,5.553,59.0,59.0
2014-10-01,3.37,35.0,35.0,9.294,99.0,99.0
2014-11-01,2.38,23.0,23.0,6.061,65.0,65.0
2014-12-01,1.181,12.0,12.0,7.619,81.0,81.0
2015-01-01,1.16,6.0,6.0,5.778,63.0,63.0
2015-02-01,1.705,17.0,17.0,1.782,19.0,19.0
2015-03-01,2.451,29.0,29.0,4.577,50.0,50.0
2015-04-01,3.543,40.0,40.0,7.159,78.0,78.0
2015-05-01,1.162,12.0,12.0,5.083,55.0,55.0
2015-06-01,2.708,29.0,29.0,18.971,205.0,205.0
2015-07-01,9.135,98.0,98.0,38.083,412.0,412.0
2015-08-01,2.499,29.0,29.0,23.665,256.0,256.0
2015-09-01,0.849,12.0,12.0,12.595,136.0,136.0
2015-10-01,1.344,17.0,17.0,3.097,34.0,34.0
2015-11-01,6.283,69.0,69.0,4.417,48.0,48.0
2015-12-01,2.215,23.0,23.0,3.739,40.0,40.0
2016-01-01,0.117,0.0,0.0,0.358,4.0,4.0
2016-02-01,0.312,6.0,6.0,0.43,5.0,5.0
2016-03-01,0.139,0.0,0.0,0.699,8.0,8.0
2016-04-01,0.541,6.0,6.0,1.818,22.0,22.0
2016-05-01,0.212,0.0,0.0,1.137,14.0,14.0
2016-06-01,0.473,6.0,6.0,5.648,69.0,69.0
2016-07-01,0.768,12.0,12.0,4.168,51.0,51.0
2016-08-01,0.917,12.0,12.0,4.163,51.0,51.0
2016-09-01,0.458,6.0,6.0,1.031,13.0,13.0
2016-10-01,0.391,6.0,6.0,2.013,24.0,24.0
2016-11-01,0.117,0.0,0.0,2.975,36.0,36.0
2016-12-01,0.288,6.0,6.0,0.827,10.0,10.0
2017-01-01,2.691,11.0,11.0,2.197,11.0,11.0
2017-02-01,1.467,6.0,6.0,1.432,7.0,7.0
2017-03-01,1.886,11.0,11.0,2.807,14.0,14.0
2017-04-01,2.288,11.0,11.0,3.082,15.0,15.0
2017-05-01,2.438,11.0,11.0,2.448,12.0,12.0
2017-06-01,1.675,6.0,6.0,4.908,23.0,23.0
2017-07-01,1.317,6.0,6.0,13.332,65.0,65.0
2017-08-01,1.09,6.0,6.0,8.398,41.0,41.0
2017-09-01,1.705,6.0,6.0,4.439,22.0,22.0
2017-10-01,1.98,11.0,11.0,3.316,16.0,16.0
2017-11-01,3.096,17.0,17.0,2.361,12.0,12.0
2017-12-01,3.021,17.0,17.0,2.626,13.0,13.0
2018-01-01,2.475,17.0,17.0,1.816,15.0,15.0
2018-02-01,1.851,17.0,17.0,1.582,13.0,13.0
2018-03-01,2.704,22.0,22.0,2.94,24.0,24.0
2018-04-01,1.923,17.0,17.0,2.333,19.0,19.0
2018-05-01,2.486,22.0,22.0,9.258,75.0,75.0
2018-06-01,3.478,28.0,28.0,7.73,63.0,63.0
2018-07-01,1.483,11.0,11.0,11.08,90.0,90.0
2018-08-01,2.019,17.0,17.0,7.459,60.0,60.0
2018-09-01,2.174,17.0,17.0,2.8,23.0,23.0
2018-10-01,2.339,17.0,17.0,7.949,64.0,64.0
2018-11-01,2.264,17.0,17.0,5.157,42.0,42.0
2018-12-01,2.42,22.0,22.0,2.28,18.0,18.0
2019-01-01,0.004,24.0,24.0,1.103,7016.0,7016.0
2019-02-01,0.004,24.0,24.0,2.992,19027.0,19027.0
2019-03-01,0.005,30.0,30.0,3.038,19318.0,19318.0
2019-04-01,0.003,18.0,18.0,3.931,24999.0,24999.0
2019-05-01,0.005,36.0,36.0,8.543,54325.0,54325.0
2019-06-01,0.004,30.0,30.0,6.343,40338.0,40338.0
2019-07-01,0.003,18.0,18.0,8.43,53610.0,53610.0
2019-08-01,0.003,24.0,24.0,9.935,63176.0,63176.0
2019-09-01,0.004,24.0,24.0,4.893,31115.0,31115.0
2019-10-01,0.004,30.0,30.0,1.587,10091.0,10091.0
2019-11-01,0.004,24.0,24.0,1.581,10056.0,10056.0
2019-12-01,0.004,24.0,24.0,3.577,22744.0,22744.0
2020-01-01,3.454,18.0,18.0,0.0,0.0,0.0
2020-02-01,3.59,12.0,12.0,0.0,0.0,0.0
2020-03-01,3.068,12.0,12.0,0.0,0.0,0.0
2020-04-01,3.479,12.0,12.0,0.0,0.0,0.0
2020-05-01,4.009,12.0,12.0,0.0,0.0,0.0
2020-06-01,4.833,18.0,18.0,0.0,0.0,0.0
2020-07-01,2.466,12.0,12.0,0.0,0.0,0.0
2020-08-01,3.998,12.0,12.0,0.0,0.0,0.0
2020-09-01,3.062,12.0,12.0,0.0,0.0,0.0
2020-10-01,3.82,12.0,12.0,0.0,0.0,0.0
2020-11-01,5.131,18.0,18.0,0.0,0.0,0.0
2020-12-01,4.09,18.0,18.0,0.0,0.0,0.0
2021-01-01,11.734,104.0,104.0,0.194,3.0,3.0
2021-02-01,19.422,180.0,180.0,0.273,2.0,2.0
2021-03-01,15.019,139.0,139.0,0.134,1.0,1.0
2021-04-01,11.718,104.0,104.0,0.191,2.0,2.0
2021-05-01,11.52,104.0,104.0,0.113,1.0,1.0
2021-06-01,13.288,122.0,122.0,0.352,3.0,3.0
2021-07-01,4.768,46.0,46.0,0.411,4.0,4.0
2021-08-01,7.416,70.0,70.0,0.376,3.0,3.0
2021-09-01,10.302,93.0,93.0,0.104,1.0,1.0
2021-10-01,12.968,116.0,116.0,0.132,1.0,1.0
2021-11-01,12.483,116.0,116.0,0.218,2.0,2.0
2021-12-01,18.732,168.0,168.0,0.132,1.0,1.0
2022-01-01,4.093,29.0,29.0,0.123,1.0,1.0
2022-02-01,4.389,29.0,29.0,0.13,1.0,1.0
2022-03-01,3.64,23.0,23.0,0.098,1.0,1.0
2022-04-01,2.432,17.0,17.0,0.121,1.0,1.0
2022-05-01,4.774,29.0,29.0,0.265,2.0,2.0
2022-06-01,3.297,23.0,23.0,0.418,1.0,1.0
2022-07-01,2.377,17.0,17.0,0.921,6.0,6.0
2022-08-01,2.542,17.0,17.0,0.87,6.0,6.0
2022-09-01,3.002,17.0,17.0,0.508,3.0,3.0
2022-10-01,3.573,23.0,23.0,0.261,2.0,2.0
2022-11-01,4.142,29.0,29.0,0.111,1.0,1.0
2022-12-01,4.8,29.0,29.0,0.113,1.0,1.0
2023-01-01,8.606,58.0,58.0,0.109,1.0,1.0
2023-02-01,8.542,70.0,70.0,0.08,1.0,1.0
2023-03-01,7.989,64.0,64.0,0.151,1.0,1.0
2023-04-01,6.435,52.0,52.0,0.145,1.0,1.0
2023-05-01,6.066,46.0,46.0,0.41,3.0,3.0
2023-06-01,4.927,41.0,41.0,0.739,6.0,6.0
2023-07-01,5.034,41.0,41.0,0.688,5.0,5.0
2023-08-01,4.061,35.0,35.0,0.681,5.0,5.0
2023-09-01,6.849,52.0,52.0,0.299,2.0,2.0
2023-10-01,5.18,41.0,41.0,0.194,2.0,2.0
2023-11-01,6.315,52.0,52.0,0.213,2.0,2.0
2023-12-01,8.06,64.0,64.0,0.227,2.0,2.0
2024-01-01,10.215,46.0,46.0,0.316,2.0,2.0
2024-02-01,6.552,35.0,35.0,0.218,1.0,1.0
2024-03-01,5.2,23.0,23.0,0.216,1.0,1.0
2024-04-01,4.178,23.0,23.0,0.419,2.0,2.0
2024-05-01,5.083,23.0,23.0,0.875,4.0,4.0
2024-06-01,3.504,17.0,17.0,0.943,5.0,5.0
2024-07-01,3.451,17.0,17.0,1.672,8.0,8.0
2024-08-01,4.184,23.0,23.0,1.77,9.0,9.0
2024-09-01,3.138,17.0,17.0,0.604,3.0,3.0
2024-10-01,4.745,23.0,23.0,0.454,2.0,2.0
2024-11-01,4.618,23.0,23.0,0.131,1.0,1.0
2024-12-01,4.327,23.0,23.0,0.187,1.0,1.0
