measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,6.5120000000000005,79.0,79.0
2003-02-01,0.0,0.0,0.0,5.657,68.0,68.0
2003-03-01,0.0,0.0,0.0,5.07,61.0,61.0
2003-04-01,0.0,0.0,0.0,4.417,53.0,53.0
2003-05-01,0.0,0.0,0.0,4.891,59.0,59.0
2003-06-01,0.0,0.0,0.0,5.096,62.0,62.0
2003-07-01,0.0,0.0,0.0,6.958,84.0,84.0
2003-08-01,0.0,0.0,0.0,6.815,82.0,82.0
2003-09-01,0.0,0.0,0.0,5.695,69.0,69.0
2003-10-01,0.0,0.0,0.0,5.454000000000001,66.0,66.0
2003-11-01,0.0,0.0,0.0,6.002000000000001,73.0,73.0
2003-12-01,0.0,0.0,0.0,6.433000000000001,78.0,78.0
2004-01-01,105.235,1720.0,1720.0,0.0,0.0,0.0
2004-02-01,161.16400000000002,2634.0,2634.0,0.0,0.0,0.0
2004-03-01,148.70600000000002,2430.0,2430.0,0.0,0.0,0.0
2004-04-01,200.73100000000002,3280.0,3280.0,0.0,0.0,0.0
2004-05-01,167.56900000000002,2738.0,2738.0,0.0,0.0,0.0
2004-06-01,216.655,3540.0,3540.0,0.0,0.0,0.0
2004-07-01,150.11,2453.0,2453.0,0.0,0.0,0.0
2004-08-01,123.43900000000001,2017.0,2017.0,0.0,0.0,0.0
2004-09-01,165.507,2705.0,2705.0,0.0,0.0,0.0
2004-10-01,162.392,2654.0,2654.0,0.0,0.0,0.0
2004-11-01,132.388,2163.0,2163.0,0.0,0.0,0.0
2004-12-01,105.10300000000001,1718.0,1718.0,0.0,0.0,0.0
2005-01-01,206.99900000000002,3290.94,3290.94,0.0,0.0,0.0
