measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,-104.0,298.0,298.0,1764.0,18227.41,18227.41
2001-02-01,-109.0,216.0,216.0,1568.0,16202.14,16202.14
2001-03-01,-104.0,0.0,0.0,3372.0,34842.88,34842.88
2001-04-01,-37.0,0.0,0.0,3215.0,33220.6,33220.6
2001-05-01,1258.0,24512.0,24512.0,3530.0,36475.49,36475.49
2001-06-01,102.0,2195.0,2195.0,3153.0,32579.95,32579.95
2001-07-01,62.0,2604.0,2604.0,2553.0,26380.15,26380.15
2001-08-01,1016.0,17297.0,17297.0,1530.0,15809.49,15809.49
2001-09-01,-31.0,0.0,0.0,1447.0,14951.85,14951.85
2001-10-01,-45.0,0.0,0.0,1097.0,11335.3,11335.3
2001-11-01,-51.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,-94.0,99.0,99.0,2153.0,22246.95,22246.95
2002-01-01,-104.0,0.0,0.0,2270.0,23092.71,23092.71
2002-02-01,-112.0,0.0,0.0,2589.0,26337.9,26337.9
2002-03-01,-92.0,12.0,12.0,3046.0,30986.96,30986.96
2002-04-01,-56.0,0.0,0.0,3757.0,38219.96,38219.96
2002-05-01,-10.0,238.0,238.0,3556.0,36175.19,36175.19
2002-06-01,215.0,4617.0,4617.0,2641.0,26866.89,26866.89
2002-07-01,96.0,2297.0,2297.0,2431.0,24730.56,24730.56
2002-08-01,411.0,7314.0,7314.0,2155.0,21922.82,21922.82
2002-09-01,410.0,7395.0,7395.0,1650.0,16785.45,16785.45
2002-10-01,-51.0,0.0,0.0,762.0,7751.83,7751.83
2002-11-01,-85.0,0.0,0.0,105.0,1068.17,1068.17
2002-12-01,-95.0,0.0,0.0,42.0,427.27,427.27
2003-01-01,-12.5,0.0,0.0,2253.0,23072.97,23072.97
2003-02-01,-24.0,0.0,0.0,3201.0,32781.44,32781.44
2003-03-01,-38.5,0.0,0.0,3445.0,35280.25,35280.25
2003-04-01,49.5,1282.0,1282.0,3224.0,33016.98,33016.98
2003-05-01,-83.5,0.0,0.0,2509.0,25694.67,25694.67
2003-06-01,-14.0,0.0,0.0,2502.0,25622.98,25622.98
2003-07-01,19.5,545.0,545.0,3255.0,33334.46,33334.46
2003-08-01,628.0,11394.0,11394.0,3076.0,31501.32,31501.32
2003-09-01,-15.0,0.0,0.0,2309.0,23646.47,23646.47
2003-10-01,-26.0,0.0,0.0,962.0,9851.84,9851.84
2003-11-01,-10.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,-53.0,0.0,0.0,1758.0,18003.68,18003.68
2004-01-01,302.44450000000006,7848.0,7848.0,2347.0,23521.63,23521.63
2004-02-01,-0.8275,1.0,1.0,598.0,5993.16,5993.16
2004-03-01,19.301000000000002,745.5,745.5,2865.0,28713.03,28713.03
