measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-02-01,,,,16.0,436.0,436.0
2003-03-01,,,,-8.0,0.0,0.0
2003-04-01,,,,-8.0,0.0,0.0
2003-05-01,,,,-8.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,176.0,4144.0,4144.0
2003-09-01,0.0,0.0,0.0,-10.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,317.0,4480.0,4480.0
2003-11-01,,,,-8.0,0.0,0.0
2003-12-01,,,,-8.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,855.678,20296.0,20296.0
2004-02-01,0.0,0.0,0.0,51.287,1216.0,1216.0
2004-03-01,0.0,0.0,0.0,4.399,104.0,104.0
2004-04-01,0.0,0.0,0.0,7.518000000000001,178.0,178.0
2004-05-01,0.0,0.0,0.0,25.269000000000002,599.0,599.0
2004-06-01,0.0,0.0,0.0,14.366000000000001,341.0,341.0
2004-07-01,0.0,0.0,0.0,5.974,142.0,142.0
2004-08-01,0.0,0.0,0.0,34.207,811.0,811.0
2004-09-01,0.0,0.0,0.0,5.537,131.0,131.0
2004-10-01,0.0,0.0,0.0,1.4040000000000001,33.0,33.0
2004-11-01,0.0,0.0,0.0,1.045,25.0,25.0
2004-12-01,0.0,0.0,0.0,154.31400000000002,3660.0,3660.0
2005-01-01,,,,22.746000000000002,269.2,269.2
2005-02-01,,,,5.236000000000001,61.96,61.96
2005-03-01,,,,4.493,53.17,53.17
2005-04-01,,,,4.495,53.21,53.21
2005-05-01,,,,4.532,53.64,53.64
2005-06-01,,,,5.49,64.98,64.98
2005-07-01,,,,10.398,123.07,123.07
2005-08-01,,,,9.21,109.0,109.0
2005-09-01,,,,5.125,60.65,60.65
2005-10-01,,,,7.185,85.03,85.03
2005-11-01,,,,4.838,57.25,57.25
2005-12-01,,,,13.252,156.84,156.84
2006-01-01,,,,9.744,316.0,316.0
2006-02-01,,,,5.099,166.0,166.0
2006-03-01,,,,4.283,139.0,139.0
2006-04-01,,,,8.205,266.0,266.0
2006-05-01,,,,7.6690000000000005,249.0,249.0
2006-06-01,,,,0.0,0.0,0.0
2006-07-01,,,,0.0,0.0,0.0
2006-08-01,,,,0.0,0.0,0.0
2006-09-01,,,,0.0,0.0,0.0
2006-10-01,,,,0.0,0.0,0.0
2006-11-01,,,,0.0,0.0,0.0
2006-12-01,,,,0.0,0.0,0.0
