measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,4102.0,42008.58,42008.58
2003-02-01,4111.0,42100.75,42100.75
2003-03-01,2897.0,29668.18,29668.18
2003-04-01,3633.0,37205.55,37205.55
2003-05-01,4745.0,48593.55,48593.55
2003-06-01,2189.0,22417.55,22417.55
2003-07-01,4274.0,43770.03,43770.03
2003-08-01,3965.0,40605.57,40605.57
2003-09-01,3470.0,35536.27,35536.27
2003-10-01,3440.0,35229.04,35229.04
2003-11-01,2360.0,24168.76,24168.76
2003-12-01,2464.0,25233.82,25233.82
2004-01-01,3411.0,34185.04,34185.04
2004-02-01,3086.0,30927.89,30927.89
2004-03-01,4164.0,41731.61,41731.61
2004-04-01,440.0,4409.68,4409.68
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,4197.0,42062.33,42062.33
2004-08-01,4359.0,43685.9,43685.9
2004-09-01,3450.0,34575.9,34575.9
2004-10-01,3024.0,30306.53,30306.53
2004-11-01,2183.0,21878.03,21878.03
2004-12-01,917.0,9190.17,9190.17
2005-01-01,1760.0,17598.24,17598.24
2005-02-01,2735.0,27347.27,27347.27
2005-03-01,3623.0,36226.38,36226.38
2005-04-01,3835.0,38346.17,38346.17
2005-05-01,4683.0,46825.32,46825.32
2005-06-01,4508.0,45075.49,45075.49
2005-07-01,3422.0,34216.58,34216.58
2005-08-01,3692.0,36916.31,36916.31
2005-09-01,4568.0,45675.43,45675.43
2005-10-01,3340.0,33396.66,33396.66
2005-11-01,1489.0,14888.51,14888.51
2005-12-01,3758.0,37576.24,37576.24
2006-01-01,3887.0,38555.0,38555.0
2006-02-01,1337.0,13262.0,13262.0
2006-03-01,3654.0,36244.0,36244.0
2006-04-01,4250.0,42156.0,42156.0
2006-05-01,4601.0,45637.0,45637.0
2006-06-01,545.0,5406.0,5406.0
2006-07-01,3302.0,32753.0,32753.0
2006-08-01,4419.0,43832.0,43832.0
2006-09-01,4246.0,42116.0,42116.0
2006-10-01,3630.0,36006.0,36006.0
2006-11-01,2836.0,28130.0,28130.0
2006-12-01,2536.0,25155.0,25155.0
2007-01-01,1279.0,12642.0,12642.0
2007-02-01,2095.0,20707.0,20707.0
2007-03-01,1829.0,18078.0,18078.0
2007-04-01,1463.0,14460.0,14460.0
2007-05-01,946.0,9350.0,9350.0
2007-06-01,1322.0,13067.0,13067.0
2007-07-01,4298.0,42481.0,42481.0
2007-08-01,3783.0,37391.0,37391.0
2007-09-01,3229.0,31915.0,31915.0
2007-10-01,2686.0,26548.0,26548.0
2007-11-01,816.0,8065.0,8065.0
2007-12-01,689.0,6810.0,6810.0
2008-01-01,1695.5030000000002,16707.0,16707.0
2008-02-01,1329.006,13096.0,13096.0
2008-03-01,1559.9540000000002,15372.0,15372.0
2008-04-01,2937.21,28943.0,28943.0
2008-05-01,3494.6150000000002,34436.0,34436.0
2008-06-01,2965.3030000000003,29220.0,29220.0
2008-07-01,3602.601,35500.0,35500.0
2008-08-01,3696.98,36430.0,36430.0
2008-09-01,1850.9530000000002,18239.0,18239.0
2008-10-01,1187.124,11698.0,11698.0
2008-11-01,851.715,8393.0,8393.0
2008-12-01,925.0360000000001,9115.0,9115.0
2009-01-01,1292.846,12618.0,12618.0
2009-02-01,1711.457,16704.0,16704.0
2009-03-01,2703.167,26383.0,26383.0
2009-04-01,3204.185,31273.0,31273.0
2009-05-01,4380.178,42751.0,42751.0
2009-06-01,3964.1290000000004,38690.0,38690.0
2009-07-01,4370.433,42655.0,42655.0
2009-08-01,3566.447,34809.0,34809.0
2009-09-01,2658.0750000000003,25943.0,25943.0
2009-10-01,2110.6040000000003,20599.0,20599.0
2009-11-01,1472.6860000000001,14373.0,14373.0
2009-12-01,1544.7930000000001,15077.0,15077.0
2010-01-01,1293.934,12624.0,12624.0
2010-02-01,1407.6270000000002,13733.0,13733.0
2010-03-01,1974.0010000000002,19258.0,19258.0
2010-04-01,2498.027,24371.0,24371.0
2010-05-01,3815.8720000000003,37228.0,37228.0
2010-06-01,4293.367,41886.0,41886.0
2010-07-01,4040.646,39421.0,39421.0
2010-08-01,3410.243,33270.0,33270.0
2010-09-01,2560.681,24982.0,24982.0
2010-10-01,1914.2610000000002,18676.0,18676.0
2010-11-01,2005.3500000000001,19564.0,19564.0
2010-12-01,3160.991,30839.0,30839.0
2011-01-01,3015.786,29301.0,29301.0
2011-02-01,2200.434,21379.0,21379.0
2011-03-01,3591.884,34899.0,34899.0
2011-04-01,4241.727,41213.0,41213.0
2011-05-01,4711.638,45778.0,45778.0
2011-06-01,4583.327,44532.0,44532.0
2011-07-01,4601.343,44707.0,44707.0
2011-08-01,3724.958,36192.0,36192.0
2011-09-01,2989.192,29043.0,29043.0
2011-10-01,2102.923,20432.0,20432.0
2011-11-01,1832.235,17802.0,17802.0
2011-12-01,1640.553,15940.0,15940.0
2012-01-01,1344.293,12792.0,12792.0
2012-02-01,1115.947,10619.0,10619.0
2012-03-01,1503.431,14307.0,14307.0
2012-04-01,2318.63,22064.0,22064.0
2012-05-01,3488.963,33201.0,33201.0
2012-06-01,3067.714,29192.0,29192.0
2012-07-01,3300.105,31404.0,31404.0
2012-08-01,2991.965,28472.0,28472.0
2012-09-01,2451.572,23329.0,23329.0
2012-10-01,1901.3,18093.0,18093.0
2012-11-01,1530.151,14561.0,14561.0
2012-12-01,1976.929,18812.0,18812.0
2013-01-01,1735.57,16559.0,16559.0
2013-02-01,1539.801,14691.0,14691.0
2013-03-01,1829.815,17458.0,17458.0
2013-04-01,2306.794,22009.0,22009.0
2013-05-01,2771.936,26447.0,26447.0
2013-06-01,2927.001,27927.0,27927.0
2013-07-01,3269.492,31194.0,31194.0
2013-08-01,2689.808,25663.0,25663.0
2013-09-01,1809.57,17265.0,17265.0
2013-10-01,1445.831,13795.0,13795.0
2013-11-01,1061.182,10125.0,10125.0
2013-12-01,948.2,9047.0,9047.0
2014-01-01,170.516,1622.0,1622.0
2014-02-01,152.497,1450.0,1450.0
2014-03-01,199.652,1899.0,1899.0
2014-04-01,297.218,2827.0,2827.0
2014-05-01,433.242,4120.0,4120.0
2014-06-01,463.737,4410.0,4410.0
2014-07-01,484.479,4607.0,4607.0
2014-08-01,396.461,3770.0,3770.0
2014-09-01,261.396,2486.0,2486.0
2014-10-01,210.265,2000.0,2000.0
2014-11-01,173.847,1653.0,1653.0
2014-12-01,205.69,1956.0,1956.0
2015-01-01,1044.913,9738.0,9738.0
2015-02-01,1095.071,10205.0,10205.0
2015-03-01,1100.423,10255.0,10255.0
2015-04-01,1201.677,11198.0,11198.0
2015-05-01,1534.055,14296.0,14296.0
2015-06-01,1885.213,17568.0,17568.0
2015-07-01,2326.798,21683.0,21683.0
2015-08-01,2059.878,19196.0,19196.0
2015-09-01,1676.663,15625.0,15625.0
2015-10-01,1106.108,10308.0,10308.0
2015-11-01,784.922,7315.0,7315.0
2015-12-01,1055.279,9834.0,9834.0
2016-01-01,647.955,5982.0,5982.0
2016-02-01,920.672,8500.0,8500.0
2016-03-01,1660.119,15326.0,15326.0
2016-04-01,1653.645,15266.0,15266.0
2016-05-01,1917.361,17701.0,17701.0
2016-06-01,1987.491,18349.0,18349.0
2016-07-01,2065.423,19068.0,19068.0
2016-08-01,1718.24,15863.0,15863.0
2016-09-01,1376.854,12711.0,12711.0
2016-10-01,1029.771,9507.0,9507.0
2016-11-01,997.709,9211.0,9211.0
2016-12-01,1376.76,12710.0,12710.0
2017-01-01,2277.295,20981.0,20981.0
2017-02-01,2130.389,19627.0,19627.0
2017-03-01,2730.458,25156.0,25156.0
2017-04-01,2707.784,24947.0,24947.0
2017-05-01,3098.442,28546.0,28546.0
2017-06-01,2692.949,24810.0,24810.0
2017-07-01,2619.341,24132.0,24132.0
2017-08-01,2344.496,21600.0,21600.0
2017-09-01,1828.833,16849.0,16849.0
2017-10-01,1289.024,11876.0,11876.0
2017-11-01,1185.635,10923.0,10923.0
2017-12-01,1217.354,11215.0,11215.0
2018-01-01,1.931,18.0,18.0
2018-02-01,1.453,13.0,13.0
2018-03-01,2.236,20.0,20.0
2018-04-01,3.852,35.0,35.0
2018-05-01,3.578,33.0,33.0
2018-06-01,3.333,30.0,30.0
2018-07-01,3.665,33.0,33.0
2018-08-01,3.326,30.0,30.0
2018-09-01,2.699,25.0,25.0
2018-10-01,1.795,16.0,16.0
2018-11-01,1.43,13.0,13.0
2018-12-01,1.702,15.0,15.0
2019-01-01,1047.373,9327.0,9327.0
2019-02-01,1575.057,14026.0,14026.0
2019-03-01,3132.653,27896.0,27896.0
2019-04-01,3367.289,29986.0,29986.0
2019-05-01,3201.846,28512.0,28512.0
2019-06-01,3167.435,28206.0,28206.0
2019-07-01,2931.673,26107.0,26107.0
2019-08-01,2720.023,24222.0,24222.0
2019-09-01,2040.241,18168.0,18168.0
2019-10-01,1582.839,14095.0,14095.0
2019-11-01,1267.358,11286.0,11286.0
2019-12-01,1493.213,13297.0,13297.0
2020-01-01,1615.997,14167.0,14167.0
2020-02-01,1205.624,10570.0,10570.0
2020-03-01,1276.374,11190.0,11190.0
2020-04-01,1873.59,16426.0,16426.0
2020-05-01,2566.102,22497.0,22497.0
2020-06-01,2397.674,21020.0,21020.0
2020-07-01,2535.021,22225.0,22225.0
2020-08-01,2554.425,22395.0,22395.0
2020-09-01,1779.062,15597.0,15597.0
2020-10-01,1463.074,12827.0,12827.0
2020-11-01,1106.548,9701.0,9701.0
2020-12-01,911.509,7991.0,7991.0
2021-01-01,300.206,2655.0,2655.0
2021-02-01,335.446,2967.0,2967.0
2021-03-01,417.762,3695.0,3695.0
2021-04-01,475.689,4207.0,4207.0
2021-05-01,506.548,4480.0,4480.0
2021-06-01,601.102,5316.0,5316.0
2021-07-01,699.676,6188.0,6188.0
2021-08-01,644.215,5697.0,5697.0
2021-09-01,536.536,4745.0,4745.0
2021-10-01,493.678,4366.0,4366.0
2021-11-01,324.671,2871.0,2871.0
2021-12-01,329.471,2914.0,2914.0
2022-01-01,939.311,3205.0,3205.0
2022-02-01,990.154,3378.0,3378.0
2022-03-01,1347.246,4597.0,4597.0
2022-04-01,1370.927,4678.0,4678.0
2022-05-01,1532.852,5230.0,5230.0
2022-06-01,1492.833,5094.0,5094.0
2022-07-01,1590.706,5427.0,5427.0
2022-08-01,1450.284,4948.0,4948.0
2022-09-01,1347.471,4598.0,4598.0
2022-10-01,805.665,2749.0,2749.0
2022-11-01,761.266,2597.0,2597.0
2022-12-01,1100.285,3754.0,3754.0
2023-01-01,408.0,1392.0,1392.0
2023-02-01,566.0,1931.0,1931.0
2023-03-01,417.0,1423.0,1423.0
2023-04-01,707.0,2412.0,2412.0
2023-05-01,2693.0,9189.0,9189.0
2023-06-01,161.0,549.0,549.0
2023-07-01,3238.0,11048.0,11048.0
2023-08-01,3479.0,11870.0,11870.0
2023-09-01,3368.0,11492.0,11492.0
2023-10-01,2225.0,7592.0,7592.0
2023-11-01,313.0,1068.0,1068.0
2023-12-01,758.0,2586.0,2586.0
2024-01-01,385.0,1314.0,1314.0
2024-02-01,184.0,628.0,628.0
2024-03-01,761.0,2597.0,2597.0
2024-04-01,1167.0,3982.0,3982.0
2024-05-01,1460.0,4982.0,4982.0
2024-06-01,54.0,184.0,184.0
2024-07-01,396.0,1351.0,1351.0
2024-08-01,4130.0,14092.0,14092.0
2024-09-01,3738.0,12754.0,12754.0
2024-10-01,1670.0,5698.0,5698.0
2024-11-01,844.0,2880.0,2880.0
2024-12-01,820.0,2798.0,2798.0
