measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,1438189.0,14345613.0,14345613.0,,,,2980.0,32080.0,32080.0
2003-02-01,1021151.0,10418027.0,10418027.0,,,,6560.0,72546.0,72546.0
2003-03-01,997803.0,10118404.0,10118404.0,,,,4442.0,49259.0,49259.0
2003-04-01,1064947.0,10676804.0,10676804.0,,,,3900.0,41473.0,41473.0
2003-05-01,1150416.0,11604169.0,11604169.0,,,,5909.0,64408.0,64408.0
2003-06-01,1367159.0,13547575.0,13547575.0,,,,3204.0,34699.0,34699.0
2003-07-01,1178957.0,11870150.0,11870150.0,2.0,23.0,23.0,4902.0,54114.0,54114.0
2003-08-01,1423337.0,14331553.0,14331553.0,6.0,70.0,70.0,4946.0,53743.0,53743.0
2003-09-01,1179604.0,11916728.0,11916728.0,0.0,0.0,0.0,5197.0,57159.0,57159.0
2003-10-01,1302942.0,13001433.0,13001433.0,5.0,58.0,58.0,3110.0,33391.0,33391.0
2003-11-01,1415105.0,14228094.0,14228094.0,2.0,23.0,23.0,3395.0,37114.0,37114.0
2003-12-01,1497001.0,14437839.0,14437839.0,1.0,12.0,12.0,1179.0,12486.0,12486.0
2004-01-01,784580.0,7876395.0,7876395.0,0.0,0.0,0.0,5303.0,57880.0,57880.0
2004-02-01,553447.0,5270987.0,5270987.0,11.0,127.0,127.0,2541.0,25862.0,25862.0
2004-03-01,425830.0,3999839.0,3999839.0,4.0,46.0,46.0,3783.0,38233.0,38233.0
2004-04-01,645650.0,6206757.0,6206757.0,0.0,0.0,0.0,7550.0,79044.0,79044.0
2004-05-01,999861.0,8593166.0,8593166.0,4.0,46.0,46.0,5379.0,49787.0,49787.0
2004-06-01,771350.0,7491766.0,7491766.0,3.0,35.0,35.0,2475.0,25291.0,25291.0
2004-07-01,874922.0,8034154.0,8034154.0,0.0,0.0,0.0,4024.0,41303.0,41303.0
2004-08-01,830325.0,7683442.0,7683442.0,32.0,371.0,371.0,3304.0,34320.0,34320.0
2004-09-01,761939.0,7113873.0,7113873.0,175.0,2003.0,2003.0,6123.0,65426.0,65426.0
2004-10-01,634692.0,5786967.0,5786967.0,8.0,92.0,92.0,5803.0,58991.0,58991.0
2004-11-01,538641.0,5012596.0,5012596.0,271.0,3105.0,3105.0,5470.0,58339.0,58339.0
2004-12-01,813331.0,7490076.0,7490076.0,0.0,0.0,0.0,4184.0,44772.0,44772.0
2005-01-01,1015702.0,9533241.73,9533241.73,59.0,675.21,675.21,6584.0,71306.48,71306.48
2005-02-01,577235.0,5251691.99,5251691.99,9.0,103.88,103.88,6226.0,62880.82,62880.82
