measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,2.0,34.0,34.0,0.0,0.0,0.0,,,
2003-03-01,30.0,422.0,422.0,1.0,21.0,21.0,,,
2003-04-01,,,,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,10.0,169.0,169.0,0.0,0.0,0.0,,,
2003-11-01,21.0,512.0,512.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,2.251,44.0,44.0,,,
2004-02-01,0.0,0.0,0.0,1.351,26.0,26.0,,,
2004-03-01,0.0,0.0,0.0,0.433,8.0,8.0,,,
2004-04-01,0.0,0.0,0.0,0.528,10.0,10.0,,,
2004-05-01,0.0,0.0,0.0,2.21,43.0,43.0,,,
2004-06-01,0.0,0.0,0.0,2.273,44.0,44.0,,,
2004-07-01,0.0,0.0,0.0,1.06,21.0,21.0,,,
2004-08-01,0.0,0.0,0.0,1.367,26.0,26.0,,,
2004-09-01,0.0,0.0,0.0,0.945,18.0,18.0,,,
2004-10-01,0.0,0.0,0.0,0.054,1.0,1.0,,,
2004-11-01,0.0,0.0,0.0,1.085,21.0,21.0,,,
2004-12-01,0.0,0.0,0.0,0.444,9.0,9.0,,,
2005-01-01,0.0,0.89,0.89,15.17,270.38,270.38,,,
2005-02-01,0.0,0.31,0.31,12.136000000000001,216.31,216.31,,,
2005-03-01,0.0,0.34,0.34,16.841,300.17,300.17,,,
2005-04-01,0.0,0.41,0.41,15.986,284.93,284.93,,,
2005-05-01,0.0,0.38,0.38,15.287,272.46,272.46,,,
2005-06-01,0.0,0.5,0.5,28.857000000000003,514.33,514.33,,,
2005-07-01,0.0,0.51,0.51,37.989000000000004,677.1,677.1,,,
2005-08-01,0.0,0.59,0.59,37.738,672.63,672.63,,,
2005-09-01,0.0,0.39,0.39,22.848000000000003,407.23,407.23,,,
2005-10-01,0.0,0.43,0.43,16.201,288.75,288.75,,,
2005-11-01,0.0,0.35,0.35,14.199,253.07,253.07,,,
2005-12-01,0.0,0.73,0.73,17.749000000000002,316.36,316.36,,,
2006-01-01,0.0,0.0,0.0,25.329,484.0,484.0,,,
2006-02-01,0.0,0.0,0.0,28.632,547.0,547.0,,,
2006-03-01,0.0,0.0,0.0,37.73,721.0,721.0,,,
2006-04-01,0.0,0.0,0.0,31.223000000000003,597.0,597.0,,,
2006-05-01,0.0,0.0,0.0,41.128,786.0,786.0,,,
2006-06-01,0.0,0.0,0.0,52.978,1012.0,1012.0,,,
2006-07-01,0.0,0.0,0.0,94.802,1812.0,1812.0,,,
2006-08-01,0.0,0.0,0.0,84.24,1610.0,1610.0,,,
2006-09-01,0.0,0.0,0.0,49.551,947.0,947.0,,,
2006-10-01,0.0,0.0,0.0,53.674,1026.0,1026.0,,,
2006-11-01,0.0,0.0,0.0,36.085,690.0,690.0,,,
2006-12-01,0.0,0.0,0.0,36.63,700.0,700.0,,,
2007-01-01,4.645,105.0,105.0,12.299000000000001,281.0,281.0,,,
2007-02-01,5.289000000000001,122.0,122.0,13.585,310.0,310.0,,,
2007-03-01,4.409,99.0,99.0,4.745,108.0,108.0,,,
2007-04-01,4.6770000000000005,105.0,105.0,12.618,288.0,288.0,,,
2007-05-01,4.816,111.0,111.0,24.784000000000002,566.0,566.0,,,
2007-06-01,5.6610000000000005,128.0,128.0,25.937,592.0,592.0,,,
2007-07-01,4.426,99.0,99.0,31.403000000000002,717.0,717.0,,,
2007-08-01,3.5420000000000003,81.0,81.0,79.194,1807.0,1807.0,,,
2007-09-01,3.355,76.0,76.0,30.78,703.0,703.0,,,
2007-10-01,4.82,111.0,111.0,27.75,633.0,633.0,,,
2007-11-01,3.9570000000000003,93.0,93.0,7.4030000000000005,169.0,169.0,,,
2007-12-01,6.994000000000001,157.0,157.0,16.911,386.0,386.0,,,
2008-01-01,0.0,0.0,0.0,13.697000000000001,262.0,262.0,,,
2008-02-01,0.0,0.0,0.0,16.075,307.0,307.0,,,
