measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,5.631,61.0,61.0,32.226,353.0,353.0
2003-02-01,5.271,57.0,57.0,30.169,331.0,331.0
2003-03-01,5.093,55.0,55.0,29.146,320.0,320.0
2003-04-01,4.876,53.0,53.0,27.907,306.0,306.0
2003-05-01,4.947,54.0,54.0,28.313000000000002,311.0,311.0
2003-06-01,5.163,56.0,56.0,29.545,324.0,324.0
2003-07-01,5.953,65.0,65.0,34.071000000000005,374.0,374.0
2003-08-01,6.0360000000000005,66.0,66.0,34.544000000000004,379.0,379.0
2003-09-01,5.23,57.0,57.0,29.933,328.0,328.0
2003-10-01,5.423,59.0,59.0,31.038,340.0,340.0
2003-11-01,5.566,61.0,61.0,31.856,349.0,349.0
2003-12-01,5.81,63.0,63.0,33.251000000000005,365.0,365.0
2004-01-01,0.7230000000000001,13.0,13.0,0.49200000000000005,6.0,6.0
2004-02-01,0.21,4.0,4.0,0.324,4.0,4.0
2004-03-01,0.167,3.0,3.0,0.285,3.0,3.0
2004-04-01,0.394,7.0,7.0,0.596,7.0,7.0
2004-05-01,0.749,13.0,13.0,0.34,4.0,4.0
2004-06-01,0.372,6.0,6.0,0.41900000000000004,5.0,5.0
2004-07-01,2.055,36.0,36.0,0.376,4.0,4.0
2004-08-01,0.24700000000000003,4.0,4.0,0.11800000000000001,1.0,1.0
2004-09-01,0.793,14.0,14.0,0.332,4.0,4.0
2004-10-01,0.15,3.0,3.0,0.5870000000000001,7.0,7.0
2004-11-01,0.199,3.0,3.0,0.7120000000000001,8.0,8.0
2004-12-01,0.9410000000000001,16.0,16.0,0.41800000000000004,5.0,5.0
2005-01-01,18.225,196.31,196.31,29.735,322.66,322.66
2005-02-01,6.2620000000000005,67.45,67.45,23.788,258.13,258.13
2005-03-01,6.94,74.76,74.76,33.011,358.2,358.2
2005-04-01,8.406,90.55,90.55,31.336000000000002,340.02,340.02
2005-05-01,7.807,84.1,84.1,29.964000000000002,325.14,325.14
2005-06-01,10.133000000000001,109.15,109.15,56.564,613.78,613.78
2005-07-01,10.314,111.1,111.1,74.464,808.01,808.01
2005-08-01,12.117,130.52,130.52,73.973,802.68,802.68
2005-09-01,7.932,85.44,85.44,44.786,485.97,485.97
2005-10-01,8.808,94.88,94.88,31.756,344.58,344.58
2005-11-01,7.081,76.28,76.28,27.831000000000003,302.0,302.0
2005-12-01,14.973,161.28,161.28,34.792,377.52,377.52
2006-01-01,8.697000000000001,85.0,85.0,1.328,21.0,21.0
2006-02-01,4.551,45.0,45.0,1.502,24.0,24.0
2006-03-01,3.8230000000000004,37.0,37.0,1.979,31.0,31.0
2006-04-01,7.323,72.0,72.0,1.6380000000000001,26.0,26.0
2006-05-01,6.845,67.0,67.0,2.157,34.0,34.0
2006-06-01,6.221,61.0,61.0,2.779,44.0,44.0
2006-07-01,9.012,88.0,88.0,4.972,78.0,78.0
2006-08-01,8.741,86.0,86.0,4.418,70.0,70.0
2006-09-01,4.016,39.0,39.0,2.599,41.0,41.0
2006-10-01,4.242,42.0,42.0,2.815,44.0,44.0
2006-11-01,4.995,49.0,49.0,1.893,30.0,30.0
2006-12-01,5.535,54.0,54.0,1.921,30.0,30.0
2007-01-01,-37.299,17.0,17.0,0.0,0.0,0.0
2007-02-01,-80.01700000000001,40.0,40.0,0.0,0.0,0.0
2007-03-01,-13.032,6.0,6.0,0.0,0.0,0.0
2007-04-01,-9.244,6.0,6.0,0.0,0.0,0.0
