measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,-94.0,0.0,0.0
2003-02-01,1163.0,16269.0,16269.0
2003-03-01,1215.0,17392.0,17392.0
2003-05-01,-60.0,0.0,0.0
2003-06-01,-47.0,0.0,0.0
2003-07-01,-46.0,0.0,0.0
2003-08-01,82.0,1966.0,1966.0
2003-09-01,-32.0,0.0,0.0
2003-10-01,-49.0,0.0,0.0
2003-11-01,-58.0,0.0,0.0
2003-12-01,-72.0,0.0,0.0
2004-01-01,138.829,2969.0,2969.0
2004-02-01,57.545,1230.0,1230.0
2004-03-01,17.739,379.0,379.0
2004-04-01,33.684000000000005,720.0,720.0
2004-05-01,64.956,1389.0,1389.0
2004-06-01,24.114,516.0,516.0
2004-07-01,12.749,273.0,273.0
2004-08-01,12.409,265.0,265.0
2004-09-01,5.303,113.0,113.0
2004-10-01,4.981,107.0,107.0
2004-11-01,8.317,178.0,178.0
2004-12-01,83.37400000000001,1783.0,1783.0
