measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,69829.0,755078.0,755078.0,400.0,4452.0,4452.0,1180.0,12839.0,12839.0,37147.0,406761.0,406761.0
2001-02-01,65076.0,702619.0,702619.0,392.0,4376.0,4376.0,1213.0,13186.0,13186.0,18619.0,203574.0,203574.0
2001-03-01,21158.0,230285.0,230285.0,859.0,9618.0,9618.0,1403.0,15367.0,15367.0,29611.0,326366.0,326366.0
2001-04-01,62886.0,659267.0,659267.0,784.0,8448.0,8448.0,1195.0,12607.0,12607.0,58082.0,616592.0,616592.0
2001-05-01,66863.0,710163.0,710163.0,278.0,3013.0,3013.0,866.0,9256.0,9256.0,26143.0,281179.0,281179.0
2001-06-01,65743.0,707235.0,707235.0,331.0,3656.0,3656.0,1645.0,17812.0,17812.0,37860.0,412430.0,412430.0
2001-07-01,83082.0,884465.0,884465.0,38.0,404.0,404.0,1398.0,14978.0,14978.0,39317.0,423844.0,423844.0
2001-08-01,86973.0,930075.0,930075.0,306.0,3364.0,3364.0,5862.0,63089.0,63089.0,40066.0,433872.0,433872.0
2001-09-01,66525.0,728700.0,728700.0,315.0,3539.0,3539.0,17045.0,187912.0,187912.0,7168.0,79504.0,79504.0
2001-10-01,65960.0,728352.0,728352.0,443.0,5037.0,5037.0,19597.0,217797.0,217797.0,8570.0,95833.0,95833.0
2001-11-01,58870.0,655346.0,655346.0,300.0,3452.0,3452.0,341.0,3823.0,3823.0,3597.0,40543.0,40543.0
2001-12-01,60301.0,659391.0,659391.0,147.0,1656.0,1656.0,255.0,2808.0,2808.0,7102.0,78637.0,78637.0
2002-01-01,35072.0,436956.0,436956.0,932.0,11600.0,11600.0,238.0,2969.0,2969.0,4583.0,57101.0,57101.0
2002-02-01,59415.0,642190.0,642190.0,804.0,8694.0,8694.0,518.0,5595.0,5595.0,4321.0,46708.0,46708.0
2002-03-01,64152.0,715003.0,715003.0,1036.0,11548.0,11548.0,1556.0,17337.0,17337.0,28052.0,312646.0,312646.0
2002-04-01,10552.0,138294.0,138294.0,1352.0,17722.0,17722.0,924.0,12117.0,12117.0,15835.0,207547.0,207547.0
2002-05-01,41652.0,491466.0,491466.0,550.0,6532.0,6532.0,404.0,4761.0,4761.0,3095.0,36519.0,36519.0
2002-06-01,41872.0,514343.0,514343.0,764.0,9352.0,9352.0,1007.0,12371.0,12371.0,15559.0,191125.0,191125.0
2002-07-01,60425.0,710835.0,710835.0,1406.0,16484.0,16484.0,13367.0,157250.0,157250.0,17610.0,207166.0,207166.0
2002-08-01,50564.0,613760.0,613760.0,1688.0,20462.0,20462.0,5309.0,64440.0,64440.0,18301.0,222141.0,222141.0
2002-09-01,62181.0,708225.0,708225.0,1542.0,17586.0,17586.0,8162.0,92960.0,92960.0,14123.0,160858.0,160858.0
2002-10-01,8661.0,99712.0,99712.0,1546.0,17794.0,17794.0,652.0,7507.0,7507.0,13451.0,154855.0,154855.0
2002-11-01,0.0,0.0,0.0,1346.0,24220.0,24220.0,598.0,10913.0,10913.0,4800.0,87359.0,87359.0
2002-12-01,-1489.0,0.0,0.0,3070.0,41342.0,41342.0,1059.0,14263.0,14263.0,15135.0,203863.0,203863.0
2003-01-01,43685.0,515482.0,515482.0,559.5,6591.5,6591.5,1266.0,14941.0,14941.0,28878.0,340769.0,340769.0
2003-02-01,54594.0,608872.0,608872.0,217.0,2415.5,2415.5,1520.0,16950.0,16950.0,39891.0,444890.0,444890.0
2003-03-01,71698.0,790994.0,790994.0,266.0,2938.0,2938.0,1181.0,13026.0,13026.0,40195.0,443445.0,443445.0
2003-04-01,12058.0,154444.0,154444.0,472.5,6049.0,6049.0,1275.0,16333.0,16333.0,17180.0,220055.0,220055.0
2003-05-01,41210.0,494521.0,494521.0,56.0,669.5,669.5,-425.0,0.0,0.0,1991.0,23889.0,23889.0
2003-06-01,40529.0,482549.0,482549.0,262.5,3120.5,3120.5,1054.0,12546.0,12546.0,15869.0,188945.0,188945.0
2003-07-01,62137.0,700073.0,700073.0,118.5,1334.0,1334.0,1703.0,19159.0,19159.0,32145.0,362160.0,362160.0
2003-08-01,59454.0,658210.0,658210.0,50.5,559.5,559.5,1426.0,15783.0,15783.0,26260.0,290727.0,290727.0
2003-09-01,44021.0,509843.0,509843.0,318.0,3683.0,3683.0,808.0,9357.0,9357.0,21106.0,244451.0,244451.0
2003-10-01,48802.0,577936.0,577936.0,26.5,316.0,316.0,0.0,0.0,0.0,2249.0,26634.0,26634.0
2003-11-01,45248.0,724018.0,724018.0,76.0,1212.0,1212.0,638.0,10213.0,10213.0,3251.0,52013.0,52013.0
2003-12-01,62839.0,702904.0,702904.0,171.0,1914.0,1914.0,1428.0,15860.0,15860.0,46607.0,521345.0,521345.0
2004-01-01,85893.0,923000.0,923000.0,20.0,214.5,214.5,607.0,6522.0,6522.0,76045.0,817175.0,817175.0
2004-02-01,71323.0,782996.0,782996.0,31.0,342.0,342.0,566.0,6211.0,6211.0,20837.0,228747.0,228747.0
2004-03-01,34840.0,447749.0,447749.0,344.0,4422.5,4422.5,353.0,4533.0,4533.0,7719.0,99208.0,99208.0
2004-04-01,24761.0,313640.0,313640.0,396.0,5017.0,5017.0,12.0,146.0,146.0,14791.0,187347.0,187347.0
2004-05-01,75142.0,824002.0,824002.0,22.5,287.0,287.0,1194.0,15217.0,15217.0,31210.0,397626.0,397626.0
2004-06-01,55497.0,663559.0,663559.0,19.0,229.5,229.5,1114.0,13319.0,13319.0,14992.0,179251.0,179251.0
2004-07-01,62629.0,705813.0,705813.0,157.0,1769.0,1769.0,145.0,1638.0,1638.0,34340.0,387000.0,387000.0
2004-08-01,65286.0,815276.0,815276.0,37.0,464.0,464.0,209.0,2605.0,2605.0,11483.0,143392.0,143392.0
2004-09-01,61147.0,767154.0,767154.0,23.5,304.5,304.5,173.0,2168.0,2168.0,3181.0,39904.0,39904.0
2004-10-01,43981.0,611230.0,611230.0,31.5,438.0,438.0,3.0,43.0,43.0,1820.0,25290.0,25290.0
