measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,7829.0,83762.0,83762.0
2001-02-01,335.0,8793.0,8793.0,1706.0,45174.0,45174.0
2001-03-01,445.0,8641.0,8641.0,3248.0,63516.0,63516.0
2001-04-01,538.0,7342.0,7342.0,9139.0,125677.0,125677.0
2001-05-01,325.0,4873.0,4873.0,6998.0,105880.0,105880.0
2001-06-01,695.0,8834.0,8834.0,28767.0,340474.0,340474.0
2001-07-01,558.0,7927.0,7927.0,18784.0,254815.0,254815.0
2001-08-01,1012.0,15169.0,15169.0,19843.0,281230.0,281230.0
2001-09-01,124.0,1650.0,1650.0,-1181.0,0.0,0.0
2001-10-01,-726.0,304.0,6710.0,-412.0,0.0,3594.0
2001-11-01,-1318.0,105.0,2334.0,0.0,0.0,0.0
2001-12-01,-1348.0,0.0,5406.0,0.0,0.0,0.0
2002-01-01,-2886.0,14614.0,14614.0,0.0,0.0,0.0
2002-02-01,1686.0,21564.0,21564.0,3241.0,40030.0,40030.0
2002-03-01,1102.0,17862.0,17862.0,18135.0,293952.0,293952.0
2002-04-01,356.0,8076.0,8076.0,4136.0,94053.0,94053.0
2002-05-01,-2182.0,5520.0,5520.0,-43.0,69.0,69.0
2002-06-01,868.0,13268.0,13268.0,12747.0,193057.0,193057.0
2002-07-01,2430.0,34446.0,34446.0,25760.0,350305.0,350305.0
2002-08-01,836.0,11837.0,11837.0,22467.0,319284.0,319284.0
2002-09-01,772.0,11790.0,11790.0,8701.0,133106.0,133106.0
2002-10-01,1316.0,23288.0,23288.0,4097.0,70976.0,70976.0
2002-11-01,-704.0,20076.0,20076.0,-331.0,9400.0,9400.0
2002-12-01,1758.0,27894.0,27894.0,13344.0,211655.0,211655.0
2003-01-01,395.6666666666667,5985.0,5985.0,20226.0,309021.0,309021.0
2003-02-01,276.6666666666667,3545.3333333333335,3545.3333333333335,33406.0,426838.0,426838.0
2003-03-01,485.5,6053.5,6053.5,22095.0,275492.0,275492.0
2003-04-01,-4.666666666666667,123.0,123.0,-79.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,202.5,2903.5,2903.5,7711.0,110462.0,110462.0
2003-07-01,144.33333333333334,2166.3333333333335,2166.3333333333335,18099.0,269875.0,269875.0
2003-08-01,289.3333333333333,3969.3333333333335,3969.3333333333335,22654.0,305575.0,305575.0
2003-09-01,0.0,0.0,0.0,,,
2003-10-01,384.5,3624.5,3624.5,6029.0,56832.0,56832.0
2003-11-01,-49.0,0.0,0.0,-167.0,0.0,0.0
2003-12-01,291.0,4280.5,4280.5,8607.0,126591.0,126591.0
2004-01-01,298.6666666666667,3853.6666666666665,3853.6666666666665,22161.0,281084.0,281084.0
2004-02-01,133.0,3495.5,3495.5,1251.0,32917.0,32917.0
2004-03-01,0.0,1216.0,1216.0,0.0,0.0,0.0
2004-04-01,0.0,73.5,73.5,0.0,0.0,0.0
2004-05-01,4.0,214.66666666666666,214.66666666666666,0.0,0.0,0.0
2004-06-01,0.0,152.5,152.5,0.0,0.0,0.0
2004-07-01,23.5,363.5,363.5,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,14.5,711.0,711.0,0.0,0.0,0.0
2005-01-01,22.5,322.3,322.3,,,
2005-02-01,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,
2005-06-01,127.5,1895.71,1895.71,,,
2005-07-01,811.0,12018.86,12018.86,,,
2005-08-01,315.0,4772.97,4772.97,,,
2005-09-01,0.0,0.0,0.0,,,
2005-10-01,260.0,6404.98,6404.98,,,
2005-11-01,0.0,0.0,0.0,,,
2005-12-01,12.5,295.93,295.93,,,
2006-01-01,64.5,1863.5,1863.5,,,
2006-02-01,0.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,,,
2006-05-01,43.5,673.0,673.0,,,
2006-06-01,43.0,609.0,609.0,,,
2006-07-01,72.0,1096.0,1096.0,,,
2006-08-01,423.0,6330.5,6330.5,,,
2006-09-01,158.0,2244.5,2244.5,,,
2006-10-01,62.0,1070.0,1070.0,,,
2006-11-01,38.5,728.0,728.0,,,
2006-12-01,0.0,23.0,23.0,,,
2007-01-01,44.5,617.5,617.5,0.0,0.0,0.0
2007-02-01,0.0,203.0,203.0,0.0,0.0,0.0
2007-03-01,21.0,322.0,322.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,32.0,504.5,504.5,0.0,0.0,0.0
2007-07-01,0.0,8.5,8.5,0.0,0.0,0.0
2007-08-01,141.5,2998.5,2998.5,0.0,0.0,0.0
2007-09-01,118.5,2897.0,2897.0,0.0,0.0,0.0
2007-10-01,1.0,37.5,37.5,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,180.0,2413.0,2413.0,0.0,0.0,0.0
2008-01-01,121.64250000000001,1805.0,1805.0,0.0,0.0,0.0
2008-02-01,97.36200000000001,1438.5,1438.5,0.0,0.0,0.0
2008-03-01,31.743000000000002,469.0,469.0,0.0,0.0,0.0
2008-04-01,21.840500000000002,322.5,322.5,0.0,0.0,0.0
2008-05-01,22.409000000000002,331.0,331.0,0.0,0.0,0.0
2008-06-01,90.2615,1336.0,1336.0,0.0,0.0,0.0
2008-07-01,42.087,621.0,621.0,0.0,0.0,0.0
2008-08-01,26.116500000000002,387.0,387.0,0.0,0.0,0.0
2008-09-01,32.56,480.5,480.5,0.0,0.0,0.0
2008-10-01,15.302000000000001,225.5,225.5,0.0,0.0,0.0
2008-11-01,32.791000000000004,483.5,483.5,0.0,0.0,0.0
2008-12-01,62.885,929.0,929.0,0.0,0.0,0.0
2009-01-01,83.50800000000001,1252.0,1252.0,,,
2009-02-01,16.107,240.0,240.0,,,
2009-03-01,19.79,298.0,298.0,,,
2009-04-01,7.409000000000001,111.0,111.0,,,
2009-05-01,7.02,105.0,105.0,,,
2009-06-01,6.212000000000001,94.0,94.0,,,
2009-07-01,9.749,146.0,146.0,,,
2009-08-01,8.351,123.0,123.0,,,
2009-09-01,5.33,82.0,82.0,,,
2009-10-01,5.548,82.0,82.0,,,
2009-11-01,6.572,99.0,99.0,,,
2009-12-01,6.404,94.0,94.0,,,
2010-01-01,209.16500000000002,3258.0,3258.0,,,
2010-02-01,67.08800000000001,1047.0,1047.0,,,
2010-03-01,67.171,1053.0,1053.0,,,
2010-04-01,49.954,784.0,784.0,,,
2010-05-01,55.61,872.0,872.0,,,
2010-06-01,119.15700000000001,1866.0,1866.0,,,
2010-07-01,369.48,5780.0,5780.0,,,
2010-08-01,150.169,2346.0,2346.0,,,
2010-09-01,68.143,1065.0,1065.0,,,
2010-10-01,43.611000000000004,684.0,684.0,,,
2010-11-01,46.651,731.0,731.0,,,
2010-12-01,157.80100000000002,2469.0,2469.0,,,
2011-01-01,101.111,2194.0,2194.0,,,
2011-02-01,38.465,837.0,837.0,,,
2011-03-01,72.589,1585.0,1585.0,,,
2011-04-01,65.197,1422.0,1422.0,,,
2011-05-01,96.142,2094.0,2094.0,,,
2011-06-01,58.366,1275.0,1275.0,,,
2011-07-01,116.26,2539.0,2539.0,,,
2011-08-01,38.818,848.0,848.0,,,
2011-09-01,37.446,819.0,819.0,,,
2011-10-01,41.754,913.0,913.0,,,
2011-11-01,36.358,796.0,796.0,,,
2011-12-01,38.494,842.0,842.0,,,
2012-01-01,30.588,690.0,690.0,,,
2012-02-01,21.831,497.0,497.0,,,
2012-03-01,20.164,456.0,456.0,,,
2012-04-01,27.88,632.0,632.0,,,
2012-05-01,48.134,1088.0,1088.0,,,
2012-06-01,38.106,866.0,866.0,,,
2012-07-01,82.398,1866.0,1866.0,,,
2012-08-01,30.223,684.0,684.0,,,
2012-09-01,33.844,766.0,766.0,,,
2012-10-01,25.453,579.0,579.0,,,
2012-11-01,44.338,1006.0,1006.0,,,
2012-12-01,35.041,796.0,796.0,,,
2013-01-01,223.139,3481.0,3481.0,,,
2013-02-01,64.947,1016.0,1016.0,,,
2013-03-01,53.744,841.0,841.0,,,
2013-04-01,89.504,1396.0,1396.0,,,
2013-05-01,84.35,1320.0,1320.0,,,
2013-06-01,69.463,1086.0,1086.0,,,
2013-07-01,171.33,2675.0,2675.0,,,
2013-08-01,88.26,1378.0,1378.0,,,
2013-09-01,62.6,975.0,975.0,,,
2013-10-01,73.289,1145.0,1145.0,,,
2013-11-01,69.549,1086.0,1086.0,,,
2013-12-01,151.825,2371.0,2371.0,,,
2014-01-01,1737.499,30264.0,30264.0,,,
2014-02-01,208.273,3630.0,3630.0,,,
2014-03-01,254.412,4435.0,4435.0,,,
2014-04-01,61.114,1065.0,1065.0,,,
2014-05-01,162.099,2826.0,2826.0,,,
2014-06-01,73.024,1274.0,1274.0,,,
2014-07-01,111.551,1945.0,1945.0,,,
2014-08-01,98.764,1720.0,1720.0,,,
2014-09-01,89.44,1558.0,1558.0,,,
2014-10-01,54.657,950.0,950.0,,,
2014-11-01,106.348,1853.0,1853.0,,,
2014-12-01,152.819,2663.0,2663.0,,,
2015-01-01,184.613,2538.0,2538.0,,,
2015-02-01,985.585,13578.0,13578.0,,,
2015-03-01,132.957,1833.0,1833.0,,,
2015-04-01,49.958,687.0,687.0,,,
2015-05-01,89.334,1228.0,1228.0,,,
2015-06-01,79.242,1094.0,1094.0,,,
2015-07-01,93.632,1292.0,1292.0,,,
2015-08-01,77.904,1071.0,1071.0,,,
2015-09-01,48.848,675.0,675.0,,,
2015-10-01,71.828,989.0,989.0,,,
2015-11-01,87.861,1211.0,1211.0,,,
2015-12-01,80.238,1106.0,1106.0,,,
2016-01-01,39.708,650.0,650.0,,,
2016-02-01,24.046,400.0,400.0,,,
2016-03-01,25.791,429.0,429.0,,,
2016-04-01,34.771,580.0,580.0,,,
2016-05-01,28.208,470.0,470.0,,,
2016-06-01,28.859,481.0,481.0,,,
2016-07-01,30.637,510.0,510.0,,,
2016-08-01,29.179,487.0,487.0,,,
2016-09-01,19.518,325.0,325.0,,,
2016-10-01,22.806,377.0,377.0,,,
2016-11-01,27.738,464.0,464.0,,,
2016-12-01,27.739,464.0,464.0,,,
2017-01-01,88.241,1177.0,1177.0,,,
2017-02-01,69.068,923.0,923.0,,,
2017-03-01,90.049,1200.0,1200.0,,,
2017-04-01,60.513,808.0,808.0,,,
2017-05-01,97.638,1304.0,1304.0,,,
2017-06-01,103.937,1391.0,1391.0,,,
2017-07-01,86.734,1160.0,1160.0,,,
2017-08-01,116.809,1558.0,1558.0,,,
2017-09-01,84.698,1131.0,1131.0,,,
2017-10-01,61.471,819.0,819.0,,,
2017-11-01,112.405,1500.0,1500.0,,,
2017-12-01,110.437,1477.0,1477.0,,,
2018-01-01,199.591,3186.0,3186.0,,,
2018-02-01,79.681,1272.0,1272.0,,,
2018-03-01,61.405,980.0,980.0,,,
2018-04-01,69.103,1100.0,1100.0,,,
2018-05-01,69.208,1106.0,1106.0,,,
2018-06-01,113.496,1811.0,1811.0,,,
2018-07-01,44.62,711.0,711.0,,,
2018-08-01,70.712,1129.0,1129.0,,,
2018-09-01,36.079,573.0,573.0,,,
2018-10-01,50.446,802.0,802.0,,,
2018-11-01,81.384,1301.0,1301.0,,,
2018-12-01,103.275,1645.0,1645.0,,,
2019-01-01,18.544,584.0,584.0,,,
2019-02-01,16.979,526.0,526.0,,,
2019-03-01,10.449,324.0,324.0,,,
2019-04-01,5.609,173.0,173.0,,,
2019-05-01,16.188,503.0,503.0,,,
2019-06-01,33.566,1040.0,1040.0,,,
2019-07-01,11.383,353.0,353.0,,,
2019-08-01,28.172,873.0,873.0,,,
2019-09-01,17.522,543.0,543.0,,,
2019-10-01,36.371,1127.0,1127.0,,,
2019-11-01,32.024,994.0,994.0,,,
2019-12-01,5.193,162.0,162.0,,,
2020-01-01,14.525,254.0,254.0,,,
2020-02-01,11.156,197.0,197.0,,,
2020-03-01,15.503,272.0,272.0,,,
2020-04-01,11.343,197.0,197.0,,,
2020-05-01,14.313,254.0,254.0,,,
2020-06-01,10.573,185.0,185.0,,,
2020-07-01,14.833,260.0,260.0,,,
2020-08-01,13.145,231.0,231.0,,,
2020-09-01,12.167,214.0,214.0,,,
2020-10-01,9.568,168.0,168.0,,,
2020-11-01,11.486,202.0,202.0,,,
