measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,44.0,533.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-511.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,2.0,18.0,18.0,0.0,0.0,0.0,,,,-463.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-477.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2003-05-01,0.0,0.0,0.0,1.0,23.0,23.0,9.0,229.0,229.0,,,,755.0,18176.0,18176.0
2003-06-01,140.0,1910.0,1910.0,0.0,0.0,0.0,57.0,721.0,721.0,,,,6143.0,77225.0,77225.0
2003-07-01,87.0,1026.0,1026.0,0.0,0.0,0.0,37.0,586.0,586.0,,,,7120.0,113356.0,113356.0
2003-08-01,2.0,23.0,23.0,0.0,0.0,0.0,85.0,967.0,967.0,,,,18872.0,213627.0,213627.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,94.0,94.0,,,,453.0,5777.0,5777.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0,,,,-438.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1529.0,1529.0,,,,4830.0,69854.0,69854.0
2004-01-01,23.0,316.0,316.0,0.0,0.0,0.0,66.0,832.0,832.0,,,,20965.0,263082.0,263082.0
2004-02-01,21.0,305.0,305.0,0.0,0.0,0.0,42.0,656.0,656.0,,,,603.0,9513.0,9513.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,,,,0.0,164.0,164.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,34.0,686.0,686.0,,,,1186.0,23575.0,23575.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,39.0,528.0,528.0,,,,3849.0,52082.0,52082.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,43.0,568.0,568.0,,,,8896.0,117004.0,117004.0
2004-07-01,35.0,516.0,516.0,0.0,0.0,0.0,53.0,633.0,633.0,,,,13799.0,165551.0,165551.0
2004-08-01,40.0,522.0,522.0,0.0,0.0,0.0,23.0,252.0,252.0,,,,6282.0,69187.0,69187.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10.0,135.0,135.0,,,,2085.0,27355.0,27355.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11139.0,127638.0,127638.0
2005-01-01,55.0,785.24,785.24,0.0,0.0,0.0,102.0,1236.46,1236.46,,,,26091.0,314968.5,314968.5
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,11.0,134.78,134.78,,,,1921.0,23870.7,23870.7
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,11.0,123.06,123.06,,,,3275.0,38140.2,38140.2
2005-04-01,0.0,117.2,117.2,0.0,0.0,0.0,0.0,1037.22,1037.22,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,48.0,609.44,609.44,,,,1946.0,24500.7,24500.7
2005-06-01,53.0,761.8,761.8,0.0,0.0,0.0,41.0,515.68,515.68,,,,18130.0,228664.8,228664.8
2005-07-01,782.0,11432.86,11432.86,0.0,0.0,0.0,65.0,902.44,902.44,,,,16622.0,230239.8,230239.8
2005-08-01,422.0,5777.96,5777.96,0.0,0.0,0.0,72.0,879.0,879.0,,,,24418.0,300037.5,300037.5
