measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,1488.0,20660.0,20660.0,0.0,0.0,0.0,,,
2003-02-01,3295.0,53914.0,53914.0,0.0,0.0,0.0,,,
2003-04-01,-257.0,0.0,0.0,-73.0,0.0,0.0,,,
2003-05-01,2462.0,41654.0,41654.0,36.0,896.0,896.0,,,
2003-06-01,3548.0,54729.0,54729.0,256.0,3629.0,3629.0,,,
2003-07-01,,,,639.0,10003.0,10003.0,,,
2003-08-01,1624.0,16284.0,16284.0,7046.0,44447.0,44447.0,,,
2003-09-01,1384.0,18054.0,18054.0,1045.0,13325.0,13325.0,,,
2003-10-01,524.0,7650.0,7650.0,208.0,3819.0,3819.0,,,
2003-11-01,1072.0,10526.0,10526.0,346.0,5044.0,5044.0,,,
2003-12-01,2407.0,20261.0,20261.0,850.0,13171.0,13171.0,,,
2004-01-01,1298.0,27299.0,27299.0,4.0,80.0,80.0,,,
2004-02-01,0.0,0.0,0.0,268.0,6017.0,6017.0,,,
2004-03-01,33.0,8537.0,8537.0,69.0,5954.0,5954.0,,,
2004-04-01,-20.0,0.0,0.0,-48.0,0.0,0.0,,,
2004-05-01,1170.0,26397.0,26397.0,1906.0,34285.0,34285.0,,,
2004-06-01,-161.0,2413.0,2413.0,-129.0,1585.0,1585.0,,,
2004-07-01,75.0,1375.0,1375.0,2027.0,36041.0,36041.0,,,
