measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,1552.0,21218.0,21218.0,2770.0,37426.0,37426.0,50656.0,548266.0,548266.0
2003-02-01,0.0,0.0,0.0,8615.0,115350.0,115350.0,857.0,11308.0,11308.0,85947.0,885485.0,885485.0
2003-03-01,0.0,0.0,0.0,1662.0,27530.0,27530.0,3555.0,58893.0,58893.0,18107.0,246027.0,246027.0
2003-04-01,0.0,0.0,0.0,555.0,7541.0,7541.0,2514.0,33452.0,33452.0,53660.0,600029.0,600029.0
2003-05-01,0.0,0.0,0.0,2252.0,31567.0,31567.0,3220.0,44499.0,44499.0,120118.0,1347062.0,1347062.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4071.0,56866.0,56866.0,92023.0,1034749.0,1034749.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,28573.0,28573.0,109068.0,1233876.0,1233876.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3868.0,52046.0,52046.0,108008.0,1156716.0,1156716.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,968.0,13765.0,13765.0,92788.0,1054846.0,1054846.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3902.0,54076.0,54076.0,71331.0,754167.0,754167.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,61123.0,665536.0,665536.0,82529.0,925950.0,925950.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,14249.0,14249.0,71292.0,715257.0,715257.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,67652.0,718266.0,718266.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,70785.0,760098.0,760098.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,51542.0,559149.0,559149.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,55715.0,579300.0,579300.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,54508.0,597276.0,597276.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,96199.0,1098441.0,1098441.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5375.0,68089.0,68089.0,99621.0,1137003.0,1137003.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,976.0,14347.0,14347.0,96237.0,1104192.0,1104192.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,26057.0,26057.0,82596.0,935666.0,935666.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2517.0,35726.0,35726.0,77065.0,887850.0,887850.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,26011.0,26011.0,20721.0,287105.0,287105.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,228.0,3718.0,3718.0,47632.0,534861.0,534861.0
2005-01-01,0.0,0.0,0.0,,,,437.0,6861.94,6861.94,957.0,17801.25,17801.25
2005-02-01,0.0,0.0,0.0,,,,530.0,7397.24,7397.24,10341.0,151788.86,151788.86
2005-03-01,0.0,0.0,0.0,,,,128.0,2536.11,2536.11,24674.0,285400.75,285400.75
2005-04-01,0.0,0.0,0.0,,,,1330.0,19303.32,19303.32,43627.0,480314.86,480314.86
2005-05-01,0.0,0.0,0.0,,,,1227.0,21206.64,21206.64,78928.0,872437.55,872437.55
2005-06-01,0.0,0.0,0.0,,,,1240.0,19237.2,19237.2,96254.0,1123022.94,1123022.94
2005-07-01,0.0,0.0,0.0,,,,2317.0,34968.29,34968.29,95478.0,1115323.46,1115323.46
2005-08-01,0.0,0.0,0.0,,,,6750.0,95553.91,95553.91,107576.0,1243869.61,1243869.61
2005-09-01,0.0,0.0,0.0,,,,2231.0,32256.81,32256.81,100294.0,1151624.94,1151624.94
2005-10-01,0.0,0.0,0.0,,,,2088.0,35120.94,35120.94,86883.0,967850.83,967850.83
2005-11-01,0.0,0.0,0.0,,,,5483.0,77220.86,77220.86,80002.0,900006.93,900006.93
2005-12-01,0.0,0.0,0.0,,,,-37.0,30.09,30.09,74714.0,838081.3,838081.3
2006-01-01,0.0,0.0,0.0,,,,2175.0,30525.0,30525.0,73958.0,800766.0,800766.0
2006-02-01,0.0,0.0,0.0,,,,1459.0,21539.0,21539.0,95685.0,1041793.0,1041793.0
2006-03-01,0.0,0.0,0.0,,,,1299.0,17200.0,17200.0,78608.0,865409.0,865409.0
2006-04-01,0.0,0.0,0.0,,,,20073.0,279337.0,279337.0,108847.0,1207954.0,1207954.0
2006-05-01,0.0,0.0,0.0,,,,9706.0,137832.0,137832.0,110559.0,1228003.0,1228003.0
2006-06-01,0.0,0.0,0.0,,,,16049.0,244296.0,244296.0,109126.0,1203488.0,1203488.0
2006-07-01,0.0,0.0,0.0,,,,-18.0,0.0,0.0,-378.0,25.0,25.0
2006-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
