measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,7114.0,37964.0,37964.0,0.0,0.0,0.0
2003-02-01,5720.0,94288.0,94288.0,0.0,0.0,0.0
2003-03-01,5935.0,104326.0,104326.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-159.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,-170.0,0.0,0.0
2003-06-01,1978.0,36861.0,36861.0,0.0,0.0,0.0
2003-07-01,26049.0,360564.0,360564.0,0.0,0.0,0.0
2003-08-01,21588.0,314826.0,314826.0,0.0,0.0,0.0
2003-09-01,2024.0,28872.0,28872.0,0.0,0.0,0.0
2003-10-01,-151.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-227.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-187.0,0.0,0.0
2004-04-01,-145.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,-144.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,-144.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,1992.0,1992.0
