measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1602.0,24619.0,24619.0,-552.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,7724.0,114453.0,114453.0,-515.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,271.0,6026.0,6026.0,0.0,0.0,0.0,359.0,7881.0,7881.0,-478.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,108.0,1960.0,1960.0,0.0,0.0,0.0,1003.0,17896.0,17896.0,-445.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,1532.0,22846.0,22846.0,7666.0,113429.0,113429.0,17739.0,261327.0,261327.0,,,,0.0,0.0,0.0
2003-06-01,686.0,9964.0,9964.0,23127.0,264480.0,264480.0,5032.0,73430.0,73430.0,64807.0,745074.0,745074.0,,,,0.0,0.0,0.0
2003-07-01,48.0,795.0,795.0,6012.0,77401.0,77401.0,1983.0,29935.0,29935.0,42986.0,548615.0,548615.0,,,,0.0,0.0,0.0
2003-08-01,8.0,128.0,128.0,0.0,0.0,0.0,6349.0,93070.0,93070.0,44189.0,543989.0,543989.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1301.0,21642.0,21642.0,18097.0,234028.0,234028.0,,,,0.0,0.0,0.0
2003-10-01,26.0,464.0,464.0,0.0,0.0,0.0,3748.0,60158.0,60158.0,26685.0,353692.0,353692.0,,,,0.0,0.0,0.0
2003-11-01,196.0,3886.0,3886.0,0.0,0.0,0.0,671.0,12472.0,12472.0,7973.0,116220.0,116220.0,,,,0.0,0.0,0.0
2003-12-01,243.0,4153.0,4153.0,65.0,1148.0,1148.0,864.0,14503.0,14503.0,2580.0,43156.0,43156.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2146.0,36919.0,36919.0,2409.0,42874.0,42874.0,,,,0.0,0.0,0.0
