measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,9.372,132.0,132.0
2004-02-01,0.0,0.0,0.0,9.678,136.0,136.0
2004-03-01,0.0,0.0,0.0,9.433,133.0,133.0
2004-04-01,0.0,0.0,0.0,10.314,145.0,145.0
2004-05-01,0.0,0.0,0.0,13.274000000000001,187.0,187.0
2004-06-01,0.0,0.0,0.0,16.64,234.0,234.0
2004-07-01,0.0,0.0,0.0,21.881,308.0,308.0
2004-08-01,0.0,0.0,0.0,20.836000000000002,293.0,293.0
2004-09-01,0.0,0.0,0.0,14.707,207.0,207.0
2004-10-01,0.0,0.0,0.0,13.512,190.0,190.0
2004-11-01,0.0,0.0,0.0,7.225,102.0,102.0
2004-12-01,0.0,0.0,0.0,8.128,114.0,114.0
2005-01-01,,,,1300.338,17202.44,17202.44
2005-02-01,,,,1079.4660000000001,14280.49,14280.49
2005-03-01,,,,1336.8310000000001,17685.22,17685.22
2005-04-01,,,,1317.191,17425.4,17425.4
2005-05-01,,,,1552.756,20541.73,20541.73
2005-06-01,,,,1959.621,25924.24,25924.24
2005-07-01,,,,2455.991,32490.82,32490.82
2005-08-01,,,,2544.14,33656.96,33656.96
2005-09-01,,,,1935.932,25610.85,25610.85
2005-10-01,,,,1546.573,20459.94,20459.94
2005-11-01,,,,1319.4830000000002,17455.72,17455.72
2005-12-01,,,,1287.68,17034.99,17034.99
2006-01-01,,,,998.885,13179.0,13179.0
2006-02-01,,,,1185.086,15635.0,15635.0
2006-03-01,,,,1351.7,17834.0,17834.0
2006-04-01,,,,1511.9060000000002,19947.0,19947.0
2006-05-01,,,,1751.164,23104.0,23104.0
2006-06-01,,,,2231.46,29441.0,29441.0
2006-07-01,,,,2805.4320000000002,37013.0,37013.0
2006-08-01,,,,2840.8120000000004,37480.0,37480.0
2006-09-01,,,,1932.895,25502.0,25502.0
2006-10-01,,,,1750.065,23089.0,23089.0
2006-11-01,,,,1299.6960000000001,17148.0,17148.0
2006-12-01,,,,1354.8990000000001,17876.0,17876.0
2007-01-01,,,,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0
2007-07-01,,,,1161.0,14368.0,14368.0
2007-08-01,,,,6127.0,85983.0,85983.0
2007-09-01,,,,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0
2008-01-01,,,,0.0,0.0,0.0
2008-02-01,,,,0.0,0.0,0.0
2008-03-01,,,,0.0,0.0,0.0
2008-04-01,,,,0.0,0.0,0.0
2008-05-01,,,,580.0,13997.0,13997.0
2008-06-01,,,,881.0,21263.0,21263.0
2008-07-01,,,,0.0,0.0,0.0
2008-08-01,,,,0.0,0.0,0.0
2008-09-01,,,,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0
2009-01-01,,,,0.0,0.0,0.0
2009-02-01,,,,45.59,1241.0,1241.0
2009-03-01,,,,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0
2009-06-01,,,,1675.19,23678.0,23678.0
2009-07-01,,,,0.0,0.0,0.0
2009-08-01,,,,0.0,0.0,0.0
2009-09-01,,,,0.0,0.0,0.0
2009-10-01,,,,0.0,0.0,0.0
2009-11-01,,,,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0
2010-02-01,,,,0.0,0.0,0.0
2010-03-01,,,,0.0,0.0,0.0
2010-04-01,,,,196.0,13119.0,13119.0
2010-05-01,,,,0.0,162.0,162.0
2010-06-01,,,,13026.0,186502.0,186502.0
2010-07-01,,,,2595.0,32090.0,32090.0
2010-08-01,,,,0.0,0.0,0.0
2010-09-01,,,,0.0,207.0,207.0
2010-10-01,,,,1330.0,18939.0,18939.0
2010-11-01,,,,0.0,1222.0,1222.0
2010-12-01,,,,0.0,0.0,0.0
2011-01-01,,,,0.0,0.0,0.0
2011-02-01,,,,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0
2011-04-01,,,,0.0,87.0,87.0
2011-05-01,,,,124.0,7712.0,7712.0
2011-06-01,,,,4114.0,51910.0,51910.0
2011-07-01,,,,14258.0,194538.0,194538.0
2011-08-01,,,,23123.0,317156.0,317156.0
2011-09-01,,,,3527.0,44304.0,44304.0
2011-10-01,,,,0.0,0.0,0.0
2011-11-01,,,,0.0,46.0,46.0
2011-12-01,,,,0.0,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0
2012-04-01,,,,1772.0,30388.0,30388.0
2012-05-01,,,,7380.0,103251.0,103251.0
2012-06-01,,,,5661.0,84768.0,84768.0
2012-07-01,,,,6195.0,95405.0,95405.0
2012-08-01,,,,2676.0,39832.0,39832.0
2012-09-01,,,,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0
2013-01-01,,,,0.0,91.0,91.0
2013-02-01,,,,0.0,0.0,0.0
2013-03-01,,,,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0
2013-05-01,,,,664.0,10887.0,10887.0
2013-06-01,,,,0.0,0.0,0.0
2013-07-01,,,,699.0,10566.0,10566.0
2013-08-01,,,,0.0,0.0,0.0
2013-09-01,,,,0.0,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0
2013-11-01,,,,678.0,10550.0,10550.0
2013-12-01,,,,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0
2014-03-01,,,,367.63,6050.0,6050.0
2014-04-01,,,,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0
2014-06-01,,,,512.16,6893.0,6893.0
2014-07-01,,,,0.0,0.0,0.0
2014-08-01,,,,0.0,0.0,0.0
2014-09-01,,,,692.58,10337.0,10337.0
2014-10-01,,,,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0
2015-01-01,,,,0.0,0.0,0.0
2015-02-01,,,,0.0,0.0,0.0
2015-03-01,,,,0.0,0.0,0.0
2015-04-01,,,,0.0,0.0,0.0
2015-05-01,,,,0.0,0.0,0.0
2015-06-01,,,,572.0,8186.0,8186.0
2015-07-01,,,,598.0,10014.0,10014.0
2015-08-01,,,,977.0,15424.0,15424.0
2015-09-01,,,,0.0,0.0,0.0
2015-10-01,,,,3014.0,29670.0,29670.0
2015-11-01,,,,370.0,3654.0,3654.0
2015-12-01,,,,0.0,0.0,0.0
2016-01-01,,,,0.0,0.0,0.0
2016-02-01,,,,0.0,0.0,0.0
2016-03-01,,,,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0
2016-05-01,,,,395.0,6183.0,6183.0
2016-06-01,,,,2112.0,31080.0,31080.0
2016-07-01,,,,2210.0,33865.0,33865.0
2016-08-01,,,,1117.0,17447.0,17447.0
2016-09-01,,,,568.0,8277.0,8277.0
2016-10-01,,,,1644.0,26025.0,26025.0
2016-11-01,,,,484.0,4799.0,4799.0
2016-12-01,,,,0.0,0.0,0.0
2017-01-01,,,,0.0,0.0,0.0
2017-02-01,,,,0.0,0.0,0.0
2017-03-01,,,,0.0,0.0,0.0
2017-04-01,,,,0.0,0.0,0.0
2017-05-01,,,,0.0,0.0,0.0
2017-06-01,,,,0.0,0.0,0.0
2017-07-01,,,,0.0,0.0,0.0
2017-08-01,,,,1131.0,16401.0,16401.0
2017-09-01,,,,0.0,0.0,0.0
2017-10-01,,,,0.0,0.0,0.0
2017-11-01,,,,0.0,0.0,0.0
2017-12-01,,,,0.0,0.0,0.0
2018-01-01,,,,583.0,9762.0,9762.0
2018-02-01,,,,0.0,0.0,0.0
2018-03-01,,,,0.0,0.0,0.0
2018-04-01,,,,0.0,0.0,0.0
2018-05-01,,,,1897.0,29299.0,29299.0
2018-06-01,,,,708.0,10905.0,10905.0
2018-07-01,,,,2001.0,33792.0,33792.0
2018-08-01,,,,0.0,0.0,0.0
2018-09-01,,,,0.0,0.0,0.0
2018-10-01,,,,0.0,0.0,0.0
2018-11-01,,,,728.0,11540.0,11540.0
2018-12-01,,,,0.0,0.0,0.0
2019-01-01,,,,0.0,0.0,0.0
2019-02-01,,,,0.0,0.0,0.0
2019-03-01,,,,0.0,0.0,0.0
2019-04-01,,,,0.0,0.0,0.0
2019-05-01,,,,0.0,0.0,0.0
2019-06-01,,,,0.0,0.0,0.0
2019-07-01,,,,0.0,0.0,0.0
2019-08-01,,,,0.0,0.0,0.0
2019-09-01,,,,3839.0,58845.0,58845.0
2019-10-01,,,,7352.0,113645.0,113645.0
2019-11-01,,,,292.0,1639.0,1639.0
2019-12-01,,,,0.0,0.0,0.0
2020-01-01,,,,0.0,0.0,0.0
2020-02-01,,,,0.0,0.0,0.0
2020-03-01,,,,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0
2020-09-01,,,,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0
