measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2002-01-01,-8.218,0.0,32.0
2002-02-01,-7.23,0.0,28.0
2002-03-01,-7.679,0.0,30.0
2002-04-01,-7.402,0.0,28.0
2002-05-01,-7.8660000000000005,0.0,30.0
2002-06-01,-8.863,0.0,34.0
2002-07-01,-10.27,0.0,40.0
2002-08-01,-9.532,0.0,37.0
2002-09-01,-8.721,0.0,34.0
2002-10-01,-8.392000000000001,0.0,32.0
2002-11-01,-8.216000000000001,0.0,32.0
2002-12-01,-8.612,0.0,33.0
2003-01-01,-9.651,51.0,51.0
2003-02-01,-9.253,49.0,49.0
2003-03-01,-9.349,50.0,50.0
2003-04-01,-8.547,45.0,45.0
2003-05-01,-8.7,46.0,46.0
2003-06-01,-9.09,48.0,48.0
2003-07-01,-10.524000000000001,56.0,56.0
2003-08-01,-11.262,60.0,60.0
2003-09-01,-9.604000000000001,51.0,51.0
2003-10-01,-9.354000000000001,50.0,50.0
2003-11-01,-9.405,50.0,50.0
2003-12-01,-10.261000000000001,54.0,54.0
2004-01-01,-31.217000000000002,163.0,163.0
2004-02-01,-11.862,62.0,62.0
2004-03-01,-0.624,3.0,3.0
2004-04-01,-8.741,46.0,46.0
2004-05-01,-9.989,52.0,52.0
2004-06-01,-24.349,127.0,127.0
2004-07-01,-11.238000000000001,59.0,59.0
2004-08-01,-2.4970000000000003,13.0,13.0
2004-09-01,-8.741,46.0,46.0
2004-10-01,-2.4970000000000003,13.0,13.0
2004-11-01,0.0,0.0,0.0
2004-12-01,-6.243,33.0,33.0
2005-01-01,28.486,564.06,564.06
2005-02-01,9.787,193.79,193.79
2005-03-01,10.848,214.79,214.79
2005-04-01,13.139000000000001,260.18,260.18
2005-05-01,12.203000000000001,241.64,241.64
2005-06-01,15.839,313.62,313.62
2005-07-01,16.122,319.23,319.23
2005-08-01,18.939,375.02,375.02
2005-09-01,12.398000000000001,245.49,245.49
2005-10-01,13.768,272.62,272.62
2005-11-01,11.068000000000001,219.17,219.17
2005-12-01,23.403000000000002,463.41,463.41
2006-01-01,-1.88,378.0,378.0
2006-02-01,-0.9840000000000001,198.0,198.0
2006-03-01,-0.8270000000000001,166.0,166.0
2006-04-01,-1.5830000000000002,319.0,319.0
2006-05-01,-1.48,298.0,298.0
2006-06-01,-1.345,271.0,271.0
2006-07-01,-1.9480000000000002,392.0,392.0
2006-08-01,-1.89,380.0,380.0
2006-09-01,-0.868,175.0,175.0
2006-10-01,-0.917,185.0,185.0
2006-11-01,-1.08,217.0,217.0
2006-12-01,-1.197,241.0,241.0
2007-01-01,21.493000000000002,400.0,400.0
2007-02-01,66.402,1247.0,1247.0
2007-03-01,12.504000000000001,232.0,232.0
2007-04-01,12.224,232.0,232.0
2007-05-01,13.429,249.0,249.0
2007-06-01,19.428,365.0,365.0
2007-07-01,17.566000000000003,331.0,331.0
2007-08-01,34.996,655.0,655.0
2007-09-01,16.873,319.0,319.0
2007-10-01,11.028,209.0,209.0
2007-11-01,11.758000000000001,220.0,220.0
2007-12-01,12.299000000000001,232.0,232.0
2008-01-01,-21.374000000000002,23.0,23.0
2008-02-01,-20.804000000000002,23.0,23.0
2008-03-01,-12.565000000000001,12.0,12.0
2008-04-01,-13.370000000000001,12.0,12.0
2008-05-01,-7.368,6.0,6.0
2008-06-01,-22.93,23.0,23.0
2008-07-01,-12.265,12.0,12.0
2008-08-01,-6.083,6.0,6.0
2008-09-01,-8.605,6.0,6.0
2008-10-01,-3.8440000000000003,6.0,6.0
2008-11-01,-5.368,6.0,6.0
2008-12-01,-15.424000000000001,17.0,17.0
2009-01-01,-25.236,23.0,23.0
2009-02-01,-25.723000000000003,23.0,23.0
2009-03-01,-28.354000000000003,23.0,23.0
2009-04-01,-21.501,17.0,17.0
2009-05-01,-41.538000000000004,35.0,35.0
2009-06-01,-29.399,23.0,23.0
2009-07-01,-21.826,17.0,17.0
2009-08-01,-29.87,23.0,23.0
2009-09-01,-12.97,12.0,12.0
2009-10-01,-17.639,12.0,12.0
2009-11-01,-21.017,17.0,17.0
2009-12-01,-28.927000000000003,23.0,23.0
2010-01-01,-19.269000000000002,23.0,23.0
2010-02-01,-12.363000000000001,17.0,17.0
2010-03-01,-7.48,12.0,12.0
2010-04-01,-6.684,6.0,6.0
2010-05-01,-8.205,12.0,12.0
2010-06-01,-5.888,6.0,6.0
2010-07-01,-8.907,12.0,12.0
2010-08-01,-24.906000000000002,29.0,29.0
2010-09-01,-21.921,29.0,29.0
2010-10-01,-11.075000000000001,12.0,12.0
2010-11-01,-6.865,12.0,12.0
2010-12-01,-16.437,23.0,23.0
2011-01-01,-4.555,12.0,12.0
2011-02-01,-6.993,12.0,12.0
2011-03-01,-8.237,17.0,17.0
2011-04-01,-13.613,29.0,29.0
2011-05-01,-10.047,17.0,17.0
2011-06-01,-13.929,29.0,29.0
2011-07-01,-18.383,35.0,35.0
2011-08-01,-14.526,29.0,29.0
2011-09-01,-6.2,12.0,12.0
2011-10-01,-3.966,6.0,6.0
2011-11-01,-10.102,17.0,17.0
2011-12-01,-14.449,29.0,29.0
2012-01-01,-5.664,12.0,12.0
2012-02-01,-5.304,12.0,12.0
2012-03-01,-3.507,12.0,12.0
2012-04-01,-2.184,6.0,6.0
2012-05-01,-6.691,17.0,17.0
2012-06-01,-7.996,23.0,23.0
2012-07-01,-24.838,64.0,64.0
2012-08-01,-4.106,12.0,12.0
2012-09-01,-8.975,23.0,23.0
2012-10-01,-8.005,23.0,23.0
2012-11-01,-13.909,35.0,35.0
2012-12-01,-3.821,12.0,12.0
2013-01-01,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0
2014-01-01,-21.608,52.0,52.0
2014-02-01,-9.008,17.0,17.0
2014-03-01,-16.005,29.0,29.0
2014-04-01,-4.033,6.0,6.0
2014-05-01,-7.403,12.0,12.0
2014-06-01,-2.504,6.0,6.0
2014-07-01,-10.105,17.0,17.0
2014-08-01,-8.431,17.0,17.0
2014-09-01,-2.972,6.0,6.0
2014-10-01,-6.144,12.0,12.0
2014-11-01,-13.388,23.0,23.0
2014-12-01,-6.399,12.0,12.0
2015-01-01,-19.945,58.0,58.0
2015-02-01,-9.804,23.0,23.0
2015-03-01,-12.53,29.0,29.0
2015-04-01,-6.349,17.0,17.0
2015-05-01,-11.436,29.0,29.0
2015-06-01,-3.276,6.0,6.0
2015-07-01,-4.189,12.0,12.0
2015-08-01,-14.642,35.0,35.0
2015-09-01,-8.207,17.0,17.0
2015-10-01,-8.159,17.0,17.0
2015-11-01,-8.868,23.0,23.0
2015-12-01,-7.595,17.0,17.0
2016-01-01,-10.01,6.0,6.0
2016-02-01,-18.909,17.0,17.0
2016-03-01,-11.258,12.0,12.0
2016-04-01,-11.834,12.0,12.0
2016-05-01,-8.02,6.0,6.0
2016-06-01,-6.657,6.0,6.0
2016-07-01,-12.732,12.0,12.0
2016-08-01,-19.154,17.0,17.0
2016-09-01,-14.232,12.0,12.0
2016-10-01,-6.291,6.0,6.0
2016-11-01,-4.56,6.0,6.0
2016-12-01,-7.343,6.0,6.0
2017-01-01,-8.968,6.0,6.0
2017-02-01,-6.564,6.0,6.0
2017-03-01,-7.337,6.0,6.0
2017-04-01,-8.343,6.0,6.0
2017-05-01,-10.235,6.0,6.0
2017-06-01,-9.19,6.0,6.0
2017-07-01,-7.723,6.0,6.0
2017-08-01,-7.797,6.0,6.0
2017-09-01,-7.424,6.0,6.0
2017-10-01,-8.639,6.0,6.0
2017-11-01,-12.227,17.0,17.0
2017-12-01,-10.553,12.0,12.0
2018-01-01,-8.242,0.0,0.0
2018-02-01,-5.298,0.0,0.0
2018-03-01,-7.188,0.0,0.0
2018-04-01,-7.368,0.0,0.0
2018-05-01,-10.121,0.0,0.0
2018-06-01,-7.018,0.0,0.0
2018-07-01,-5.536,0.0,0.0
2018-08-01,-6.795,0.0,0.0
2018-09-01,-7.572,0.0,0.0
2018-10-01,-7.6,0.0,0.0
2018-11-01,-7.839,0.0,0.0
2018-12-01,-7.423,0.0,0.0
2019-01-01,-6.5,0.0,0.0
2019-02-01,-6.22,0.0,0.0
2019-03-01,-8.025,0.0,0.0
2019-04-01,-6.283,0.0,0.0
2019-05-01,-5.635,0.0,0.0
2019-06-01,-8.759,0.0,0.0
2019-07-01,-6.787,0.0,0.0
2019-08-01,-5.226,0.0,0.0
2019-09-01,-5.783,0.0,0.0
2019-10-01,-5.837,0.0,0.0
2019-11-01,-7.406,0.0,0.0
2019-12-01,-5.539,0.0,0.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0
2020-12-01,-112.0,6.0,6.0
2021-01-01,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,-2.0,52.0,52.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
