measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,-14.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,-13.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,15.0,416.0,416.0
2003-04-01,0.0,0.0,0.0,-11.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,-1.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,-8.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,64.0,1256.0,1256.0
2003-08-01,0.0,0.0,0.0,776.0,13988.0,13988.0
2003-09-01,0.0,0.0,0.0,57.0,909.0,909.0
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-14.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,63.911,1244.0,1244.0
2004-02-01,0.0,0.0,0.0,26.554000000000002,517.0,517.0
2004-03-01,0.0,0.0,0.0,51.78,1008.0,1008.0
2004-04-01,0.0,0.0,0.0,19.38,377.0,377.0
2004-05-01,0.0,0.0,0.0,32.318000000000005,629.0,629.0
2004-06-01,0.0,0.0,0.0,30.96,603.0,603.0
2004-07-01,0.0,0.0,0.0,49.58,965.0,965.0
2004-08-01,0.0,0.0,0.0,13.272,258.0,258.0
2004-09-01,0.0,0.0,0.0,23.985,467.0,467.0
2004-10-01,0.0,0.0,0.0,4.765,93.0,93.0
2004-11-01,0.0,0.0,0.0,14.472000000000001,282.0,282.0
2004-12-01,0.0,0.0,0.0,19.023,370.0,370.0
2005-01-01,,,,82.497,780.24,780.24
2005-02-01,,,,65.998,624.2,624.2
