measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,539.0,4223.0,4223.0,22449.0,298418.0,298418.0
2003-02-01,1588.0,20764.0,20764.0,52041.0,569024.0,569024.0
2003-03-01,2432.0,33027.0,33027.0,69695.0,770695.0,770695.0
2003-04-01,4071.0,54132.0,54132.0,69658.0,832082.0,832082.0
2003-05-01,6074.0,71032.0,71032.0,74719.0,744362.0,744362.0
2003-06-01,633.0,8357.0,8357.0,84719.0,924392.0,924392.0
2003-07-01,562.0,6996.0,6996.0,100009.0,1077987.0,1077987.0
2003-08-01,79.0,950.0,950.0,95294.0,988295.0,988295.0
2003-09-01,229.0,2870.0,2870.0,82968.0,990828.0,990828.0
2003-10-01,518.0,6105.0,6105.0,81418.0,891004.0,891004.0
2003-11-01,94.0,1102.0,1102.0,94716.0,1038768.0,1038768.0
2003-12-01,23.0,390.0,390.0,100595.0,1092012.0,1092012.0
2004-01-01,163.606,1599.0,1599.0,87928.125,932224.0,932224.0
2004-02-01,168.243,1644.0,1644.0,87010.157,922491.0,922491.0
2004-03-01,88.733,867.0,867.0,81021.075,858994.0,858994.0
2004-04-01,208.42600000000002,2037.0,2037.0,76214.543,808035.0,808035.0
2004-05-01,138.765,1356.0,1356.0,84805.45,899117.0,899117.0
2004-06-01,65.88600000000001,644.0,644.0,79800.187,846050.0,846050.0
2004-07-01,248.954,2433.0,2433.0,89490.592,948789.0,948789.0
2004-08-01,163.847,1601.0,1601.0,91555.17,970678.0,970678.0
2004-09-01,99.44200000000001,972.0,972.0,80755.377,856177.0,856177.0
2004-10-01,85.62700000000001,837.0,837.0,78595.125,833274.0,833274.0
2004-11-01,190.346,1860.0,1860.0,76369.099,809673.0,809673.0
2004-12-01,165.126,1614.0,1614.0,89604.101,949992.0,949992.0
2005-01-01,99.53200000000001,1097.2,1097.2,79015.532,832596.67,832596.67
2005-02-01,82.626,910.84,910.84,68796.14199999999,724913.65,724913.65
2005-03-01,102.325,1128.0,1128.0,71375.808,752095.93,752095.93
2005-04-01,100.822,1111.42,1111.42,63609.885,670265.41,670265.41
2005-05-01,118.85300000000001,1310.19,1310.19,69830.865,735816.66,735816.66
2005-06-01,149.995,1653.5,1653.5,77777.102,819547.17,819547.17
2005-07-01,187.989,2072.32,2072.32,82218.626,866348.07,866348.07
2005-08-01,194.73600000000002,2146.7,2146.7,83133.387,875987.02,875987.02
2005-09-01,148.18200000000002,1633.51,1633.51,76184.819,802769.08,802769.08
2005-10-01,118.379,1304.97,1304.97,71942.293,758065.05,758065.05
2005-11-01,100.997,1113.36,1113.36,70140.402,739078.3,739078.3
2005-12-01,98.563,1086.52,1086.52,78332.14,825395.68,825395.68
2006-01-01,125.11,1506.0,1506.0,79294.012,976300.0,976300.0
2006-02-01,148.43200000000002,1787.0,1787.0,72329.122,890545.0,890545.0
2006-03-01,169.3,2038.0,2038.0,73693.897,907349.0,907349.0
2006-04-01,189.366,2280.0,2280.0,67113.955,826334.0,826334.0
2006-05-01,219.333,2641.0,2641.0,78564.552,967319.0,967319.0
2006-06-01,279.49,3365.0,3365.0,84884.175,1045128.0,1045128.0
2006-07-01,351.38,4231.0,4231.0,90654.811,1116179.0,1116179.0
2006-08-01,355.81100000000004,4284.0,4284.0,91727.061,1129381.0,1129381.0
2006-09-01,242.095,2915.0,2915.0,80984.601,997115.0,997115.0
2006-10-01,219.195,2639.0,2639.0,77226.50200000001,950844.0,950844.0
2006-11-01,162.787,1960.0,1960.0,76053.72,936404.0,936404.0
2006-12-01,169.70100000000002,2043.0,2043.0,83281.592,1025397.0,1025397.0
2007-01-01,466.64700000000005,5518.0,5518.0,90485.353,1069939.0,1069939.0
2007-02-01,208.166,2754.0,2754.0,70623.834,934320.0,934320.0
2007-03-01,248.405,3197.0,3197.0,57255.595,736923.0,736923.0
2007-04-01,122.52600000000001,1445.0,1445.0,85795.474,1011958.0,1011958.0
2007-05-01,178.08800000000002,2121.0,2121.0,84837.912,1010633.0,1010633.0
2007-06-01,434.192,5119.0,5119.0,84638.808,997952.0,997952.0
2007-07-01,61.803000000000004,723.0,723.0,104222.197,1219404.0,1219404.0
2007-08-01,1842.343,18039.0,18039.0,100562.657,984618.0,984618.0
2007-09-01,36771.28,458259.0,458259.0,57283.72,713893.0,713893.0
2007-10-01,225.65300000000002,4028.0,4028.0,56602.347,1010333.0,1010333.0
2007-11-01,122.26700000000001,1614.0,1614.0,58991.733,778497.0,778497.0
2007-12-01,7974.191000000001,96496.0,96496.0,86539.809,1047227.0,1047227.0
2008-01-01,197.37800000000001,2413.0,2413.0,97763.622,1195004.0,1195004.0
2008-02-01,139.906,1704.0,1704.0,93460.094,1138169.0,1138169.0
2008-03-01,60.108000000000004,745.0,745.0,39639.892,491624.0,491624.0
2008-04-01,94.687,4514.0,4514.0,4381.313,208889.0,208889.0
2008-05-01,221.806,2557.0,2557.0,81096.194,934945.0,934945.0
2008-06-01,227.734,2745.0,2745.0,91601.266,1104230.0,1104230.0
2008-07-01,281.225,3429.0,3429.0,101299.775,1235288.0,1235288.0
2008-08-01,228.922,2826.0,2826.0,96096.078,1186480.0,1186480.0
2008-09-01,328.575,4092.0,4092.0,85900.425,1069699.0,1069699.0
2008-10-01,310.41700000000003,4027.0,4027.0,60141.583,780272.0,780272.0
2008-11-01,312.15700000000004,3909.0,3909.0,49483.843,619587.0,619587.0
2008-12-01,157.663,2027.0,2027.0,74847.337,962053.0,962053.0
2009-01-01,97.299,1206.0,1206.0,47815.701,592566.0,592566.0
2009-02-01,34.485,483.0,483.0,21071.515,294834.0,294834.0
2009-03-01,1188.475,15311.0,15311.0,43119.525,555492.0,555492.0
2009-04-01,538.083,6726.0,6726.0,73494.917,918718.0,918718.0
2009-05-01,496.002,6247.0,6247.0,85831.998,1081111.0,1081111.0
2009-06-01,352.982,4396.0,4396.0,86406.018,1076138.0,1076138.0
2009-07-01,540.135,6703.0,6703.0,79273.865,983715.0,983715.0
2009-08-01,377.142,4640.0,4640.0,84580.85800000001,1040536.0,1040536.0
2009-09-01,145.627,1780.0,1780.0,86786.373,1061049.0,1061049.0
2009-10-01,484.47,6049.0,6049.0,68982.53,861286.0,861286.0
2009-11-01,76.976,997.0,997.0,51005.024,660623.0,660623.0
2009-12-01,489.096,6729.0,6729.0,50186.904,690500.0,690500.0
2010-01-01,216.48700000000002,2742.0,2742.0,44805.513,567564.0,567564.0
2010-02-01,32.427,476.0,476.0,20698.573,303960.0,303960.0
2010-03-01,45.844,670.0,670.0,13776.156,201404.0,201404.0
2010-04-01,574.469,7841.0,7841.0,40666.531,555048.0,555048.0
2010-05-01,373.648,5244.0,5244.0,38058.352,534101.0,534101.0
2010-06-01,525.135,6930.0,6930.0,56142.865,740887.0,740887.0
2010-07-01,545.716,7096.0,7096.0,57778.284,751297.0,751297.0
2010-08-01,652.005,8195.0,8195.0,62211.995,781938.0,781938.0
2010-09-01,772.152,9598.0,9598.0,80089.848,995532.0,995532.0
2010-10-01,542.558,6340.0,6340.0,48026.442,561167.0,561167.0
2010-11-01,401.40200000000004,5240.0,5240.0,65302.598,852488.0,852488.0
2010-12-01,302.26,3774.0,3774.0,76269.74,952241.0,952241.0
2011-01-01,374.899,4671.0,4671.0,78582.101,979098.0,979098.0
2011-02-01,583.56,7332.0,7332.0,41430.44,520556.0,520556.0
2011-03-01,207.269,2301.0,2301.0,14262.731,158356.0,158356.0
2011-04-01,827.098,11132.0,11132.0,56389.902,758977.0,758977.0
2011-05-01,187.568,2387.0,2387.0,28675.432,364987.0,364987.0
2011-06-01,27.147,431.0,431.0,19227.853,305460.0,305460.0
2011-07-01,858.721,14332.0,14332.0,31689.279,528896.0,528896.0
2011-08-01,680.823,8948.0,8948.0,71580.177,940735.0,940735.0
2011-09-01,697.962,9047.0,9047.0,65100.038,843832.0,843832.0
2011-10-01,726.638,9509.0,9509.0,76613.362,1002573.0,1002573.0
2011-11-01,536.442,6791.0,6791.0,21565.558,273008.0,273008.0
2011-12-01,664.493,8763.0,8763.0,63705.507,840107.0,840107.0
2012-01-01,632.938,8140.0,8140.0,65024.062,836205.0,836205.0
2012-02-01,790.367,10058.0,10058.0,62225.633,791866.0,791866.0
2012-03-01,340.185,4416.0,4416.0,53176.815,690351.0,690351.0
2012-04-01,241.153,2562.0,2562.0,20886.847,221871.0,221871.0
2012-05-01,580.07,7917.0,7917.0,55700.93,760195.0,760195.0
