measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,100.0,1033.3,1033.3
2001-02-01,125.0,1291.63,1291.63
2001-03-01,142.0,1467.29,1467.29
2001-04-01,123.0,1270.96,1270.96
2001-05-01,323.0,3337.56,3337.56
2001-06-01,415.0,4288.2,4288.2
2001-07-01,208.0,2149.26,2149.26
2001-08-01,383.0,3957.54,3957.54
2001-09-01,239.0,2469.59,2469.59
2001-10-01,201.0,2076.93,2076.93
2001-11-01,114.0,1177.96,1177.96
2001-12-01,215.0,2221.6,2221.6
2002-01-01,70.0,712.11,712.11
2002-02-01,62.0,630.73,630.73
2002-03-01,98.0,996.95,996.95
2002-04-01,131.0,1332.66,1332.66
2002-05-01,271.0,2756.88,2756.88
2002-06-01,271.0,2756.88,2756.88
2002-07-01,404.0,4109.89,4109.89
2002-08-01,32.0,325.54,325.54
2002-09-01,91.0,925.74,925.74
2002-10-01,29.0,295.02,295.02
2002-11-01,40.0,406.92,406.92
2002-12-01,30.0,305.19,305.19
