measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,23.52,545.0,545.0
2003-04-01,0.0,0.0,0.0
2003-05-01,17.64,249.0,249.0
2003-06-01,0.0,0.0,0.0
2003-07-01,25.48,331.0,331.0
2003-08-01,21.56,261.0,261.0
2003-09-01,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0
2003-12-01,218.54,3445.0,3445.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,0.9440000000000001,12.0,12.0
2008-02-01,1.367,17.0,17.0
2008-03-01,3.414,41.0,41.0
2008-04-01,2.394,29.0,29.0
2008-05-01,1.139,12.0,12.0
2008-06-01,0.782,12.0,12.0
2008-07-01,0.734,6.0,6.0
2008-08-01,0.6970000000000001,6.0,6.0
2008-09-01,2.313,29.0,29.0
2008-10-01,1.323,17.0,17.0
2008-11-01,0.7020000000000001,6.0,6.0
2008-12-01,7.191000000000001,87.0,87.0
2009-01-01,106.884,934.0,934.0
2009-02-01,104.77,916.0,916.0
2009-03-01,265.713,2332.0,2332.0
2009-04-01,164.036,1438.0,1438.0
2009-05-01,54.497,476.0,476.0
2009-06-01,116.512,1021.0,1021.0
2009-07-01,49.797000000000004,435.0,435.0
2009-08-01,134.025,1177.0,1177.0
2009-09-01,104.405,916.0,916.0
2009-10-01,61.688,539.0,539.0
2009-11-01,57.336000000000006,505.0,505.0
2009-12-01,73.337,644.0,644.0
2010-01-01,61.947,974.0,974.0
2010-02-01,73.75500000000001,1166.0,1166.0
2010-03-01,65.217,1032.0,1032.0
2010-04-01,55.99,887.0,887.0
2010-05-01,51.111000000000004,812.0,812.0
2010-06-01,122.673,1943.0,1943.0
2010-07-01,68.372,1085.0,1085.0
2010-08-01,52.822,835.0,835.0
