measured_on,"Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,11444.09,228735.0,228735.0,633.474,6400.0,6400.0
2003-02-01,10088.471,201640.0,201640.0,558.435,5642.0,5642.0
2003-03-01,10019.061,200252.0,200252.0,554.5930000000001,5603.0,5603.0
2003-04-01,10104.51,201960.0,201960.0,559.323,5651.0,5651.0
2003-05-01,12023.207,240310.0,240310.0,665.53,6724.0,6724.0
2003-06-01,12552.261,250884.0,250884.0,694.815,7020.0,7020.0
2003-07-01,13693.891,273702.0,273702.0,758.009,7658.0,7658.0
2003-08-01,14474.722000000002,289308.0,289308.0,801.231,8095.0,8095.0
2003-09-01,11883.552,237518.0,237518.0,657.799,6646.0,6646.0
2003-10-01,10772.571,215313.0,215313.0,596.302,6025.0,6025.0
2003-11-01,10200.151,203872.0,203872.0,564.6170000000001,5705.0,5705.0
2003-12-01,10549.472,210854.0,210854.0,583.953,5900.0,5900.0
2004-01-01,9831.873,179830.0,179830.0,489.89700000000005,8960.0,8960.0
2004-02-01,11711.497,231713.0,231713.0,181.673,3595.0,3595.0
2004-03-01,13865.181,251258.0,251258.0,190.119,3445.0,3445.0
2004-04-01,12066.971,240557.0,240557.0,240.389,4792.0,4792.0
2004-05-01,14164.706,254818.0,254818.0,233.00400000000002,4192.0,4192.0
2004-06-01,13075.144,226113.0,226113.0,301.156,5209.0,5209.0
2004-07-01,12140.635,225574.0,225574.0,458.695,8523.0,8523.0
2004-08-01,11885.019,177680.0,177680.0,423.31100000000004,6328.0,6328.0
2004-09-01,15574.097000000002,208462.0,208462.0,274.733,3678.0,3678.0
2004-10-01,12469.069,247005.0,247005.0,436.781,8652.0,8652.0
2004-11-01,11103.642,239579.0,239579.0,283.188,6110.0,6110.0
2004-12-01,12374.588,278042.0,278042.0,227.65200000000002,5115.0,5115.0
2005-01-01,9267.52795,50037.13,235266.18,428.59205,2314.05,10880.27
2005-02-01,9838.63769,53120.66,255672.36,137.81231,744.07,3581.27
2005-03-01,11181.52523,60371.16,259933.92,96.66476999999999,521.91,2247.14
2005-04-01,10295.43388,55586.99,245553.3,270.77612,1461.97,6458.2
2005-05-01,13421.27108,72463.97,299295.36,595.22892,3213.75,13273.65
2005-06-01,12363.54059,66753.08,216473.16,761.52941,4111.64,13333.61
2005-07-01,12383.78307,66862.38,346006.18,294.11693,1587.99,8217.71
2005-08-01,12790.76101,69059.73,227773.26,74.34899,401.42,1323.98
2005-09-01,11828.02491,63861.73,255520.62,240.71509,1299.67,5200.16
2005-10-01,11656.30815,62934.6,259423.14,210.67185,1137.46,4688.72
2005-11-01,10703.85928,57792.15,257047.08,196.03072,1058.41,4707.57
2005-12-01,10782.95325,58219.2,271513.44,122.75675,662.79,3091.0
2006-01-01,9958.59097,53768.31,235455.18,286.54903,1547.13,6775.0
2006-02-01,7785.397800000001,42034.83,205969.68,339.3222,1832.06,8977.07
2006-03-01,10290.13816,55558.39,292687.32,79.16184,427.41,2251.64
2006-04-01,10964.96026,59201.89,254251.38,660.48974,3566.11,15315.19
2006-05-01,12385.44044,66871.33,192230.4,417.58956,2254.64,6481.27
2006-06-01,11581.6454,62531.49,241608.78,333.8346,1802.44,6964.24
2006-07-01,10662.2385,57567.43,236747.46,264.8115,1429.77,5879.95
2006-08-01,9916.36693,53540.33,175531.44,402.49307,2173.14,7124.6
2006-09-01,4400.56253,23759.47,85197.66,1207.97747,6522.1,23387.2
2006-10-01,10991.14602,59343.27,225550.08,440.30398,2377.28,9035.51
2006-11-01,10015.13615,54073.61,192793.8,456.98385,2467.34,8797.05
2006-12-01,8240.41229,44491.54,177785.4,312.07771,1684.97,6733.02
2007-01-01,8990.925000000001,48544.0,238127.0,149.385,807.0,3957.0
2007-02-01,11077.908,59812.0,248147.0,190.58200000000002,1029.0,4269.0
2007-03-01,11107.585,59972.0,287436.0,369.455,1995.0,9561.0
