measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,1.175,12.03,12.03,0.0,0.0,0.0,,,
2003-02-01,,,,1.1260000000000001,11.53,11.53,0.0,0.0,0.0,,,
2003-03-01,,,,1.1380000000000001,11.65,11.65,0.0,0.0,0.0,,,
2003-04-01,,,,1.04,10.65,10.65,0.0,0.0,0.0,,,
2003-05-01,,,,1.059,10.85,10.85,0.0,0.0,0.0,,,
2003-06-01,,,,1.107,11.34,11.34,0.0,0.0,0.0,,,
2003-07-01,,,,1.2810000000000001,13.12,13.12,0.0,0.0,0.0,,,
2003-08-01,,,,1.371,14.04,14.04,0.0,0.0,0.0,,,
2003-09-01,,,,1.169,11.97,11.97,0.0,0.0,0.0,,,
2003-10-01,,,,1.139,11.66,11.66,0.0,0.0,0.0,,,
2003-11-01,,,,1.145,11.73,11.73,0.0,0.0,0.0,,,
2003-12-01,,,,1.249,12.79,12.79,0.0,0.0,0.0,,,
2004-01-01,,,,1382.37,13854.11,13854.11,3527.28987,20339.89,439544.61,310.91313,1792.86,38743.68
2004-02-01,,,,1382.37,13854.11,13854.11,1752.99641,10108.54,213728.42,299.56259,1727.41,36523.2
2004-03-01,,,,1382.37,13854.11,13854.11,1762.73961,10164.72,213658.92,344.90139,1988.85,41804.96
2004-04-01,,,,1382.37,13854.11,13854.11,1981.93017,11428.67,243437.44,279.89083,1613.97,34378.56
2004-05-01,,,,1382.37,13854.11,13854.11,1120.04807,6458.69,132502.85,349.80993,2017.16,41382.88
2004-06-01,,,,1382.37,13854.11,13854.11,1012.22266,5836.91,120374.13,288.57034,1664.02,34316.96
2004-07-01,,,,1382.37,13854.11,13854.11,797.14024,4596.66,88165.19,662.14876,3818.24,73234.88
2004-08-01,,,,1382.37,13854.11,13854.11,996.37411,5745.52,116640.91,369.84189,2132.67,43295.68
2004-09-01,,,,1382.37,13854.11,13854.11,1034.05135,5962.79,121435.19,364.85065,2103.89,42846.72
2004-10-01,,,,1382.37,13854.11,13854.11,403.03754,2324.09,43881.7,413.25146,2382.99,44993.76
2004-11-01,,,,1382.37,13854.11,13854.11,625.49949,3606.91,70366.31,413.40851,2383.9,46506.88
2004-12-01,,,,1382.37,13854.11,13854.11,937.59801,5406.6,107739.85,460.63399,2656.22,52931.68
2005-01-01,0.31123999999999996,1.79,31.99,1507.582,15074.32,15074.32,1140.34908,6575.75,117214.19,481.40567999999996,2776.0,49482.72
2005-02-01,0.07185,0.41,7.38,1315.8010000000002,13156.69,13156.69,1012.01518,5835.72,103913.43,447.24396,2579.0,45922.88
2005-03-01,0.06147,0.35,6.32,1276.27,12761.43,12761.43,1205.33344,6950.48,124002.45,482.60909,2782.93,49649.92
2005-04-01,0.06127,0.35,6.32,1378.304,13781.67,13781.67,1231.72457,7102.66,127132.94,413.58016,2384.88,42687.84
2005-05-01,0.06224,0.36,6.39,1612.7420000000002,16125.81,16125.81,1005.22735,5796.58,103135.24,461.73741,2662.58,47373.76
2005-06-01,0.07477,0.43,7.75,1485.0320000000002,14848.83,14848.83,1692.85829,9761.76,175463.51,442.49694,2551.63,45864.48
2005-07-01,0.14085,0.81,14.63,1383.958,13838.2,13838.2,2176.50338,12550.67,226109.42,488.94876999999997,2819.49,50795.2
2005-08-01,0.12466999999999999,0.72,12.96,972.29,9721.93,9721.93,2325.78805,13411.51,241744.81,503.14528,2901.36,52297.44
2005-09-01,0.06956999999999999,0.4,7.19,828.361,8282.79,8282.79,1547.00166,8920.69,159916.41,476.24576,2746.24,49230.4
2005-10-01,0.09834,0.57,10.11,962.3340000000001,9622.38,9622.38,1076.15532,6205.58,110590.52,456.62633,2633.11,46924.96
2005-11-01,0.06654,0.38,6.82,1009.748,10096.47,10096.47,968.45777,5584.55,99267.47,466.24369,2688.57,47790.24
2005-12-01,0.18205,1.05,18.66,1186.876,11867.57,11867.57,1046.27839,6033.3,107252.01,503.64955,2904.26,51628.16
2006-01-01,0.17511,1.01,21.33,1717.035,17031.0,17031.0,964.8083,5563.51,117513.5,565.41159,3260.41,68867.04
2006-02-01,0.22058999999999998,1.27,26.72,1360.181,13492.0,13492.0,967.24276,5577.55,117170.98,516.10065,2976.06,62520.0
2006-03-01,0.40137999999999996,2.31,48.61,1039.49,10311.0,10311.0,1055.54134,6086.71,127827.22,559.15727,3224.34,67714.56
2006-04-01,0.18943,1.09,23.06,909.606,9022.0,9022.0,882.68064,5089.92,107472.5,514.03393,2964.14,62587.2
2006-05-01,0.13066,0.75,15.93,894.394,8871.0,8871.0,854.87319,4929.57,104255.79,511.97116,2952.25,62437.28
2006-06-01,0.12736999999999998,0.73,15.31,876.8530000000001,8698.0,8698.0,1109.183,6396.03,133363.25,518.41563,2989.41,62332.0
2006-07-01,0.16099,0.93,19.03,1041.625,10332.0,10332.0,1689.19643,9740.64,199719.87,566.49859,3266.68,66979.2
2006-08-01,0.16999,0.98,20.21,856.009,8491.0,8491.0,1581.38427,9118.95,188030.9,596.50374,3439.7,70925.92
2006-09-01,0.09815,0.57,11.84,953.1840000000001,9455.0,9455.0,1105.42737,6374.37,133370.33,550.10348,3172.13,66370.24
2006-10-01,0.09802,0.57,11.78,1312.404,13018.0,13018.0,1237.6854,7137.03,148740.75,573.53358,3307.24,68925.28
2006-11-01,0.15827,0.91,19.16,1714.5110000000002,17006.0,17006.0,1056.93812,6094.77,127936.92,556.83161,3210.94,67401.6
2006-12-01,0.1756,1.01,21.33,1283.7060000000001,12733.0,12733.0,1029.25013,5935.1,125012.51,575.23428,3317.05,69867.84
2007-01-01,0.0,0.0,0.0,1230.684,12164.0,12164.0,1663.384,8168.0,8168.0,376.772,1856.0,1856.0
2007-02-01,0.0,0.0,0.0,1046.364,10342.0,10342.0,2488.994,12222.0,12222.0,294.689,1440.0,1440.0
2007-03-01,0.0,0.0,0.0,1277.919,12631.0,12631.0,1875.3890000000001,9209.0,9209.0,329.427,1616.0,1616.0
2007-04-01,0.0,0.0,0.0,1361.6080000000002,13458.0,13458.0,1505.356,7392.0,7392.0,325.837,1600.0,1600.0
2007-05-01,0.0,0.0,0.0,1282.54,12677.0,12677.0,1280.195,6287.0,6287.0,389.067,1904.0,1904.0
2007-06-01,0.0,0.0,0.0,1087.438,10748.0,10748.0,1787.325,8777.0,8777.0,357.456,1760.0,1760.0
2007-07-01,0.0,0.0,0.0,840.48,8307.0,8307.0,1990.412,9774.0,9774.0,435.84200000000004,2144.0,2144.0
2007-08-01,0.0,0.0,0.0,834.832,8251.0,8251.0,2883.96,14161.0,14161.0,403.655,1984.0,1984.0
2007-09-01,0.0,0.0,0.0,699.801,6917.0,6917.0,1114.136,5471.0,5471.0,364.59700000000004,1792.0,1792.0
2007-10-01,0.0,0.0,0.0,1202.4460000000001,11885.0,11885.0,1631.976,8014.0,8014.0,425.396,2096.0,2096.0
2007-11-01,0.0,0.0,0.0,875.9060000000001,8657.0,8657.0,1055.8780000000002,5184.0,5184.0,430.32,2112.0,2112.0
2007-12-01,0.0,0.0,0.0,948.8130000000001,9378.0,9378.0,1430.2430000000002,7024.0,7024.0,369.994,1824.0,1824.0
2008-01-01,0.0,0.0,0.0,1339.509,13200.0,13200.0,1971.892,10035.0,10035.0,323.678,1648.0,1648.0
2008-02-01,0.0,0.0,0.0,647.02,6376.0,6376.0,2179.639,11091.0,11091.0,324.605,1648.0,1648.0
2008-03-01,0.0,0.0,0.0,324.82300000000004,3201.0,3201.0,2073.513,10551.0,10551.0,304.46500000000003,1552.0,1552.0
2008-04-01,0.0,0.0,0.0,1066.922,10513.0,10513.0,1000.552,5091.0,5091.0,304.03200000000004,1552.0,1552.0
2008-05-01,0.0,0.0,0.0,1052.603,10372.0,10372.0,649.278,3303.0,3303.0,335.399,1712.0,1712.0
2008-06-01,0.0,0.0,0.0,1343.9560000000001,13243.0,13243.0,1122.77,5713.0,5713.0,332.7,1696.0,1696.0
2008-07-01,0.0,0.0,0.0,1590.894,15677.0,15677.0,2174.5660000000003,11065.0,11065.0,355.55600000000004,1808.0,1808.0
2008-08-01,0.0,0.0,0.0,1223.8990000000001,12060.0,12060.0,1872.3670000000002,9527.0,9527.0,369.02500000000003,1872.0,1872.0
2008-09-01,0.0,0.0,0.0,956.086,9421.0,9421.0,1137.363,5787.0,5787.0,323.139,1648.0,1648.0
2008-10-01,0.0,0.0,0.0,889.932,8769.0,8769.0,1970.086,10024.0,10024.0,340.938,1728.0,1728.0
