measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Single Shaft - Natural Gas - Generation,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,1.38,16.0,16.0,,,,,,
2003-02-01,1.222,14.0,14.0,,,,,,
2003-03-01,1.2530000000000001,15.0,15.0,,,,,,
2003-04-01,1.175,14.0,14.0,,,,,,
2003-05-01,1.2710000000000001,15.0,15.0,,,,,,
2003-06-01,1.2630000000000001,15.0,15.0,,,,,,
2003-07-01,1.566,18.0,18.0,,,,,,
2003-08-01,1.584,18.0,18.0,,,,,,
2003-09-01,1.278,15.0,15.0,,,,,,
2003-10-01,1.254,15.0,15.0,,,,,,
2003-11-01,1.318,15.0,15.0,,,,,,
2003-12-01,1.4360000000000002,17.0,17.0,,,,,,
2004-01-01,1.333,11.0,11.0,,,,,,
2004-02-01,1.333,11.0,11.0,,,,,,
2004-03-01,1.333,11.0,11.0,,,,,,
2004-04-01,1.333,11.0,11.0,,,,,,
2004-05-01,1.333,11.0,11.0,,,,,,
2004-06-01,1.333,11.0,11.0,,,,,,
2004-07-01,1.333,11.0,11.0,,,,,,
2004-08-01,1.333,11.0,11.0,,,,,,
2004-09-01,1.333,11.0,11.0,,,,,,
2004-10-01,1.333,11.0,11.0,,,,,,
2004-11-01,1.333,11.0,11.0,,,,,,
2004-12-01,1.333,11.0,11.0,,,,,,
2005-01-01,1.661,16.99,16.99,,,,,,
2005-02-01,0.8430000000000001,8.63,8.63,,,,,,
2005-03-01,1.02,10.44,10.44,,,,,,
2005-04-01,1.063,10.88,10.88,,,,,,
2005-05-01,1.252,12.82,12.82,,,,,,
2005-06-01,1.1340000000000001,11.61,11.61,,,,,,
2005-07-01,1.816,18.58,18.58,,,,,,
2005-08-01,2.009,20.57,20.57,,,,,,
2005-09-01,1.995,20.42,20.42,,,,,,
2005-10-01,1.191,12.19,12.19,,,,,,
2005-11-01,0.9490000000000001,9.72,9.72,,,,,,
2005-12-01,2.067,21.16,21.16,,,,,,
2006-01-01,7.821000000000001,57.0,57.0,,,,,,
2006-02-01,7.74,57.0,57.0,,,,,,
2006-03-01,6.7860000000000005,50.0,50.0,,,,,,
2006-04-01,8.952,66.0,66.0,,,,,,
2006-05-01,8.091000000000001,59.0,59.0,,,,,,
2006-06-01,9.676,71.0,71.0,,,,,,
2006-07-01,9.387,69.0,69.0,,,,,,
2006-08-01,10.102,74.0,74.0,,,,,,
2006-09-01,7.176,53.0,53.0,,,,,,
2006-10-01,9.237,68.0,68.0,,,,,,
2006-11-01,8.062000000000001,59.0,59.0,,,,,,
2006-12-01,8.969000000000001,66.0,66.0,,,,,,
2007-01-01,2.305,23.0,23.0,,,,0.0,0.0,0.0
2007-02-01,1.875,17.0,17.0,,,,0.0,0.0,0.0
2007-03-01,0.9590000000000001,12.0,12.0,,,,0.0,0.0,0.0
2007-04-01,8.798,81.0,81.0,,,,0.0,0.0,0.0
2007-05-01,18.677,174.0,174.0,,,,0.0,0.0,0.0
2007-06-01,3.323,29.0,29.0,,,,0.0,0.0,0.0
2007-07-01,1.982,17.0,17.0,,,,0.0,0.0,0.0
2007-08-01,3.16,29.0,29.0,,,,0.0,0.0,0.0
2007-09-01,2.507,23.0,23.0,,,,0.0,0.0,0.0
2007-10-01,2.1670000000000003,17.0,17.0,,,,0.0,0.0,0.0
2007-11-01,1.707,17.0,17.0,,,,0.0,0.0,0.0
2007-12-01,2.54,23.0,23.0,,,,0.0,0.0,0.0
2008-01-01,7.495,64.0,64.0,0.0,0.0,0.0,,,
2008-02-01,4.644,35.0,35.0,0.0,0.0,0.0,,,
2008-03-01,3.319,23.0,23.0,0.0,0.0,0.0,,,
2008-04-01,5.53,41.0,41.0,0.0,0.0,0.0,,,
2008-05-01,12.782,99.0,99.0,0.0,0.0,0.0,,,
2008-06-01,1.445,12.0,12.0,0.0,0.0,0.0,,,
2008-07-01,1.183,12.0,12.0,0.0,0.0,0.0,,,
2008-08-01,2.428,17.0,17.0,0.0,0.0,0.0,,,
2008-09-01,6.056,46.0,46.0,0.0,0.0,0.0,,,
2008-10-01,1.8960000000000001,17.0,17.0,0.0,0.0,0.0,,,
2008-11-01,5.237,41.0,41.0,0.0,0.0,0.0,,,
2008-12-01,4.985,41.0,41.0,0.0,0.0,0.0,,,
2009-01-01,0.184,23.0,23.0,0.0,0.0,0.0,,,
2009-02-01,0.029,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,0.092,6.0,6.0,0.0,0.0,0.0,,,
2009-04-01,0.129,12.0,12.0,0.0,0.0,0.0,,,
2009-05-01,0.221,17.0,17.0,0.0,0.0,0.0,,,
2009-06-01,0.153,12.0,12.0,0.0,0.0,0.0,,,
2009-07-01,0.15,12.0,12.0,0.0,0.0,0.0,,,
2009-08-01,0.203,17.0,17.0,0.0,0.0,0.0,,,
2009-09-01,0.116,12.0,12.0,0.0,0.0,0.0,,,
2009-10-01,0.41900000000000004,35.0,35.0,0.0,0.0,0.0,,,
2009-11-01,0.117,12.0,12.0,0.0,0.0,0.0,,,
2009-12-01,0.187,17.0,17.0,0.0,0.0,0.0,,,
2010-01-01,1.205,29.0,29.0,,,,0.0,0.0,0.0
2010-02-01,0.34900000000000003,12.0,12.0,,,,0.0,0.0,0.0
2010-03-01,0.639,17.0,17.0,,,,0.0,0.0,0.0
2010-04-01,0.5860000000000001,17.0,17.0,,,,0.0,0.0,0.0
2010-05-01,0.638,17.0,17.0,,,,0.0,0.0,0.0
2010-06-01,0.663,17.0,17.0,,,,0.0,0.0,0.0
2010-07-01,0.115,6.0,6.0,,,,0.0,0.0,0.0
2010-08-01,0.321,6.0,6.0,,,,0.0,0.0,0.0
2010-09-01,0.224,6.0,6.0,,,,0.0,0.0,0.0
2010-10-01,0.42200000000000004,12.0,12.0,,,,0.0,0.0,0.0
2010-11-01,0.20400000000000001,6.0,6.0,,,,0.0,0.0,0.0
2010-12-01,1.6340000000000001,41.0,41.0,,,,0.0,0.0,0.0
2011-01-01,0.615,6.0,6.0,,,,0.0,0.0,0.0
2011-02-01,0.498,6.0,6.0,,,,0.0,0.0,0.0
2011-03-01,0.67,6.0,6.0,,,,0.0,0.0,0.0
2011-04-01,4.156,35.0,35.0,,,,0.0,0.0,0.0
2011-05-01,0.3,0.0,0.0,,,,0.0,0.0,0.0
2011-06-01,1.937,17.0,17.0,,,,0.0,0.0,0.0
2011-07-01,0.705,6.0,6.0,,,,0.0,0.0,0.0
2011-08-01,1.291,12.0,12.0,,,,0.0,0.0,0.0
2011-09-01,0.547,6.0,6.0,,,,0.0,0.0,0.0
2011-10-01,0.884,6.0,6.0,,,,0.0,0.0,0.0
2011-11-01,0.622,6.0,6.0,,,,0.0,0.0,0.0
2011-12-01,1.775,17.0,17.0,,,,0.0,0.0,0.0
2012-01-01,1.054,12.0,12.0,,,,0.0,0.0,0.0
2012-02-01,1.063,12.0,12.0,,,,0.0,0.0,0.0
2012-03-01,1.692,41.0,41.0,,,,0.0,0.0,0.0
2012-04-01,2.188,29.0,29.0,,,,0.0,0.0,0.0
2012-05-01,1.185,17.0,17.0,,,,0.0,0.0,0.0
2012-06-01,1.033,12.0,12.0,,,,0.0,0.0,0.0
2012-07-01,0.178,0.0,0.0,,,,0.0,0.0,0.0
2012-08-01,0.101,0.0,0.0,,,,0.0,0.0,0.0
2012-09-01,1.036,12.0,12.0,,,,0.0,0.0,0.0
2012-10-01,2.349,29.0,29.0,,,,0.0,0.0,0.0
2012-11-01,1.763,23.0,23.0,,,,0.0,0.0,0.0
2012-12-01,2.358,29.0,29.0,,,,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-12-01,3.0,29.0,29.0,,,,0.0,0.0,0.0
2014-01-01,0.286,6.0,6.0,,,,0.0,0.0,0.0
2014-02-01,0.239,0.0,0.0,,,,0.0,0.0,0.0
2014-03-01,0.271,6.0,6.0,,,,0.0,0.0,0.0
2014-04-01,0.259,6.0,6.0,,,,0.0,0.0,0.0
2014-05-01,0.646,6.0,6.0,,,,0.0,0.0,0.0
2014-06-01,0.324,6.0,6.0,,,,0.0,0.0,0.0
2014-07-01,0.046,0.0,0.0,,,,0.0,0.0,0.0
2014-08-01,0.264,6.0,6.0,,,,0.0,0.0,0.0
2014-09-01,0.29,6.0,6.0,,,,0.0,0.0,0.0
2014-10-01,1.263,6.0,6.0,,,,0.0,0.0,0.0
2014-11-01,0.129,0.0,0.0,,,,0.0,0.0,0.0
2014-12-01,0.983,12.0,12.0,,,,0.0,0.0,0.0
2015-01-01,1.935,35.0,35.0,,,,0.0,0.0,0.0
2015-02-01,3.111,41.0,41.0,,,,0.0,0.0,0.0
2015-03-01,1.325,17.0,17.0,,,,0.0,0.0,0.0
2015-04-01,0.882,12.0,12.0,,,,0.0,0.0,0.0
2015-05-01,1.94,23.0,23.0,,,,0.0,0.0,0.0
2015-06-01,2.828,35.0,35.0,,,,0.0,0.0,0.0
2015-07-01,1.913,23.0,23.0,,,,0.0,0.0,0.0
2015-08-01,0.859,12.0,12.0,,,,0.0,0.0,0.0
2015-09-01,1.354,17.0,17.0,,,,0.0,0.0,0.0
2015-10-01,0.59,6.0,6.0,,,,0.0,0.0,0.0
2015-11-01,2.142,29.0,29.0,,,,0.0,0.0,0.0
2015-12-01,3.121,41.0,41.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
