measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,17176.0,204774.0,1008124.0,12747.0,151975.0,748190.0,,,,,,,,,,,,,313.0,3729.0,18358.0,827.0,9855.0,48519.0
2003-02-01,17178.0,177988.0,876252.0,13423.0,139079.0,684695.0,,,,,,,,,,,,,5.0,48.0,239.0,981.0,10167.0,50049.0
2003-03-01,15300.0,189945.0,935116.0,13172.0,163529.0,805066.0,,,,,,,,,,,,,4.0,48.0,239.0,678.0,8412.0,41409.0
2003-04-01,11996.0,149047.0,733772.0,9745.0,121082.0,596098.0,,,,,,,,,,,,,448.0,5569.0,27418.0,663.0,8238.0,40554.0
2003-05-01,15067.0,173421.0,853762.0,14256.0,164093.0,807840.0,,,,,,,,,,,,,7.0,86.0,422.0,1118.0,12872.0,63369.0
2003-06-01,14508.0,166639.0,820378.0,13709.0,157453.0,775149.0,,,,,,,,,,,,,0.0,0.0,0.0,542.0,6227.0,30654.0
2003-07-01,14367.0,174565.0,859404.0,12967.0,157555.0,775659.0,,,,,,,,,,,,,19.0,234.0,1153.0,876.0,10643.0,52398.0
2003-08-01,14943.0,193120.0,950742.0,12516.0,161753.0,796324.0,,,,,,,,,,,,,0.0,0.0,0.0,760.0,9825.0,48366.0
2003-09-01,14393.0,165890.0,816686.0,13598.0,156727.0,771579.0,,,,,,,,,,,,,0.0,0.0,0.0,1119.0,12892.0,63468.0
2003-10-01,15095.0,183846.0,905086.0,11626.0,141604.0,697129.0,,,,,,,,,,,,,202.0,2465.0,12134.0,1009.0,12284.0,60471.0
2003-11-01,14777.0,173990.0,856570.0,13380.0,157551.0,775639.0,,,,,,,,,,,,,4.0,48.0,239.0,693.0,8157.0,40158.0
2003-12-01,14615.0,192396.0,947180.0,12427.0,163597.0,805402.0,,,,,,,,,,,,,23.0,298.0,1468.0,973.0,12806.0,63045.0
2004-02-01,14346.36813,73043.19,891696.0,12306.33343,62656.54,764898.0,,,,,,,,,,,,,20.77876,105.79,1291.5,1115.68169,5680.39,69345.0
2004-03-01,16157.34371,82263.6,968318.0,13104.49515,66720.31,785359.2,,,,,,,,,,,,,0.0,0.0,0.0,1137.41714,5791.05,68166.0
2004-05-01,15314.25048,77971.07,923130.0,10879.533,55392.12,655809.0,,,,,,,,,,,,,10.973939999999999,55.87,661.5,779.67258,3969.63,46998.0
2004-06-01,12844.4682,65396.41,857272.0,13447.17257,68465.02,897498.0,,,,,,,,,,,,,0.0,0.0,0.0,419.10323,2133.82,27972.0
