measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,2398.68255,60677.1,60677.1,1962.55845,49644.9,49644.9,37.0,867.0,867.0
2003-02-01,1949.89025,51247.35,51247.35,1595.36475,41929.65,41929.65,35.397,921.0,921.0
2003-03-01,2463.45,69641.55,69641.55,2015.55,56979.45,56979.45,32.0,897.0,897.0
2003-05-01,1987.15,55722.15,55722.15,1625.85,45590.85,45590.85,51.0,1427.0,1427.0
2003-11-01,1054.867,29977.2,29977.2,863.0730000000001,24526.8,24526.8,11.0,293.0,293.0
2003-12-01,1007.05,27121.05,27121.05,823.95,22189.95,22189.95,13.0,352.0,352.0
2004-01-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,1.37,35.0,35.0
2004-02-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.457,12.0,12.0
2004-03-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.433,11.0,11.0
2004-04-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.0,0.0,0.0
2004-05-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,1.9060000000000001,48.0,48.0
2004-06-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,187.71200000000002,4763.0,4763.0
2004-07-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,218.58700000000002,5547.0,5547.0
2004-08-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,224.61800000000002,5700.0,5700.0
2004-09-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,84.059,2133.0,2133.0
2004-10-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.85,22.0,22.0
2004-11-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.051000000000000004,1.0,1.0
2004-12-01,1445.7245,36709.75,36709.75,1182.8655,30035.25,30035.25,0.0,0.0,0.0
2005-01-01,1492.7948000000001,53468.7,53468.7,1172.9102,42011.12,42011.12,38.085,1364.46,1364.46
2005-02-01,1273.15104,45601.52,45601.52,1000.33296,35829.77,35829.77,34.375,1231.57,1231.57
2005-03-01,1422.30648,50943.95,50943.95,1117.52652,40027.39,40027.39,37.098,1329.11,1329.11
2005-04-01,1313.21624,47036.58,47036.58,1031.81276,36957.31,36957.31,37.276,1335.5,1335.5
2005-05-01,1438.8388,51536.11,51536.11,1130.5162,40492.66,40492.66,40.941,1466.78,1466.78
2005-06-01,1395.14536,49971.11,49971.11,1096.18564,39263.01,39263.01,52.586000000000006,1884.0,1884.0
2005-07-01,1498.8848,53686.83,53686.83,1177.6952,42182.51,42182.51,67.337,2412.49,2412.49
2005-08-01,1443.83736,51715.14,51715.14,1134.44364,40633.33,40633.33,69.783,2500.11,2500.11
2005-09-01,1374.63144,49236.33,49236.33,1080.06756,38685.69,38685.69,52.631,1885.62,1885.62
2005-10-01,1186.29448,42490.52,42490.52,932.08852,33385.4,33385.4,40.852000000000004,1463.6,1463.6
2005-11-01,1320.93416,47313.02,47313.02,1037.87684,37174.52,37174.52,36.45,1305.88,1305.88
2005-12-01,1478.12448,52943.22,52943.22,1161.38352,41598.25,41598.25,41.588,1489.97,1489.97
2006-01-01,,,,,,,31.658,1116.0,1116.0
2006-02-01,,,,,,,37.559000000000005,1325.0,1325.0
2006-03-01,,,,,,,42.84,1511.0,1511.0
2006-04-01,,,,,,,47.917,1690.0,1690.0
2006-05-01,,,,,,,55.5,1957.0,1957.0
2006-06-01,,,,,,,70.72200000000001,2494.0,2494.0
2006-07-01,,,,,,,88.91300000000001,3136.0,3136.0
2006-08-01,,,,,,,90.034,3175.0,3175.0
2006-09-01,,,,,,,61.26,2160.0,2160.0
2006-10-01,,,,,,,55.465,1956.0,1956.0
2006-11-01,,,,,,,41.191,1453.0,1453.0
2006-12-01,,,,,,,42.941,1514.0,1514.0
2007-01-01,,,,,,,30.939,768.0,768.0
2007-02-01,,,,,,,64.05,1653.0,1653.0
2007-03-01,,,,,,,98.835,2666.0,2666.0
2007-04-01,,,,,,,70.854,1719.0,1719.0
2007-05-01,,,,,,,58.129000000000005,1407.0,1407.0
2007-06-01,,,,,,,83.90400000000001,2036.0,2036.0
2007-07-01,,,,,,,56.852000000000004,2417.0,2417.0
2007-08-01,,,,,,,56.134,1438.0,1438.0
2007-09-01,,,,,,,42.138000000000005,1044.0,1044.0
2007-10-01,,,,,,,135.21200000000002,3552.0,3552.0
2007-11-01,,,,,,,60.57,1525.0,1525.0
2007-12-01,,,,,,,99.745,2336.0,2336.0
2008-01-01,,,,,,,146.786,2652.0,2652.0
2008-02-01,,,,,,,68.422,938.0,938.0
2008-03-01,,,,,,,142.72,1860.0,1860.0
2008-04-01,,,,,,,12.423,273.0,273.0
2008-05-01,,,,,,,56.185,775.0,775.0
2008-06-01,,,,,,,15.573,163.0,163.0
2008-07-01,,,,,,,22.363,331.0,331.0
2008-08-01,,,,,,,25.903000000000002,565.0,565.0
2008-09-01,,,,,,,46.701,770.0,770.0
2008-10-01,,,,,,,15.901000000000002,196.0,196.0
2008-11-01,,,,,,,1.151,26.0,26.0
2008-12-01,,,,,,,1.564,34.0,34.0
2009-01-01,,,,,,,68.725,1362.0,1362.0
2009-02-01,,,,,,,1.028,19.0,19.0
2009-03-01,,,,,,,0.999,19.0,19.0
2009-04-01,,,,,,,3.4810000000000003,59.0,59.0
2009-05-01,,,,,,,62.257000000000005,993.0,993.0
2009-06-01,,,,,,,87.165,1934.0,1934.0
2009-07-01,,,,,,,34.962,641.0,641.0
2009-08-01,,,,,,,86.86200000000001,1568.0,1568.0
2009-09-01,,,,,,,37.377,680.0,680.0
2009-10-01,,,,,,,23.251,441.0,441.0
2009-11-01,,,,,,,1.554,35.0,35.0
2009-12-01,,,,,,,65.296,1783.0,1783.0
2010-01-01,,,,,,,0.0,1289.0,1289.0
2010-02-01,,,,,,,0.0,2039.0,2039.0
2010-03-01,,,,,,,0.0,1015.0,1015.0
2010-04-01,,,,,,,0.0,372.0,372.0
2010-05-01,,,,,,,0.0,1069.0,1069.0
2010-06-01,,,,,,,0.0,1708.0,1708.0
2010-07-01,,,,,,,0.0,434.0,434.0
2010-08-01,,,,,,,0.0,851.0,851.0
2010-09-01,,,,,,,0.0,1201.0,1201.0
2010-10-01,,,,,,,0.0,1275.0,1275.0
2010-11-01,,,,,,,0.0,6050.0,6050.0
2010-12-01,,,,,,,0.0,357.0,357.0
2011-01-01,,,,,,,72.936,1262.0,1262.0
2011-02-01,,,,,,,164.447,2803.0,2803.0
2011-03-01,,,,,,,118.242,1704.0,1704.0
2011-04-01,,,,,,,27.77,338.0,338.0
2012-01-01,,,,,,,0.0,0.0,0.0
2012-02-01,,,,,,,0.0,0.0,0.0
2012-03-01,,,,,,,0.0,0.0,0.0
2012-04-01,,,,,,,0.0,0.0,0.0
