measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed,Waste heat not directly attributed to a fuel source Generation,Waste heat not directly attributed to a fuel source Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source Total Fuel Consumed
2001-01-01,,,,9988.3165,88311.0,214547.5,,,,,,
2001-02-01,,,,9000.654999999999,77093.0,185141.5,,,,,,
2001-03-01,,,,9676.139500000001,84889.0,205660.5,,,,,,
2001-04-01,,,,10033.3045,85660.0,205468.5,,,,,,
2001-05-01,,,,10731.597,95268.0,231783.0,,,,,,
2001-06-01,,,,11708.3205,107381.0,264220.0,,,,,,
2001-07-01,,,,15114.973,142588.0,354157.0,,,,,,
2001-08-01,,,,16182.705,156455.5,391678.0,,,,,,
2001-09-01,,,,11604.886,107419.0,265138.0,,,,,,
2001-10-01,,,,11228.1305,103687.5,255725.0,,,,,,
2001-11-01,,,,10752.2835,99558.0,245759.5,,,,,,
2001-12-01,,,,12257.689,111393.0,273236.0,,,,,,
2002-01-01,,,,12330.239,180961.5,262312.0,,,,,,
2002-02-01,,,,10522.4665,152530.5,221831.0,,,,,,
2002-03-01,,,,10992.0345,154279.0,226344.0,,,,,,
2002-04-01,,,,10191.721000000001,150459.0,217758.0,,,,,,
2002-05-01,,,,11461.173999999999,160473.5,235589.0,,,,,,
2002-06-01,,,,11995.9175,175535.0,254647.0,,,,,,
2002-07-01,,,,14067.291,199613.5,291981.0,,,,,,
2002-08-01,,,,13157.453,202344.0,289752.0,,,,,,
2002-09-01,,,,12290.952000000001,170665.5,251127.5,,,,,,
2002-10-01,,,,12656.299500000001,192662.5,276613.5,,,,,,
2002-11-01,,,,11652.484,174881.5,252011.5,,,,,,
2002-12-01,,,,12970.467,195507.5,281416.5,,,,,,
2003-01-01,,,,5216.8545,112720.0,123414.5,,,,,,
2003-02-01,,,,4477.854,98792.5,107433.0,,,,,,
2003-03-01,,,,4415.663500000001,95408.5,104460.5,,,,,,
2003-04-01,,,,3949.767,83082.5,91776.5,,,,,,
2003-05-01,,,,4268.04,85251.5,95841.5,,,,,,
2003-06-01,,,,4534.0495,93035.0,103632.5,,,,,,
