measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-02-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-03-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-04-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-05-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-06-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-07-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-08-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-10-01,,,,0.0,0.0,0.0,,,,,,,,,
2003-11-01,,,,0.0,0.0,0.0,,,,,,,,,
2004-01-01,17538.9892,96931.38,969287.4,0.0,0.0,0.0,,,,163.69936,904.7,9046.8,5866.82744,32423.74,324228.6
2004-02-01,18057.32893,99796.05,969287.4,0.0,0.0,0.0,,,,282.14734,1559.32,15145.2,4940.34673,27303.43,265189.6
2004-03-01,17438.14867,96374.07,738739.0,0.0,0.0,0.0,,,,59.634049999999995,329.57,2526.3,5327.47328,29442.93,225689.8
2004-04-01,21220.71472,117278.88,900894.6,0.0,0.0,0.0,,,,272.30941,1504.95,11560.5,5796.86787,32037.1,246097.6
2004-05-01,16918.36189,93501.41,785809.2,0.0,0.0,0.0,,,,306.40651,1693.39,14231.7,3386.33261,18714.98,157285.4
2004-06-01,15539.79131,85882.56,691126.0,0.0,0.0,0.0,,,,450.45937,2489.52,20034.0,3385.69432,18711.45,150577.4
2004-07-01,20745.13551,114650.54,813763.4,0.0,0.0,0.0,,,,443.43001,2450.67,17394.3,5271.36749,29132.86,206778.4
2004-08-01,16368.19409,90460.84,730172.2,19.771700000000003,109.27,882.0,,,,614.47625,3395.98,27411.3,3041.38095,16808.57,135673.6
2004-09-01,16953.01744,93692.93,799839.4,0.0,0.0,0.0,,,,641.08626,3543.04,30246.3,3547.0163000000002,19603.02,167347.4
2004-10-01,12398.54534,68522.08,630603.8,35.30202,195.1,1795.5,,,,741.21856,4096.44,37699.2,3692.37308,20406.35,187798.2
2004-11-01,16662.60054,92087.9,723823.8,0.72514,4.01,31.5,,,,765.89043,4232.79,33270.3,4686.244900000001,25899.11,203570.6
2004-12-01,16530.82651,91359.64,709970.6,0.0,0.0,0.0,,,,1113.9491,6156.38,47842.2,5007.222400000001,27673.03,215051.6
