measured_on,"Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-01-01,4507.809,45984.16,45984.16
2005-02-01,4520.443,46113.04,46113.04
2005-03-01,5508.674,56193.98,56193.98
2005-04-01,5007.082,51077.24,51077.24
2005-05-01,5296.049,54025.0,54025.0
2005-06-01,5072.825,51747.89,51747.89
2005-07-01,6002.109,61227.51,61227.51
2005-08-01,5798.185,59147.29,59147.29
2005-09-01,5021.959,51229.0,51229.0
2005-10-01,4193.265,42775.5,42775.5
2005-11-01,4913.937,50127.07,50127.07
2005-12-01,4672.664000000001,47665.85,47665.85
2006-01-01,5756.836,0.0,0.0
2006-02-01,5298.968,0.0,0.0
2006-03-01,6682.8820000000005,0.0,0.0
2006-04-01,5996.2660000000005,0.0,0.0
2006-05-01,6443.988,0.0,0.0
2006-06-01,5380.586,0.0,0.0
2006-07-01,6156.0070000000005,0.0,0.0
2006-08-01,5851.103,0.0,0.0
2006-09-01,5931.903,0.0,0.0
2006-10-01,6436.094,0.0,0.0
2006-11-01,6362.279,0.0,0.0
2006-12-01,6123.088000000001,0.0,0.0
2007-01-01,10316.0,101963.0,101963.0
2007-02-01,10596.0,104731.0,104731.0
2007-03-01,9624.0,95124.0,95124.0
2007-04-01,8486.0,83876.0,83876.0
2007-05-01,11196.0,110661.0,110661.0
2007-06-01,10073.0,99562.0,99562.0
2007-07-01,6066.0,59956.0,59956.0
2007-08-01,10473.0,103515.0,103515.0
2007-09-01,11971.0,118321.0,118321.0
2007-10-01,7125.0,70424.0,70424.0
2007-11-01,11848.0,117106.0,117106.0
2007-12-01,11648.0,115129.0,115129.0
2008-01-01,4821.282,47509.0,47509.0
2008-02-01,4197.393,41361.0,41361.0
2008-03-01,4921.02,48492.0,48492.0
2008-04-01,5138.805,50638.0,50638.0
2008-05-01,4882.747,48115.0,48115.0
2008-06-01,4569.822,45031.0,45031.0
2008-07-01,5018.715,49454.0,49454.0
2008-08-01,4764.716,46952.0,46952.0
2008-09-01,4923.262000000001,48514.0,48514.0
2008-10-01,3885.7270000000003,38290.0,38290.0
2008-11-01,3235.123,31879.0,31879.0
2008-12-01,3515.3880000000004,34641.0,34641.0
