measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,1695.058,21846.0,21846.0,,,
2003-02-01,1495.861,19279.0,19279.0,,,
2003-03-01,1539.19,19838.0,19838.0,,,
2003-04-01,1382.323,17816.0,17816.0,,,
2003-05-01,1410.6470000000002,18181.0,18181.0,,,
2003-06-01,1496.0430000000001,19281.0,19281.0,,,
2003-07-01,1730.192,22299.0,22299.0,,,
2003-08-01,1834.4180000000001,23643.0,23643.0,,,
2003-09-01,1537.198,19812.0,19812.0,,,
2003-10-01,1441.9370000000001,18584.0,18584.0,,,
2003-11-01,1437.12,18522.0,18522.0,,,
2003-12-01,1595.0130000000001,20557.0,20557.0,,,
2004-01-01,1587.1670000000001,18577.0,18577.0,,,
2004-02-01,1587.1670000000001,18577.0,18577.0,,,
2004-03-01,1587.1670000000001,18577.0,18577.0,,,
2004-04-01,1587.1670000000001,18577.0,18577.0,,,
2004-05-01,1587.1670000000001,18577.0,18577.0,,,
2004-06-01,1587.1670000000001,18577.0,18577.0,,,
2004-07-01,1587.1670000000001,18577.0,18577.0,,,
2004-08-01,1587.1670000000001,18577.0,18577.0,,,
2004-09-01,1587.1670000000001,18577.0,18577.0,,,
2004-10-01,1587.1670000000001,18577.0,18577.0,,,
2004-11-01,1587.1670000000001,18577.0,18577.0,,,
2004-12-01,1587.1670000000001,18577.0,18577.0,,,
2005-01-01,1544.813,17738.33,17738.33,,,
2005-02-01,1378.095,15823.98,15823.98,,,
2005-03-01,1573.975,18073.18,18073.18,,,
2005-04-01,1570.721,18035.81,18035.81,,,
2005-05-01,1726.78,19827.76,19827.76,,,
2005-06-01,1710.74,19643.58,19643.58,,,
2005-07-01,1771.3790000000001,20339.87,20339.87,,,
2005-08-01,1763.373,20247.94,20247.94,,,
2005-09-01,1661.086,19073.43,19073.43,,,
2005-10-01,1676.7430000000002,19253.21,19253.21,,,
2005-11-01,1688.7640000000001,19391.24,19391.24,,,
2005-12-01,1692.53,19434.48,19434.48,,,
2006-01-01,1697.597,19492.0,19492.0,,,
2006-02-01,1568.838,18013.0,18013.0,,,
2006-03-01,1730.534,19870.0,19870.0,,,
2006-04-01,1273.2540000000001,14619.0,14619.0,,,
2006-05-01,1556.661,17873.0,17873.0,,,
2006-06-01,1630.664,18723.0,18723.0,,,
2006-07-01,1692.3590000000002,19431.0,19431.0,,,
2006-08-01,1682.182,19315.0,19315.0,,,
2006-09-01,1609.046,18475.0,18475.0,,,
2006-10-01,1669.665,19171.0,19171.0,,,
2006-11-01,1686.34,19362.0,19362.0,,,
2006-12-01,1624.86,18656.0,18656.0,,,
2007-01-01,1140.174,13493.0,13493.0,,,
2007-02-01,1042.46,12337.0,12337.0,,,
2007-03-01,1111.921,13159.0,13159.0,,,
