measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed
2003-01-01,2680.19,52303.0,52303.0
2003-02-01,2313.087,45139.0,45139.0
2003-03-01,2184.6420000000003,42632.0,42632.0
2003-04-01,2135.6730000000002,41677.0,41677.0
2003-05-01,2245.273,43816.0,43816.0
2003-06-01,2360.585,46066.0,46066.0
2003-07-01,2630.397,51331.0,51331.0
2003-08-01,2738.558,53442.0,53442.0
2003-09-01,2240.035,43713.0,43713.0
2003-10-01,2251.672,43941.0,43941.0
2003-11-01,2250.8630000000003,43925.0,43925.0
2003-12-01,2599.025,50719.0,50719.0
2004-01-01,2543.333,46547.0,46547.0
2004-02-01,2543.333,46547.0,46547.0
2004-03-01,2543.333,46547.0,46547.0
2004-04-01,2543.333,46547.0,46547.0
2004-05-01,2543.333,46547.0,46547.0
2004-06-01,2543.333,46547.0,46547.0
2004-07-01,2543.333,46547.0,46547.0
2004-08-01,2543.333,46547.0,46547.0
2004-09-01,2543.333,46547.0,46547.0
2004-10-01,2543.333,46547.0,46547.0
2004-11-01,2543.333,46547.0,46547.0
2004-12-01,2543.333,46547.0,46547.0
2005-01-01,2826.3070000000002,51519.65,51519.65
2005-02-01,2521.288,45959.58,45959.58
2005-03-01,2879.66,52492.19,52492.19
2005-04-01,2873.7070000000003,52383.68,52383.68
2005-05-01,3159.223,57588.25,57588.25
2005-06-01,3129.877,57053.31,57053.31
2005-07-01,3240.82,59075.65,59075.65
2005-08-01,3226.1730000000002,58808.64,58808.64
2005-09-01,3039.0330000000004,55397.35,55397.35
2005-10-01,3067.679,55919.51,55919.51
2005-11-01,3089.6710000000003,56320.4,56320.4
2005-12-01,3096.561,56446.0,56446.0
2006-01-01,3043.561,55723.0,55723.0
2006-02-01,2812.713,51496.0,51496.0
2006-03-01,3102.6110000000003,56804.0,56804.0
2006-04-01,2282.771,41794.0,41794.0
2006-05-01,2790.882,51097.0,51097.0
2006-06-01,2923.559,53526.0,53526.0
2006-07-01,3034.1690000000003,55551.0,55551.0
2006-08-01,3015.922,55217.0,55217.0
2006-09-01,2884.801,52816.0,52816.0
2006-10-01,2993.481,54806.0,54806.0
2006-11-01,3023.378,55353.0,55353.0
2006-12-01,2913.1530000000002,53335.0,53335.0
2007-01-01,3026.197,55563.0,55563.0
2007-02-01,2636.781,48413.0,48413.0
2007-03-01,2993.847,54969.0,54969.0
2007-04-01,2841.5370000000003,52172.0,52172.0
2007-05-01,3012.666,55314.0,55314.0
2007-06-01,2944.263,54059.0,54059.0
2007-07-01,2943.337,54042.0,54042.0
2007-08-01,2973.125,54589.0,54589.0
2007-09-01,2883.655,52946.0,52946.0
2007-10-01,2935.139,53891.0,53891.0
2007-11-01,2953.4860000000003,54228.0,54228.0
2007-12-01,3102.9660000000003,56973.0,56973.0
2008-01-01,2085.342,35869.0,35869.0
2008-02-01,1889.3770000000002,32498.0,32498.0
2008-03-01,2122.045,36500.0,36500.0
2008-04-01,2132.511,36680.0,36680.0
2008-05-01,2125.917,36567.0,36567.0
2008-06-01,2136.649,36752.0,36752.0
2008-07-01,2148.5460000000003,36956.0,36956.0
2008-08-01,2090.3,35954.0,35954.0
2008-09-01,1998.0590000000002,34368.0,34368.0
2008-10-01,2024.6850000000002,34826.0,34826.0
2008-11-01,1928.9070000000002,33178.0,33178.0
2008-12-01,2109.6620000000003,36287.0,36287.0
2009-01-01,1692.411,29078.0,29078.0
2009-02-01,1711.2910000000002,29403.0,29403.0
2009-03-01,1940.142,33335.0,33335.0
2009-04-01,1833.086,31496.0,31496.0
2009-05-01,1760.3870000000002,30247.0,30247.0
2009-06-01,1837.825,31578.0,31578.0
2009-07-01,1956.701,33620.0,33620.0
2009-08-01,1869.3480000000002,32119.0,32119.0
2009-09-01,1714.3110000000001,29455.0,29455.0
2009-10-01,1853.1090000000002,31840.0,31840.0
2009-11-01,1877.582,32260.0,32260.0
2009-12-01,1883.807,32367.0,32367.0
2010-01-01,1743.9750000000001,28082.0,28082.0
2010-02-01,1459.5810000000001,23503.0,23503.0
2010-03-01,1832.256,29503.0,29503.0
2010-04-01,1917.422,30875.0,30875.0
2010-05-01,1727.1470000000002,27811.0,27811.0
2010-06-01,1880.1670000000001,30275.0,30275.0
2010-07-01,1808.227,29117.0,29117.0
2010-08-01,1854.6370000000002,29864.0,29864.0
2010-09-01,1803.15,29035.0,29035.0
2010-10-01,1672.22,26927.0,26927.0
2010-11-01,1882.4150000000002,30311.0,30311.0
2010-12-01,2001.803,32234.0,32234.0
2011-01-01,1211.837,20517.0,20517.0
2011-02-01,1376.64,23308.0,23308.0
2011-03-01,1398.62,23680.0,23680.0
2011-04-01,1385.662,23460.0,23460.0
2011-05-01,1488.06,25194.0,25194.0
2011-06-01,1541.572,26100.0,26100.0
2011-07-01,1557.462,26369.0,26369.0
2011-08-01,1444.503,24457.0,24457.0
2011-09-01,1381.762,23394.0,23394.0
2011-10-01,1515.499,25659.0,25659.0
2011-11-01,1504.897,25479.0,25479.0
2011-12-01,1593.486,26979.0,26979.0
2012-01-01,1163.335,24302.0,24302.0
2012-02-01,1126.447,23531.0,23531.0
2012-03-01,1239.997,25903.0,25903.0
2012-04-01,1174.836,24542.0,24542.0
2012-05-01,1156.378,24156.0,24156.0
2012-06-01,1224.431,25578.0,25578.0
2012-07-01,1212.302,25325.0,25325.0
2012-08-01,1207.568,25226.0,25226.0
2012-09-01,1142.417,23865.0,23865.0
2012-10-01,1155.708,24142.0,24142.0
2012-11-01,1109.604,23179.0,23179.0
2012-12-01,1211.977,25318.0,25318.0
2013-01-01,871.942,21805.0,21805.0
2013-02-01,805.581,20146.0,20146.0
2013-03-01,908.58,22722.0,22722.0
2013-04-01,782.117,19559.0,19559.0
2013-05-01,809.681,20248.0,20248.0
2013-06-01,898.287,22464.0,22464.0
2013-07-01,925.299,23140.0,23140.0
2013-08-01,936.4,23417.0,23417.0
2013-09-01,882.15,22061.0,22061.0
2013-10-01,880.624,22022.0,22022.0
2013-11-01,877.378,21941.0,21941.0
2013-12-01,964.961,24132.0,24132.0
2014-01-01,601.074,16964.0,16964.0
2014-02-01,496.315,14008.0,14008.0
2014-03-01,639.519,18049.0,18049.0
2014-04-01,681.126,19224.0,19224.0
2014-05-01,671.788,18960.0,18960.0
2014-06-01,652.621,18419.0,18419.0
2014-07-01,700.766,19778.0,19778.0
2014-08-01,702.15,19817.0,19817.0
2014-09-01,674.343,19032.0,19032.0
2014-10-01,550.214,15529.0,15529.0
2014-11-01,605.582,17091.0,17091.0
2014-12-01,718.502,20278.0,20278.0
2015-01-01,417.235,16868.0,16868.0
2015-02-01,328.984,13300.0,13300.0
2015-03-01,405.868,16409.0,16409.0
