measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Generation","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,3.7710000000000004,38.62,38.62,182.721,1705.0,1705.0,,,
2003-02-01,3.475,35.59,35.59,168.40300000000002,1571.0,1571.0,,,
2003-03-01,3.423,35.05,35.05,165.863,1548.0,1548.0,,,
2003-04-01,3.438,35.21,35.21,166.59300000000002,1555.0,1555.0,,,
2003-05-01,3.0020000000000002,30.74,30.74,145.448,1357.0,1357.0,,,
2003-06-01,3.6270000000000002,37.14,37.14,175.756,1640.0,1640.0,,,
2003-07-01,4.708,48.21,48.21,228.11100000000002,2129.0,2129.0,,,
2003-08-01,4.679,47.92,47.92,226.73100000000002,2116.0,2116.0,,,
2003-09-01,3.8680000000000003,39.61,39.61,187.412,1749.0,1749.0,,,
2003-10-01,4.287,43.9,43.9,207.716,1938.0,1938.0,,,
2003-11-01,3.879,39.72,39.72,187.967,1754.0,1754.0,,,
2003-12-01,3.8440000000000003,39.37,39.37,186.28,1738.0,1738.0,,,
2004-01-01,0.08900000000000001,0.89,0.89,0.163,1.53,1.98,,,
2004-02-01,0.053000000000000005,0.53,0.53,0.163,1.53,1.98,,,
2004-03-01,0.08700000000000001,0.87,0.87,0.163,1.53,1.98,,,
2004-04-01,0.105,1.05,1.05,0.163,1.53,1.98,,,
2004-05-01,0.112,1.12,1.12,0.163,1.53,1.98,,,
2004-06-01,0.066,0.66,0.66,0.163,1.53,1.98,,,
2004-07-01,0.045,0.45,0.45,0.163,1.53,1.98,,,
2004-08-01,0.077,0.77,0.77,0.163,1.53,1.98,,,
2004-09-01,0.093,0.93,0.93,0.163,1.53,1.98,,,
2004-10-01,0.057,0.57,0.57,0.163,1.53,1.98,,,
2004-11-01,0.078,0.78,0.78,0.163,1.53,1.98,,,
2004-12-01,0.128,1.28,1.28,0.163,1.53,1.98,,,
2005-01-01,0.0,0.0,0.0,0.0009599999999999999,0.01,1.49,0.13404,1.25,207.96
2005-02-01,0.0,0.0,0.0,0.0018499999999999999,0.02,1.33,0.11814999999999999,1.11,84.9
2005-03-01,0.0,0.0,0.0,0.0019199999999999998,0.02,1.59,0.14107999999999998,1.32,116.82
2005-04-01,0.0,0.0,0.0,0.00344,0.03,1.62,0.14356,1.34,67.44
2005-05-01,0.0,0.0,0.0,0.0054,0.05,1.32,0.1136,1.07,27.72
2005-06-01,0.0,0.0,0.0,0.0028799999999999997,0.03,2.24,0.20012,1.87,155.34
2005-07-01,0.0,0.0,0.0,0.00392,0.04,2.88,0.25708,2.41,189.3
2005-08-01,0.0,0.0,0.0,0.0038,0.04,3.08,0.2752,2.57,222.78
2005-09-01,0.0,0.0,0.0,0.00214,0.02,2.04,0.18286,1.71,174.0
2005-10-01,0.0,0.0,0.0,0.00112,0.01,1.41,0.12688,1.18,159.42
2005-11-01,0.0,0.0,0.0,0.0019399999999999999,0.02,1.27,0.11306,1.05,73.68
2005-12-01,0.0,0.0,0.0,0.00077,0.01,1.37,0.12322999999999999,1.15,218.76
2006-01-01,0.12200000000000001,1.0,1.0,0.00058,0.01,1.56,0.07042,0.65,189.66
2006-02-01,0.096,1.0,1.0,0.00062,0.01,1.56,0.06938,0.65,174.78
2006-03-01,0.07400000000000001,1.0,1.0,0.00078,0.01,1.7,0.07622,0.71,165.96
2006-04-01,0.065,1.0,1.0,0.0007199999999999999,0.01,1.42,0.06428,0.6,127.32
2006-05-01,0.063,1.0,1.0,0.00074,0.01,1.38,0.062259999999999996,0.58,115.74
2006-06-01,0.062,1.0,1.0,0.00124,0.01,1.77,0.07876,0.74,112.38
2006-07-01,0.07400000000000001,1.0,1.0,0.00232,0.02,2.65,0.11767999999999999,1.09,134.04
2006-08-01,0.061000000000000006,1.0,1.0,0.00241,0.02,2.49,0.11059,1.03,114.54
2006-09-01,0.068,1.0,1.0,0.00117,0.01,1.77,0.07883,0.74,119.82
2006-10-01,0.093,1.0,1.0,0.0015199999999999999,0.01,1.98,0.08748,0.82,113.58
2006-11-01,0.12200000000000001,1.0,1.0,0.0009299999999999999,0.01,1.7,0.07607,0.7,139.14
2006-12-01,0.091,1.0,1.0,0.00065,0.01,1.66,0.07435,0.7,191.16
