measured_on,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed,Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed,Other Gases - Other - Other Gases - Generation,Other Gases - Other - Other Gases - Quantity Consumed For Electricity,Other Gases - Other - Other Gases - Total Fuel Consumed
2003-01-01,54.856,0.0,0.0,,,,,,
2003-02-01,44.322,0.0,0.0,,,,,,
2003-03-01,46.432,0.0,0.0,,,,,,
2003-04-01,44.594,0.0,0.0,,,,,,
2003-05-01,54.32,0.0,0.0,,,,,,
2003-06-01,54.359,0.0,0.0,,,,,,
2003-07-01,59.233000000000004,0.0,0.0,,,,,,
2003-08-01,61.441,0.0,0.0,,,,,,
2003-09-01,51.255,0.0,0.0,,,,,,
2003-10-01,48.396,0.0,0.0,,,,,,
2003-11-01,43.512,0.0,0.0,,,,,,
2003-12-01,50.279,0.0,0.0,,,,,,
2004-01-01,,,,433.428,1905.74,365070.64,,,
2004-02-01,,,,433.428,1905.74,365070.64,,,
2004-03-01,,,,433.428,1905.74,365070.64,,,
2004-04-01,,,,433.428,1905.74,365070.64,,,
2004-05-01,,,,433.428,1905.74,365070.64,,,
2004-06-01,,,,433.428,1905.74,365070.64,,,
2004-07-01,,,,433.428,1905.74,365070.64,,,
2004-08-01,,,,433.428,1905.74,365070.64,,,
2004-09-01,,,,433.428,1905.74,365070.64,,,
2004-10-01,,,,433.428,1905.74,365070.64,,,
2004-11-01,,,,433.428,1905.74,365070.64,,,
2004-12-01,,,,433.428,1905.74,365070.64,,,
2005-01-01,,,,0.0,0.0,285926.08,,,
2005-02-01,,,,0.0,0.0,286727.35,,,
2005-03-01,,,,0.0,0.0,349409.98,,,
2005-04-01,,,,0.0,0.0,317594.56,,,
2005-05-01,,,,0.0,0.0,335923.44,,,
2005-06-01,,,,0.0,0.0,321764.42,,,
2005-07-01,,,,0.0,0.0,380708.0,,,
2005-08-01,,,,0.0,0.0,367773.24,,,
2005-09-01,,,,0.0,0.0,318538.08,,,
2005-10-01,,,,0.0,0.0,265974.66,,,
2005-11-01,,,,0.0,0.0,311686.17,,,
2005-12-01,,,,0.0,0.0,296382.62,,,
2006-01-01,,,,0.0,0.0,363136.99,,,
2006-02-01,,,,0.0,0.0,334254.83,,,
2006-03-01,,,,0.0,0.0,421551.04,,,
2006-04-01,,,,0.0,0.0,378239.83,,,
2006-05-01,,,,0.0,0.0,406481.95,,,
2006-06-01,,,,0.0,0.0,339403.28,,,
2006-07-01,,,,0.0,0.0,388316.1,,,
2006-08-01,,,,0.0,0.0,369082.99,,,
2006-09-01,,,,0.0,0.0,374179.88,,,
2006-10-01,,,,0.0,0.0,405983.79,,,
2006-11-01,,,,0.0,0.0,401327.87,,,
2006-12-01,,,,0.0,0.0,386239.72,,,
