measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2001-01-01,11736.0,121268.09,121268.09
2001-02-01,8564.0,88491.81,88491.81
2001-03-01,9118.0,94216.29,94216.29
2001-04-01,8925.0,92222.03,92222.03
2001-05-01,7431.0,76784.52,76784.52
2001-06-01,8610.0,88967.13,88967.13
2001-07-01,9228.0,95352.92,95352.92
2001-08-01,9725.0,100488.43,100488.43
2001-09-01,9791.0,101170.4,101170.4
2001-10-01,10243.0,105840.92,105840.92
2001-11-01,10303.0,106460.9,106460.9
2001-12-01,11688.0,120772.1,120772.1
2002-01-01,11478.0,116765.69,116765.69
2002-02-01,10226.0,104029.1,104029.1
2002-03-01,11191.0,113846.04,113846.04
2002-04-01,9220.0,93795.06,93795.06
2002-05-01,9717.0,98851.04,98851.04
2002-06-01,9713.0,98810.35,98810.35
2002-07-01,10221.0,103978.23,103978.23
2002-08-01,10160.0,103357.68,103357.68
2002-09-01,9407.0,95697.41,95697.41
2002-10-01,10184.0,103601.83,103601.83
2002-11-01,10531.0,107131.86,107131.86
2002-12-01,12014.0,122218.42,122218.42
2003-01-01,11398.0,116726.92,116726.92
2003-02-01,9824.0,100607.58,100607.58
2003-03-01,10817.0,110776.9,110776.9
2003-04-01,8227.0,84252.71,84252.71
2003-05-01,9441.0,96685.28,96685.28
2003-06-01,8647.0,88553.93,88553.93
2003-07-01,9350.0,95753.35,95753.35
2003-08-01,11163.0,114320.28,114320.28
2003-09-01,11339.0,116122.7,116122.7
2003-10-01,11276.0,115477.52,115477.52
2003-11-01,11897.0,121837.18,121837.18
2003-12-01,12245.0,125401.05,125401.05
2004-01-01,11227.0,112516.99,112516.99
2004-02-01,9926.0,99478.37,99478.37
2004-03-01,11128.0,111524.82,111524.82
2004-04-01,10893.0,109169.65,109169.65
2004-05-01,12177.0,122037.89,122037.89
2004-06-01,11553.0,115784.17,115784.17
2004-07-01,11157.0,111815.45,111815.45
2004-08-01,9408.0,94286.98,94286.98
2004-09-01,11115.0,111394.53,111394.53
2004-10-01,10390.0,104128.58,104128.58
2004-11-01,11854.0,118800.79,118800.79
2004-12-01,12388.0,124152.54,124152.54
2005-01-01,12176.0,121747.82,121747.82
2005-02-01,10615.0,106139.39,106139.39
2005-03-01,9436.0,94350.56,94350.56
2005-04-01,9301.0,93000.7,93000.7
2005-05-01,12106.0,121047.89,121047.89
2005-06-01,10392.0,103909.61,103909.61
2005-07-01,9581.0,95800.42,95800.42
2005-08-01,10445.0,104439.56,104439.56
2005-09-01,11343.0,113418.66,113418.66
2005-10-01,11148.0,111468.85,111468.85
2005-11-01,9147.0,91460.85,91460.85
2005-12-01,9980.0,99790.02,99790.02
2006-01-01,11566.0,114723.15,114723.15
2006-02-01,9306.0,92306.21,92306.21
2006-03-01,9638.0,95599.32,95599.32
